"blind_id","blind_filename","packet_type","include_tier","exclude_reason","blind_path","blind_sha256","original_path","original_sha256","source_file","source_sha256","source_box","derived_box","object","witness_view","local_sequence_or_code","quality_flag","orientation_mirror_flag","manifest_source","created_date"
"C001","C001.png","primary_first3_context","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C001.png","4f106a8622ba4016a5ba53d38d83cab8787307d4d4955a5400b7d9aeb3b4c1d3","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-32_impression_a_390-003-002_control_good_control.png","4f106a8622ba4016a5ba53d38d83cab8787307d4d4955a5400b7d9aeb3b4c1d3","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/M-32_impression_a_signs_close.png","7403e8d65ecd6c8a9203a3262a608283392b94703ab3c711c5013efb951a45bd","[0, 0, 520, 430]","[0, 0, 520, 430]","M-32","impression_a","390-003-002_control","good_control","impression/read as source crop","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\expanded_first3_context_crop_manifest.csv","2026-05-26"
"C002","C002.png","primary_first3_context","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C002.png","e4340327cdcf109ded66ebff73122140b4dbea20d0140780d1375364ac40b058","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-315_lower_impression_390-034-002_candidate_target_good.png","e4340327cdcf109ded66ebff73122140b4dbea20d0140780d1375364ac40b058","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_cisi1/derived/m315_lower_impression_signs_close_gray_autocontrast.png","253bb9a7589bc3bf380f1a9161e95bd750a7d51ba6b0f92e863d462e66290d86","[0, 0, 310, 395]","[0, 0, 310, 395]","M-315","lower_impression","390-034-002_candidate","target_good","mirrored impression candidate","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\expanded_first3_context_crop_manifest.csv","2026-05-26"
"C003","C003.png","primary_first3_context","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C003.png","19e5ad8aa16cae4a7ef78fb411d9d23625ae259d669780d09fc8a2a816e9d5e2","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-984_impression_a_390-004-002_control_clean_control.png","19e5ad8aa16cae4a7ef78fb411d9d23625ae259d669780d09fc8a2a816e9d5e2","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-984_impression_a_signs_close.png","8449b715fd8d53379eb792027dcb52901a34cee871f57df431268120c8b483ba","[0, 0, 470, 330]","[0, 0, 470, 330]","M-984","impression_a","390-004-002_control","clean_control","impression/read as source crop","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\expanded_first3_context_crop_manifest.csv","2026-05-26"
"C004","C004.png","primary_first3_context","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C004.png","4274113aae2bb6cc807afedf1b718f00cfba8d941941d13caf5bd230ccf48083","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-17_impression_a_390-016-002_control_good_control.png","4274113aae2bb6cc807afedf1b718f00cfba8d941941d13caf5bd230ccf48083","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/M-17_impression_a_signs_close.png","af9c73d9c58e284ed92bcbd574eb7de73bb45bf169112cae80cc14853b37da46","[0, 0, 560, 360]","[0, 0, 560, 360]","M-17","impression_a","390-016-002_control","good_control","impression/read as source crop","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\expanded_first3_context_crop_manifest.csv","2026-05-26"
"C005","C005.png","primary_first3_context","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\primary_context\C005.png","6ebe3f6b32244d8e3afd9bb838b453a92d1e2a484f7efc95b598eef5f588fb2c","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-315_upper_face_390-034-002_candidate_target_good.png","6ebe3f6b32244d8e3afd9bb838b453a92d1e2a484f7efc95b598eef5f588fb2c","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_cisi1/derived/m315_upper_face_signs_close_gray_autocontrast.png","6a5eae779f44d1d366e7d1d9c87657c5f6bc3e5f2b8f91f5cc4a40e1581284b4","[430, 0, 705, 400]","[430, 0, 705, 400]","M-315","upper_face","390-034-002_candidate","target_good","face candidate","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_first3_context_crops\expanded_first3_context_crop_manifest.csv","2026-05-26"
"T001","T001.png","primary_token2_focus","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\token2_focus\T001.png","498ad47f087bcabaffc7acf2df6a44162148c15a96a7fa70cc572fcdb274fd42","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_preblind_token2_crops/M-984_impression_a_004_control_clean_control.png","498ad47f087bcabaffc7acf2df6a44162148c15a96a7fa70cc572fcdb274fd42","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-984_impression_a_signs_close.png","8449b715fd8d53379eb792027dcb52901a34cee871f57df431268120c8b483ba","[95, 0, 350, 245]","[95, 0, 350, 245]","M-984","impression_a","004_control","clean_control","impression/read as source crop","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\expanded_preblind_token2_crop_manifest.csv","2026-05-26"
"T002","T002.png","primary_token2_focus","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\token2_focus\T002.png","1953a8bc34dd34fa0abeff05926f73641d5127e0efb0d123ded636b70a2ae4e4","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_preblind_token2_crops/M-315_upper_face_034_candidate_target_good.png","1953a8bc34dd34fa0abeff05926f73641d5127e0efb0d123ded636b70a2ae4e4","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_cisi1/derived/upper_face_local_RL_token2_034_candidate.png","1953a8bc34dd34fa0abeff05926f73641d5127e0efb0d123ded636b70a2ae4e4","[0, 0, 175, 370]","[0, 0, 175, 370]","M-315","upper_face","034_candidate","target_good","face candidate","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\expanded_preblind_token2_crop_manifest.csv","2026-05-26"
"T003","T003.png","primary_token2_focus","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\token2_focus\T003.png","c16ed3054f2ef4a84f7efd4924629ac1106f4db7cfe461642c9c3b23a23f3433","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_preblind_token2_crops/M-17_impression_a_016_control_good_control.png","c16ed3054f2ef4a84f7efd4924629ac1106f4db7cfe461642c9c3b23a23f3433","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/M-17_impression_a_signs_close.png","af9c73d9c58e284ed92bcbd574eb7de73bb45bf169112cae80cc14853b37da46","[55, 0, 325, 360]","[55, 0, 325, 360]","M-17","impression_a","016_control","good_control","impression/read as source crop","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\expanded_preblind_token2_crop_manifest.csv","2026-05-26"
"T004","T004.png","primary_token2_focus","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\token2_focus\T004.png","a03afa9c70b0e8f0804aa8669696fc2a005fde543807721fcfadf4a9faa5f386","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_preblind_token2_crops/M-32_impression_a_003_control_good_control.png","a03afa9c70b0e8f0804aa8669696fc2a005fde543807721fcfadf4a9faa5f386","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/M-32_impression_a_signs_close.png","7403e8d65ecd6c8a9203a3262a608283392b94703ab3c711c5013efb951a45bd","[70, 0, 305, 430]","[70, 0, 305, 430]","M-32","impression_a","003_control","good_control","impression/read as source crop","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\expanded_preblind_token2_crop_manifest.csv","2026-05-26"
"T005","T005.png","primary_token2_focus","primary_decision","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\blind_390x002_sort_20260526\token2_focus\T005.png","4977253bd914bb3350fbb154b5aa30fa0d905119be8183d3e8c68c5ca01fbd40","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/derived/expanded_preblind_token2_crops/M-315_lower_impression_034_candidate_target_good.png","4977253bd914bb3350fbb154b5aa30fa0d905119be8183d3e8c68c5ca01fbd40","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_cisi1/derived/lower_impression_mirror_token2_034_candidate.png","4977253bd914bb3350fbb154b5aa30fa0d905119be8183d3e8c68c5ca01fbd40","[0, 0, 210, 395]","[0, 0, 210, 395]","M-315","lower_impression","034_candidate","target_good","mirrored impression candidate","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m315_second_slot_controls\derived\expanded_preblind_token2_crops\expanded_preblind_token2_crop_manifest.csv","2026-05-26"
