token_id,sign_id,orientation_policy,cisi,token_crop,rank,distance,brahmi_label,brahmi_record_id,brahmi_letter_image_id,brahmi_manuscript_id,brahmi_manuscript_name,brahmi_date,brahmi_place,brahmi_image_url,brahmi_local_image_path
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,1,0.310056,ja,brahmi_v2_603_13609_9e27e5fde0cebc98,13609,603,"Aśoka, SepE-1 Dhauli",-250,Dhauli,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/13609.png,data/brahmi/indoskript_letter_images_v2/13609.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,2,0.313261,pha,brahmi_v2_780_91833_3ec57acc5803a183,91833,780,"Aśoka, RE Dhaulī",-252,Dhauli,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/91833.png,data/brahmi/indoskript_letter_images_v2/91833.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,3,0.323564,gha,brahmi_v2_616_757_4463c371f906ca30,757,616,"Aśoka, PE Rāmpūrvā",-239,Rampurva,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/757.png,data/brahmi/indoskript_letter_images_v2/757.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,4,0.334813,dha,brahmi_v2_153_50824_2bc58b6ebbe920f1,50824,153,"Aśoka, PE Lauriyā Nandangaṟh",-239,Lauriya Nandangarh,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/50824.png,data/brahmi/indoskript_letter_images_v2/50824.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,5,0.335138,ha,brahmi_v2_418_894_aa3dbcd1f40e8c90,894,418,"Aśoka, PE Lauriya-Araraj",-239,Lauriya Araraj,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/894.png,data/brahmi/indoskript_letter_images_v2/894.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,6,0.336195,gha,brahmi_v2_153_154748_4463c371f906ca30,154748,153,"Aśoka, PE Lauriyā Nandangaṟh",-239,Lauriya Nandangarh,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/154748.png,data/brahmi/indoskript_letter_images_v2/154748.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,7,0.340437,ha,brahmi_v2_370_64402_5a29bc624c5cd634,64402,370,Aśoka MRE Brahmagiri,-256,Brahmagiri,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/64402.png,data/brahmi/indoskript_letter_images_v2/64402.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,8,0.342073,dha,brahmi_v2_780_131134_656f0d5e8cfa554a,131134,780,"Aśoka, RE Dhaulī",-252,Dhauli,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/131134.png,data/brahmi/indoskript_letter_images_v2/131134.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,9,0.344122,paṃ,brahmi_v2_365_101494_48ad2471c9d0e9e4,101494,365,Besnagar Garuḍa-Pillar Inscription,-105,Besnagar,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/101494.png,data/brahmi/indoskript_letter_images_v2/101494.png
tok_c1858e3f23d1a914,390,visual_ltr_catalog_order,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,10,0.347531,pa,brahmi_v2_153_13729_878d5fe7fa6d7bb8,13729,153,"Aśoka, PE Lauriyā Nandangaṟh",-239,Lauriya Nandangarh,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/13729.png,data/brahmi/indoskript_letter_images_v2/13729.png
tok_4051e3f9af4b353c,575,visual_ltr_catalog_reverse,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,1,0.310056,ja,brahmi_v2_603_13609_9e27e5fde0cebc98,13609,603,"Aśoka, SepE-1 Dhauli",-250,Dhauli,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/13609.png,data/brahmi/indoskript_letter_images_v2/13609.png
tok_4051e3f9af4b353c,575,visual_ltr_catalog_reverse,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,2,0.313261,pha,brahmi_v2_780_91833_3ec57acc5803a183,91833,780,"Aśoka, RE Dhaulī",-252,Dhauli,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/91833.png,data/brahmi/indoskript_letter_images_v2/91833.png
tok_4051e3f9af4b353c,575,visual_ltr_catalog_reverse,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,3,0.323564,gha,brahmi_v2_616_757_4463c371f906ca30,757,616,"Aśoka, PE Rāmpūrvā",-239,Rampurva,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/757.png,data/brahmi/indoskript_letter_images_v2/757.png
tok_4051e3f9af4b353c,575,visual_ltr_catalog_reverse,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,4,0.334813,dha,brahmi_v2_153_50824_2bc58b6ebbe920f1,50824,153,"Aśoka, PE Lauriyā Nandangaṟh",-239,Lauriya Nandangarh,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/50824.png,data/brahmi/indoskript_letter_images_v2/50824.png
tok_4051e3f9af4b353c,575,visual_ltr_catalog_reverse,M-318,data/brahmi/source_token_crops_v2/M_318_BG002_1_686d7744423305d2.png,5,0.335138,ha,brahmi_v2_418_894_aa3dbcd1f40e8c90,894,418,"Aśoka, PE Lauriya-Araraj",-239,Lauriya Araraj,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/894.png,data/brahmi/indoskript_letter_images_v2/894.png
