family_id,sign_id,orientation_policy,sample_count,cisis,token_ids,top1_label_counts,modal_brahmi_label,modal_count,modal_share,mean_top1_distance,max_top1_distance,mean_modal_distance,candidate_status,observed_mean_modal_distance,shape_null_iterations,shape_modal_distance_le_observed_share,shape_nearest_same_modal_share,label_null_iterations,label_null_ge_observed_modal_count_share,gate_decision,accepted_phonetic_anchor
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,26,H-158|H-449|H-654|M-1273|M-1310|M-28|M-381|M-527|M-653,tok_c9581fdf0a5e0848|tok_1707f5ac0931de28|tok_d900f3b4ab36b5eb|tok_251650f99d03c919|tok_a672c935a58ef854|tok_3531756192e87294|tok_8bc656fb43f14a0f|tok_66108b34d1b9d1c6|tok_03a15bc144893786|tok_116af33d540ab23b|tok_0b122b300e107f95|tok_de510f0ba2a9b06c|tok_ce3c24c90904e41d|tok_ae8dc0e9ef6868ad|tok_ed12107af8cb6734|tok_30f55b122f592442|tok_30f9a6d9ea02969d|tok_2504eea6b3c09d9e|tok_6b518a65d6edc715|tok_d41f8eae1d570659|tok_83d14cf20f6804b2|tok_63a07d1536d4f77d|tok_943b7e8ab63f0b70|tok_4aef1c1af3dcce58|tok_bd6f820b427dd145|tok_d119f41bcb728720,"{""ca"": 3, ""i"": 4, ""ja"": 3, ""jha"": 2, ""na"": 1, ""o"": 1, ""ra"": 12}",ra,12,0.461538,0.308285,0.631514,0.358895,needs_nulls,0.398727,5200,0.141538,0.087308,1000,0.074000,failed_shape_or_label_null,false
family_5cd70f0dc1f6da3d,798,visual_ltr_catalog_reverse,12,M-1320|M-381,tok_fffbb3055f73d68f|tok_dad1de046d78341a|tok_f4270d493ac45a56|tok_078612e2d2b41a77|tok_75ab2ef3e01f8102|tok_6345a4f323addc21|tok_df8fb79c81800566|tok_efa595c2cf0513bc|tok_ab06ec82800324cf|tok_8bf765e1fa2fc212|tok_7101cd940b531a7f|tok_9f6ada09c2462feb,"{""ra"": 12}",ra,12,1.000000,0.323859,0.450763,0.323859,needs_nulls,0.323859,2400,0.100000,0.183333,1000,0.000000,failed_shape_or_label_null,false
family_db09a2b94e4dc7a7,055,visual_ltr_catalog_reverse,11,M-1273|M-381,tok_523ad541b111c4dc|tok_1bdddc47ebe30423|tok_0533095931a3656c|tok_16158e19f7fdad79|tok_90cb0a3842859134|tok_370a4d9c236c7c48|tok_aafd311c54d78d9c|tok_c5804b4c02b11e25|tok_b09e30e0df287f67|tok_0023e118ebc2467e|tok_f82a80518cff0d79,"{""ra"": 11}",ra,11,1.000000,0.326488,0.436820,0.326488,needs_nulls,0.326488,2200,0.097727,0.238636,1000,0.000000,failed_shape_or_label_null,false
family_09b488de3627f5e0,002,visual_ltr_catalog_order,23,M-1273|M-17|M-240|M-28|M-311|M-318|M-32|M-381|M-653|M-70|M-77,tok_0e9bc3008aae96c2|tok_fdb86aa4d7d44d95|tok_62153d9ef66001c7|tok_2308d13430ddd80f|tok_88eb55d2eab44ae5|tok_d9819ce577422986|tok_6a264ada97f1af9c|tok_78f7cf90fb520040|tok_662aefe289e7ab43|tok_4e2da54471a865d2|tok_39dab42b2d4b1e43|tok_bae6736d0dc36940|tok_990fb5383d425b81|tok_f48ab35607775ba7|tok_e3f95fed70a2338c|tok_46cc90a21bb8a7d7|tok_50c16218c03bd25f|tok_30310473f572cac0|tok_c6feec22c1bd2400|tok_513a37c377859bcf|tok_2c94b9691f24910c|tok_19fba12c9215c525|tok_7833b899f1ff6756,"{""ca"": 2, ""e"": 5, ""ja"": 1, ""na"": 3, ""ra"": 10, ""tha"": 2}",ra,10,0.434783,0.339139,0.501426,0.429756,needs_nulls,0.488841,4600,0.196304,0.121087,1000,0.024000,failed_shape_or_label_null,false
family_b53d1e2baa4e80bf,001,visual_ltr_catalog_order,14,H-158|M-1310|M-1458|M-386|M-527,tok_cbf7ea3d7ff807da|tok_52ce126f2e974639|tok_9ecbd60faa684b45|tok_61ff08a28030c327|tok_5f20baabccf3f369|tok_c88274e3d61e243f|tok_6b6262cd47a53ef3|tok_c49549ef1c5862c8|tok_3a03f966c0f8a693|tok_99bcd4974c868165|tok_84473bf482725726|tok_3c1cc1399ce66b5f|tok_f18b98edb381d2d0|tok_404e91c1a3cf18d6,"{""daṃ"": 2, ""dra"": 1, ""ja"": 1, ""ra"": 10}",ra,10,0.714286,0.432030,0.846089,0.377259,needs_nulls,0.450680,2800,0.138214,0.186786,1000,0.000000,failed_shape_or_label_null,false
family_209fa42e8a52324d,740,visual_ltr_catalog_reverse,26,H-158|H-449|H-654|M-1273|M-1310|M-28|M-381|M-527|M-653,tok_141ac9170f0a5e95|tok_25f4d326f1eef2f9|tok_70b1666964d97b73|tok_32ff5014cdcfd4f4|tok_f114a4957af4a6eb|tok_ebb7df75d223bf18|tok_d2fb94b57ab167aa|tok_121f9f7e289b744e|tok_74eb78fdbf70697c|tok_fead6ef854407f2a|tok_15400da05664eca5|tok_e1dd5c8b6e3d8483|tok_e5fcd427054c1ddb|tok_8fcec550924ae271|tok_1ef8fd9ffb47bb22|tok_bc4c731374c03f60|tok_548cc527d7d958ae|tok_d37f41750e9e2cac|tok_32023d4da3c5bdc2|tok_46f0513165d05efa|tok_fb5945d5f76ea338|tok_dc2b4766f2c8852c|tok_e6359d5c66d5e5f8|tok_8f8210505b95f51c|tok_83924dedb3602ca3|tok_18fa48233d5e8d50,"{""ca"": 2, ""da"": 1, ""jha"": 2, ""kha"": 4, ""ra"": 9, ""tha"": 6, ""vya"": 2}",ra,9,0.346154,0.322023,0.502573,0.341570,needs_nulls,0.453524,5200,0.197500,0.089423,1000,0.074000,failed_shape_or_label_null,false
family_939e936b60695b22,001,visual_ltr_catalog_reverse,14,H-158|M-1310|M-1458|M-386|M-527,tok_ff887a1db157f68e|tok_4dd74113e110d71e|tok_198a4552a3b5b3e5|tok_a7cc4727f7da4d7d|tok_afbad9063468791a|tok_ce95a08a06c8b1ed|tok_5babd5c38d930be4|tok_0592f07ef35d5dd9|tok_f115809248b30c5c|tok_e00b4b14af44f790|tok_0aa6c8e6f965dbb7|tok_d2c2ae4ef1c257ff|tok_9d3e8cf4c2889de1|tok_13bc7d008e8bbba3,"{""a"": 2, ""dra"": 1, ""khya"": 2, ""ra"": 9}",ra,9,0.642857,0.419046,0.846089,0.349524,needs_nulls,0.451388,2800,0.151071,0.169286,1000,0.000000,failed_shape_or_label_null,false
family_fb5fcb0474b90ebe,004,visual_ltr_catalog_reverse,12,H-665|M-1310|M-1458|M-386,tok_16d197ad44b0903c|tok_595c503fa48b4ff2|tok_d55096841f5f9e9b|tok_2830efba86d318ea|tok_09c28ca0c9ecd3a3|tok_b5c70db830ecdfee|tok_32d4489414d9389e|tok_c1dfb56e473dd4d4|tok_8e86d306bcc0875a|tok_a6301f20261b324d|tok_9bb50e906212c345|tok_a13410d35ac44956,"{""dra"": 1, ""ja"": 1, ""kha"": 2, ""ra"": 8}",ra,8,0.666667,0.485323,0.810858,0.546149,needs_nulls,0.525229,2400,0.232500,0.156667,1000,0.000000,failed_shape_or_label_null,false
family_ad343fac174d3671,032,visual_ltr_catalog_reverse,15,M-240|M-381|M-70|M-811,tok_b481725202dc8655|tok_7ba192a7ea0e28a0|tok_5f690fa13950780b|tok_ac22a24a956e9d3c|tok_16cbe2a635a5ca4a|tok_db5548af223c8dd8|tok_b7775c4fe61b7b83|tok_6e90e3f1a5aba5bc|tok_9d365a94e04256e7|tok_f4eff298e650f4c6|tok_6d75ffd18e99f471|tok_5c6b81753773163a|tok_014f9ccc7f8fa3dc|tok_6703be288686eaf3|tok_c3bf2cae7d9e4595,"{""a"": 2, ""dha"": 1, ""ra"": 7, ""tha"": 5}",ra,7,0.466667,0.409333,0.495700,0.458958,needs_nulls,0.542775,3000,0.208667,0.091000,1000,0.086000,failed_shape_or_label_null,false
family_0ec695b29dc2ff24,220,visual_ltr_catalog_reverse,7,M-240|M-381,tok_41c507443f6c3c78|tok_7bca84f76060f88a|tok_a5623b6759a07c4d|tok_f33d3c484879e6e5|tok_e99e433a3bd3be55|tok_dd337d53c089715d|tok_c56726f315efb4eb,"{""ra"": 7}",ra,7,1.000000,0.429934,0.478996,0.429934,needs_nulls,0.429934,1400,0.122143,0.234286,1000,0.001000,failed_shape_or_label_null,false
