artifact_p,artifact_id,designation,museum_no,accession_no,provenience,period,dates_referenced,collections,genres,materials,artifact_type,languages,publications_key,publications_type,publications_exact_ref,external_resources,external_resources_key,query_terms,has_meluhha_in_atf,has_lu_sunzida_in_atf,meluhha_line_count,lu_sunzida_line_count,source_url
P100284,100284,"AfO 24, pl. 15 S 213",AIR —,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.01.24,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P100284
P100892,100892,Amherst 054,Anonymous 100892,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.48.08.00, Šulgi.48.09.00 (us2-us2 year)",[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha|me-luh-ha-ta,true,false,1,0,https://cdli.earth/P100892
P101445,101445,"AnOr 07, 150",MM 0093,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.47.06.20 (us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P101445
P102031,102031,"ASJ 03, 152 107",BM 015254,"1896-04-08, 0449",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Amar-Suen.06.07.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P102031
P102519,102519,"ASJ 13, 230 74",BM 026950,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.43.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha|me-luh-ha-ta,true,false,1,0,https://cdli.earth/P102519
P107404,107404,"Buffalo SNS.11-2, 125 02",BSNS C05173,,Umma (mod. Tell Jokha),Ur III (ca. 2100-2000 BC),--.--.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P107404
P108448,108448,"CT 03, pl. 17, BM 014594",BM 014594,"1896-04-06, 0292",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),"Šulgi.39.00.00, Amar-Suen.01.00.00",[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha,true,false,2,0,https://cdli.earth/P108448
P108484,108484,"CT 05, pl. 36-37, BM 017751",BM 017751,"1894-10-15, 0011",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.48.00.00 (us2-us2 year),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha|me-luh-ha{ki},true,false,1,0,https://cdli.earth/P108484
P110238,110238,HLC 368 (pl. 139),OIM A32023,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),--.--.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,me-luh-ha|me-luh-ha-ta,true,false,1,0,https://cdli.earth/P110238
P110574,110574,"ITT 2, 00705",Ist L 00705,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šū-Suen.08.12.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P110574
P110774,110774,"ITT 2, 00904",Ist L 00904,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),--.--.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P110774
P112283,112283,"JESHO 20, 145 12",Ist L 01426,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),00.00.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha,true,false,1,0,https://cdli.earth/P112283
