source_key,source_system,role,url,http_status,byte_length,sha256,error
cdli_p212982_ct_50_076,CDLI,atf,https://cdli.earth/inscriptions/2191016/atf,200,264,5f913a67178b12ffac67ddc020630d99a80895029f771718f8918b544333536c,
cdli_p212982_ct_50_076,CDLI,metadata,https://cdli.earth/artifacts/212982/json,200,3220,944957d3e88c630e9aca9e4deacf296f2cdabbaeab930e9e583d8b87abfe6731,
cdli_p516138_cusas_40_1354,CDLI,atf,https://cdli.earth/inscriptions/2334411/atf,200,379,d94b7a981e2ed829d0c08335b8867d2a589ef43da6676ca2451b7b93c11eddd5,
cdli_p516138_cusas_40_1354,CDLI,metadata,https://cdli.earth/artifacts/516138/json,200,3651,3e3749dd6b0b84ce792fc5dbfc635377a42b32e8ef1e4cf185735d739b4acfde,
cdli_p232277_rime_3_1_01_07_st_d,CDLI,atf,https://cdli.earth/inscriptions/2187023/atf,200,1810,e0d91ca127df91c14645bedff61ae45e7f8425095f645a8dc423e124b600be56,
cdli_p232277_rime_3_1_01_07_st_d,CDLI,metadata,https://cdli.earth/artifacts/232277/json,200,12010,bde2b79a119565bbe6eba18f3fe96f898eb77c704655a750820f547a6cbf1284,
cdli_p431881_gudea_cyl_a_composite,CDLI,atf,https://cdli.earth/inscriptions/2238733/atf,200,70402,3af75464a87513304d0a6417b2790fcbab9381979a5a05fcef3827322d2d1fa6,
cdli_p431881_gudea_cyl_a_composite,CDLI,metadata,https://cdli.earth/artifacts/431881/json,200,175196,972641a9119d220c41a855fd80190cdd77024876df8e4e6c0d17918bb2cecbcb,
cdli_p431882_gudea_cyl_b_composite,CDLI,atf,https://cdli.earth/inscriptions/2312920/atf,200,50301,4b1e5d145406b254fccc095bf6bd23e17a7bb8fb90d18b3f2fe958de0e633b1e,
cdli_p431882_gudea_cyl_b_composite,CDLI,metadata,https://cdli.earth/artifacts/431882/json,200,1218623,a43cad025a87b8da1b4777fb1672417f7aa3d283a6a500d91e043ffda0d80d3d,
cdli_p469516_enki_world_order,CDLI,atf,https://cdli.earth/inscriptions/2257941/atf,200,29183,c791d7f692e417a157dc968c7131587d5588977b820f83c8e32764ef79c93581,
cdli_p469516_enki_world_order,CDLI,metadata,https://cdli.earth/artifacts/469516/json,200,111361,174548bc84d61136a10a7ccfaa5df36b894b733865a579e32e4860c53bbdeba2,
cdli_p469679_curse_of_agade,CDLI,atf,https://cdli.earth/inscriptions/2257987/atf,200,39743,b436c76e148a0c44d0b66bb50bd467065c07753fae0189abeee095ba2c38f971,
cdli_p469679_curse_of_agade,CDLI,metadata,https://cdli.earth/artifacts/469679/json,200,119146,f3710f099984b503125b3836736b4411abff1c6c8b2b21c27c880672f18314d4,
cdli_p432309_rime_3_2_01_05_04,CDLI,atf,https://cdli.earth/inscriptions/2316970/atf,200,995,9ab312adb590dd299e9c12369b968d632690574685b01394b07b3129cd47e1e0,
cdli_p432309_rime_3_2_01_05_04,CDLI,metadata,https://cdli.earth/artifacts/432309/json,200,4424,e822a4264cfc20adb1c8551daa38af7a3e1924fa2ec8c5ce325698fc5c94c1d3,
bdtns_000128_bm_014594,BDTNS,html,https://bdtns.cesga.es/000128,200,24879,1e9c829179ebfbfd8d52bdbb4269e1b0fa1ea8599721f822818d8aff11f7ab84,
bdtns_011069_im_u_03884,BDTNS,html,https://bdtns.cesga.es/011069,200,23686,2b3ab9adcca8eb34943473a38a4e3ea968ebc7db321566e2f90594de8d3e3d91,
