candidate_id,target_id,target_label,target_source,target_units,target_pattern,external_row_id,external_site,external_region,external_type,external_symbol,external_text,external_units,external_pattern,candidate_assignments,candidate_values,focus_lane,data_tier,decision,skeptic_reason
cand_c5b412735788647e,toponym_meluhha,Meluhha toponym,ORACC/ePSD2 Meluhha GN entry and CDLI current Meluhha exports,me-luh-ha,ABC,1970.1,Kish,Mesopotamia,SEAL:S,Bull1,+000-643-240+,000-643-240,ABC,000=me;643=luh;240=ha,000=me;643=luh;240=ha,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_cd7dad0814e911a5,toponym_meluhha,Meluhha toponym,ORACC/ePSD2 Meluhha GN entry and CDLI current Meluhha exports,me-luh-ha,ABC,3866.1,Ra's al-Junayz,Persian Gulf,POT:T:g,None,]740-892-517+,740-892-517,ABC,740=me;892=luh;517=ha,740=me;892=luh;517=ha,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|damaged_or_open_text|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_f2065d16be860e5d,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship context,CDLI current ma2 me-luh-ha exports,ma2-me-luh-ha,ABCD,147.1,Failaka,Persian Gulf,SEAL:C,Gaur,+317-817-000-090+,317-817-000-090,ABCD,317=ma2;817=me;000=luh;090=ha,317=ma2;817=me;000=luh;090=ha,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_81c637a433fbeccd,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship context,CDLI current ma2 me-luh-ha exports,ma2-me-luh-ha,ABCD,148.1,Failaka,Persian Gulf,SEAL:C,-,]090-001-350-716+,090-001-350-716,ABCD,090=ma2;001=me;350=luh;716=ha,090=ma2;001=me;350=luh;716=ha,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|damaged_or_open_text|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_67655671db99aadb,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship context,CDLI current ma2 me-luh-ha exports,ma2-me-luh-ha,ABCD,3864.1,Ra's al-Junayz,Persian Gulf,POT:T:g,None,+740-029-220-000[,740-029-220-000,ABCD,740=ma2;029=me;220=luh;000=ha,740=ma2;029=me;220=luh;000=ha,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|damaged_or_open_text|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_a41da9ab743651d3,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship context,CDLI current ma2 me-luh-ha exports,ma2-me-luh-ha,ABCD,5227.1,Karzakan,Persian Gulf,SEAL:C,Gaur,+220-455-031-091+,220-455-031-091,ABCD,220=ma2;455=me;031=luh;091=ha,220=ma2;455=me;031=luh;091=ha,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_a327bf22b35cacda,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship context,CDLI current ma2 me-luh-ha exports,ma2-me-luh-ha,ABCD,5228.1,Karzakan,Persian Gulf,SEAL:C,Gaur,+033-001-032-091+,033-001-032-091,ABCD,033=ma2;001=me;032=luh;091=ha,033=ma2;001=me;032=luh;091=ha,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_62a50aebe8534ac5,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,CDLI P212982 adjacency and current Lu-Sunzida matched-negative export,lu2-sun2-zi-da,ABCD,147.1,Failaka,Persian Gulf,SEAL:C,Gaur,+317-817-000-090+,317-817-000-090,ABCD,317=lu2;817=sun2;000=zi;090=da,317=lu2;817=sun2;000=zi;090=da,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_819f246a849a2717,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,CDLI P212982 adjacency and current Lu-Sunzida matched-negative export,lu2-sun2-zi-da,ABCD,148.1,Failaka,Persian Gulf,SEAL:C,-,]090-001-350-716+,090-001-350-716,ABCD,090=lu2;001=sun2;350=zi;716=da,090=lu2;001=sun2;350=zi;716=da,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|damaged_or_open_text|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_ae0cf3e67d6c70d3,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,CDLI P212982 adjacency and current Lu-Sunzida matched-negative export,lu2-sun2-zi-da,ABCD,3864.1,Ra's al-Junayz,Persian Gulf,POT:T:g,None,+740-029-220-000[,740-029-220-000,ABCD,740=lu2;029=sun2;220=zi;000=da,740=lu2;029=sun2;220=zi;000=da,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|damaged_or_open_text|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_56e85d948fb5f231,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,CDLI P212982 adjacency and current Lu-Sunzida matched-negative export,lu2-sun2-zi-da,ABCD,5227.1,Karzakan,Persian Gulf,SEAL:C,Gaur,+220-455-031-091+,220-455-031-091,ABCD,220=lu2;455=sun2;031=zi;091=da,220=lu2;455=sun2;031=zi;091=da,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_20b7659e3b73f8ec,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,CDLI P212982 adjacency and current Lu-Sunzida matched-negative export,lu2-sun2-zi-da,ABCD,5228.1,Karzakan,Persian Gulf,SEAL:C,Gaur,+033-001-032-091+,033-001-032-091,ABCD,033=lu2;001=sun2;032=zi;091=da,033=lu2;001=sun2;032=zi;091=da,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_d98836e53bf9081a,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,"CDLI seals 014339 physical, line before eme-bal me-luh-ha{ki}",szu-i3-li2-su,ABCD,147.1,Failaka,Persian Gulf,SEAL:C,Gaur,+317-817-000-090+,317-817-000-090,ABCD,317=szu;817=i3;000=li2;090=su,317=szu;817=i3;000=li2;090=su,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_90b16cdc8dbb9d81,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,"CDLI seals 014339 physical, line before eme-bal me-luh-ha{ki}",szu-i3-li2-su,ABCD,148.1,Failaka,Persian Gulf,SEAL:C,-,]090-001-350-716+,090-001-350-716,ABCD,090=szu;001=i3;350=li2;716=su,090=szu;001=i3;350=li2;716=su,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|damaged_or_open_text|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_386cf3ab4215d715,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,"CDLI seals 014339 physical, line before eme-bal me-luh-ha{ki}",szu-i3-li2-su,ABCD,3864.1,Ra's al-Junayz,Persian Gulf,POT:T:g,None,+740-029-220-000[,740-029-220-000,ABCD,740=szu;029=i3;220=li2;000=su,740=szu;029=i3;220=li2;000=su,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|damaged_or_open_text|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_ff68b503818847bb,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,"CDLI seals 014339 physical, line before eme-bal me-luh-ha{ki}",szu-i3-li2-su,ABCD,5227.1,Karzakan,Persian Gulf,SEAL:C,Gaur,+220-455-031-091+,220-455-031-091,ABCD,220=szu;455=i3;031=li2;091=su,220=szu;455=i3;031=li2;091=su,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
cand_b57c89d1b4dcbe9e,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,"CDLI seals 014339 physical, line before eme-bal me-luh-ha{ki}",szu-i3-li2-su,ABCD,5228.1,Karzakan,Persian Gulf,SEAL:C,Gaur,+033-001-032-091+,033-001-032-091,ABCD,033=szu;001=i3;032=li2;091=su,033=szu;001=i3;032=li2;091=su,mesopotamia_gulf_focus,T3_quarantined_lipi_metadata|metadata_not_source_validated,retracted_length_pattern_only,"No object-level pairing between this cuneiform attestation and this Indus-style object. The candidate is generated by syllable-count/sign-count pattern compatibility only. External Indus object row remains source-image/catalogue unvalidated in this workspace. No language-family prior used, so no lexical rescue is allowed."
