record_id,record_type,source_system,source_url,source_path,source_sha256,laursen_no,reference,cdli_artifact,exact_reference,site_or_provenience,artifact_type,period,local_candidate_rows,target_status,claim_status,next_gate
laursen_12_failaka_kjaerum_1983_cat_no_319,target_queue_row,Laursen 2010 via existing queue,https://www.harappa.com/sites/default/files/pdf/The_westward_transmission_of_Indus_Valle.pdf,C:\Users\Acer\OneDrive\Documents\ivc\data\meluhha\gulf_type_indus_external_queue.csv,8cc6195fc78905f6f605fef6d0c5252795bb83683696d80b44ec2c79a9494c83,12,Kjaerum 1983 cat. no.319,,"Laursen 2010 Table 1, PDF lines 303-303",Failaka,Gulf INDUS,,candidate local Failaka rows 147.1/148.1; exact row-to-cat unresolved,priority target unresolved at catalogue-page/object level,no external anchor; acquisition row only,obtain Kjaerum 1983 cat.319 plate/catalogue page and map to local row/image
laursen_13_failaka_kjaerum_1983_cat_no_279,target_queue_row,Laursen 2010 via existing queue,https://www.harappa.com/sites/default/files/pdf/The_westward_transmission_of_Indus_Valle.pdf,C:\Users\Acer\OneDrive\Documents\ivc\data\meluhha\gulf_type_indus_external_queue.csv,8cc6195fc78905f6f605fef6d0c5252795bb83683696d80b44ec2c79a9494c83,13,Kjaerum 1983 cat. no.279,,"Laursen 2010 Table 1, PDF lines 304-304",Failaka,Gulf INDUS,,candidate local Failaka rows 147.1/148.1; exact row-to-cat unresolved,priority target unresolved at catalogue-page/object level,no external anchor; acquisition row only,obtain Kjaerum 1983 cat.279 plate/catalogue page and map to local row/image
cdli_p511661,adjacent_cdli_publication_artifact,CDLI,https://cdli.earth/publications/1773730/json,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\cdli_publication_1773730_kjaerum_failaka.json,5cb73c864926a3818500b7e15a7cf0e89758b6469d98dd6d7dc8972a9dfbf71b,,"Failaka/Dilmun : the second millennium settlements. Vol.1:1, The stamp and cylinder seals : plates and catalogue descriptions",P511661,Failaka/Dilmun seals 168-189.,uncertain (mod. Failaka),Cylinder seal,Middle Babylonian (ca. 1400-1100 BC),,not_target_catalogue_number,not a Meluhha/Indus bridge in current workspace,do not use as Kjaerum 279/319 evidence
cdli_p511663,adjacent_cdli_publication_artifact,CDLI,https://cdli.earth/publications/1773730/json,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\cdli_publication_1773730_kjaerum_failaka.json,5cb73c864926a3818500b7e15a7cf0e89758b6469d98dd6d7dc8972a9dfbf71b,,"Failaka/Dilmun : the second millennium settlements. Vol.1:1, The stamp and cylinder seals : plates and catalogue descriptions",P511663,"Failaka/Dilmun seals 162-163, No. 397",uncertain (mod. Failaka),Cylinder seal,Middle Babylonian (ca. 1400-1100 BC),,not_target_catalogue_number,not a Meluhha/Indus bridge in current workspace,do not use as Kjaerum 279/319 evidence
cdli_p511664,adjacent_cdli_publication_artifact,CDLI,https://cdli.earth/publications/1773730/json,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\cdli_publication_1773730_kjaerum_failaka.json,5cb73c864926a3818500b7e15a7cf0e89758b6469d98dd6d7dc8972a9dfbf71b,,"Failaka/Dilmun : the second millennium settlements. Vol.1:1, The stamp and cylinder seals : plates and catalogue descriptions",P511664,"Failaka/Dilmun seals 158-159, No 379",,Cylinder seal,Middle Babylonian (ca. 1400-1100 BC),,not_target_catalogue_number,not a Meluhha/Indus bridge in current workspace,do not use as Kjaerum 279/319 evidence
cdli_p511665,adjacent_cdli_publication_artifact,CDLI,https://cdli.earth/publications/1773730/json,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\cdli_publication_1773730_kjaerum_failaka.json,5cb73c864926a3818500b7e15a7cf0e89758b6469d98dd6d7dc8972a9dfbf71b,,"Failaka/Dilmun : the second millennium settlements. Vol.1:1, The stamp and cylinder seals : plates and catalogue descriptions",P511665,"Failaka/Dilmun seals 162-163, No 399",,Cylinder seal,Middle Babylonian (ca. 1400-1100 BC),,not_target_catalogue_number,not a Meluhha/Indus bridge in current workspace,do not use as Kjaerum 279/319 evidence
dainst_2043_2440_4491_fetch,blocked_source_route,DAI publications,https://publications.dainst.org/books/dai/catalog/download/2043/2440/4491?inline=1,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\dainst_gulf_indus_reference.pdf,e8a09b86c5c019bcdc525e13c7f5042424e240a1da85d17ec6f40193f13a31fe,12;13,DAI download route surfaced by source acquisition search,,,Failaka,Gulf INDUS source-route candidate,,candidate local Failaka rows 147.1/148.1 unresolved,blocked_antibot_html_not_pdf,no source text extracted; no claim,obtain a real PDF or library scan; current local file is not acceptable evidence
aarhus_university_press_kjaerum_1983,bibliographic_access_route,Aarhus University Press,https://en.unipress.dk/udgivelser/f/failakadilmun-the-second-millennium-settlements-danish-archaeological-investigations-in-kuwait/,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\aarhus_university_press_failaka_kjaerum.html,46ad2ec2c3aac89362f7ae5f0a1ec02ec7d0c5af2176b50b055981518e7ceb5b,12;13,Kjaerum 1983 Failaka/Dilmun 1:1 source-access route,,"Publisher listing for Failaka/Dilmun 1:1, The Stamp and Cylinder Seals; 171 pages; hardback; published 1983; ISBN 87 8841 506 6.",Failaka,book/catalogue route,,candidate local Failaka rows 147.1/148.1 unresolved,bibliographic_route_only_no_catalogue_page,no source page extracted; no claim,use as publisher/bibliographic route; still requires actual catalogue pages for nos. 279 and 319
cinii_bd0853856x_kjaerum_1983,bibliographic_access_route,CiNii Books,https://ci.nii.ac.jp/ncid/BD0853856X,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\cinii_bd0853856x_kjaerum.html,c0be9181785bf29e1dbb26e19d01c2f219c9e453483d51e8b8a0be9015675800,12;13,Kjaerum 1983 Failaka/Dilmun 1:1 source-access route,,Library record for The stamp and cylinder seals: plates and catalogue descriptions by Poul Kjaerum; NCID BD0853856X; ISBN 8788415066; 171 p.; holding at University of Tsukuba.,Failaka,book/catalogue route,,candidate local Failaka rows 147.1/148.1 unresolved,bibliographic_route_only_no_catalogue_page,no source page extracted; no claim,physical-copy access route; inspect catalogue pages for nos. 279 and 319
openlibrary_ol18985798w_failaka,bibliographic_access_route,Open Library,https://openlibrary.org/works/OL18985798W/Failaka_Dilmun_the_second_millennium_settlements,C:\Users\Acer\OneDrive\Documents\ivc\tmp\v1_external_acquisition_20260531\openlibrary_ol18985798w_failaka.html,83e0c545c4db820df6e543b09d6d153aff4c005e095fc9fa44c0835accabad6a,12;13,Kjaerum 1983 Failaka/Dilmun 1:1 source-access route,,"Open Library work route for Failaka/Dilmun, the second millennium settlements.",Failaka,book/catalogue route,,candidate local Failaka rows 147.1/148.1 unresolved,bibliographic_route_only_no_catalogue_page,no source page extracted; no claim,bibliographic discovery route only; no catalogue-page evidence found
