laursen_no,reference,area_site,gulf_type_label,grooves,source_provenance,current_workspace_link,current_anchor_status,next_gate
6,"Kjaerum 1994 fig.1726","Qalaat al-Bahrain","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 300-300","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Kjaerum 1994 figure/object record and test for associated readable inscription context"
7,"Kjaerum 1994 fig.1725","Qalaat al-Bahrain","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 300-300","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Kjaerum 1994 figure/object record and test for associated readable inscription context"
8,"Srivastava 1991 fig.55 left","Karzakkan Cemetery","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 300-300","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Srivastava 1991 figure and Bahrain burial-mound context"
9,"Al-Sindi 1999 no.182","Saar Cemetery","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 300-300","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Al-Sindi catalogue record and Saar context"
10,"Laursen 2010 this paper","Janabiyah Cemetery","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 301-301","no local row mapped","source-route only; no cuneiform bridge in workspace","extract Fig.1/Table 1 object context and check for associated burial/administrative inscriptions"
11,"Laursen 2010 this paper","Karzakkan Cemetery","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 302-302","no local row mapped","source-route only; no cuneiform bridge in workspace","extract Fig.1/Table 1 object context and check for associated burial/administrative inscriptions"
12,"Kjaerum 1983 cat. no.319","Failaka","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 303-303","candidate local Failaka rows 147.1/148.1; exact row-to-cat unresolved","priority source-route lead; no object-level bilingual bridge","obtain Kjaerum 1983 cat.319 plate/catalogue page and map to local row/image"
13,"Kjaerum 1983 cat. no.279","Failaka","Gulf INDUS","3","Laursen 2010 Table 1, PDF lines 304-304","candidate local Failaka rows 147.1/148.1; exact row-to-cat unresolved","priority source-route lead; no object-level bilingual bridge","obtain Kjaerum 1983 cat.279 plate/catalogue page and map to local row/image"
14,"Amiet 1972 no.1643","Susa","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 305-305","candidate local Susa row 3882.1 / SB 2425 route","source-route lead; no cuneiform name/title on object in workspace","obtain Amiet 1972 no.1643 and Louvre object metadata; test for associated readable Susa context"
15,"Amiet 1973 pl.23a-b","Luristan","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 306-306","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Amiet 1973 plate/object metadata and provenance"
16,"Gadd 1932 pl.I no.2","Ur","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 307-307","candidate local Ur row 3897.1 by site/shape/icon/length only","candidate mapping below accession threshold; no cuneiform bridge","obtain Mitchell 1986 figure/object no. and BM/Penn accession crosswalk"
17,"Gadd 1932 pl.I no.3","Ur","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 308-308","no verified local row mapping","source-route only; no cuneiform bridge in workspace","obtain Mitchell 1986 figure/object no. and BM/Penn accession crosswalk"
18,"Gadd 1932 pl.I no.4","Ur","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 309-309","weak candidate local Ur row 5231.1","candidate mapping below accession threshold; no cuneiform bridge","obtain Mitchell 1986 figure/object no. and BM/Penn accession crosswalk"
19,"Gadd 1932 pl.I no.5","Ur","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 310-310","no verified local row mapping","source-route only; no cuneiform bridge in workspace","obtain Mitchell 1986 figure/object no. and BM/Penn accession crosswalk"
20,"Gadd 1932 pl.I no.15","Ur","Gulf INDUS","N/A","Laursen 2010 Table 1, PDF lines 311-311; PG 401 context lines 1572-1573","local row 3899.1 / U8685","verified local object mapping; Indus-only in current source surface","test Mitchell 1986 no./fig. record for associated context; no sign value until readable cuneiform bridge exists"
21,"Gadd 1932 pl.I no.16","Ur","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 312-312; PG 1847 shaft context lines 1573-1578","local row 3898.1 / U17649","verified local object mapping; Indus-only in current source surface","test Mitchell 1986 no./fig. record for associated context; no sign value until readable cuneiform bridge exists"
22,"Sarzec and Heuzey 1884-1912 pl.30.3a-b","Girsu","Gulf INDUS","2","Laursen 2010 Table 1, PDF lines 313-313","candidate local Girsu/Tello row 3885.1 or 5222.1 unresolved","source-route only; no object-level bridge","obtain plate/object accession and map to local external rows"
23,"Gadd 1932 pl.I no.17","Near East","Gulf INDUS","N/A","Laursen 2010 Table 1, PDF lines 314-314","no local row mapped","source-route only; no cuneiform bridge in workspace","identify museum object and provenance; test for associated readable context"
24,"Gadd 1932 pl.I no.18","Near East","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 315-315","no local row mapped","source-route only; no cuneiform bridge in workspace","identify museum object and provenance; test for associated readable context"
25,"Langdon 1932 p.48 J. Rosen collection","Mesopotamia?","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 316-316","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Langdon/Rosen image and object metadata"
26,"Buchanan 1981 no.1088 / Newell 23","Mesopotamia?","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 317-317","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Buchanan/Newell record and object metadata"
27,"Buchanan 1981 no.1089 / Newell 876","Mesopotamia?","Gulf INDUS","1","Laursen 2010 Table 1, PDF lines 318-318","no local row mapped","source-route only; no cuneiform bridge in workspace","obtain Buchanan/Newell record and object metadata"
