join_id,join_type,status,cuneiform_attestation_id,cuneiform_source_system,cuneiform_source_id,cuneiform_line_ref,cuneiform_token_type,cuneiform_period,cuneiform_dates_referenced,cuneiform_provenience,cuneiform_site_aliases,cuneiform_co_route_tokens,external_row_id,external_cisi,external_region,external_site,external_type,external_material,external_shape,external_symbol,external_text_length,external_text,external_date_status,join_basis,forger_gate_status,skeptic_gate_status,notes
join_mel_bdtns_000128_bm_014594_3_mu_ur_dlamma_dumu_me_luh_ha_e_3_5222_1,direct_site_overlap,join_surface_not_claim,mel_bdtns_000128_bm_014594_3_mu_ur_dlamma_dumu_me_luh_ha_e_3,BDTNS,BDTNS 000128 / BM 014594,3,personal_name_with_origin_or_patronymic,Ur III,AS01 - 00 - 00,Ĝirsu,Girsu,,5222.1,-,Mesopotamia,Girsu,SEAL:C,-,circular,Gaur,5,+740-000-744-013-255+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Girsu,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_bdtns_000128_bm_014594_4_ur_dlamma_dumu_me_luh_ha_5222_1,direct_site_overlap,join_surface_not_claim,mel_bdtns_000128_bm_014594_4_ur_dlamma_dumu_me_luh_ha,BDTNS,BDTNS 000128 / BM 014594,4,personal_name_with_origin_or_patronymic,Ur III,AS01 - 00 - 00,Ĝirsu,Girsu,,5222.1,-,Mesopotamia,Girsu,SEAL:C,-,circular,Gaur,5,+740-000-744-013-255+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Girsu,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha_3897_1,direct_site_overlap,join_surface_not_claim,mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha,BDTNS,BDTNS 011069 / IM U. 03884,4,object_or_commodity_designation_with_meluhha,Ur III,IS15* - 04 - 20,Ur,Ur,,3897.1,-,Mesopotamia,Ur,SEAL:C,Steatite,circular,Gaur,5,+093-340-924-220-528+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Ur,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha_3898_1,direct_site_overlap,join_surface_not_claim,mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha,BDTNS,BDTNS 011069 / IM U. 03884,4,object_or_commodity_designation_with_meluhha,Ur III,IS15* - 04 - 20,Ur,Ur,,3898.1,-,Mesopotamia,Ur,SEAL:C,-,circular,Gaur,6,+002-004-328-001-803-415+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Ur,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha_3899_1,direct_site_overlap,join_surface_not_claim,mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha,BDTNS,BDTNS 011069 / IM U. 03884,4,object_or_commodity_designation_with_meluhha,Ur III,IS15* - 04 - 20,Ur,Ur,,3899.1,-,Mesopotamia,Ur,SEAL:C,-,circular,Gaur,5,+000-000-004-090-350+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Ur,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha_5225_1,direct_site_overlap,join_surface_not_claim,mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha,BDTNS,BDTNS 011069 / IM U. 03884,4,object_or_commodity_designation_with_meluhha,Ur III,IS15* - 04 - 20,Ur,Ur,,5225.1,-,Mesopotamia,Ur,SEAL:C,-,circular,-,5+?,]000-001-000-090-000[,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Ur,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha_5231_1,direct_site_overlap,join_surface_not_claim,mel_bdtns_011069_im_u_03884_4_1_dar_me_luh_ha,BDTNS,BDTNS 011069 / IM U. 03884,4,object_or_commodity_designation_with_meluhha,Ur III,IS15* - 04 - 20,Ur,Ur,,5231.1,-,Mesopotamia,Ur,SEAL:C,-,-,-,2+?,]405-090[,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Ur,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_cdli_p232277_rime_3_1_01_07_st_d_8_me_luh_haki_3885_1,direct_site_overlap,join_surface_not_claim,mel_cdli_p232277_rime_3_1_01_07_st_d_8_me_luh_haki,CDLI,"P232277 / RIME 3/1.01.07, St D witness",8,toponym_in_route_list,Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,Girsu (mod. Tello),Girsu|Tello,Magan|Dilmun|Gubi,3885.1,-,Mesopotamia,Tello,SEAL:S,-,square,Tigr,5,+000-220-390-440-384+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Tello,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_cdli_p232277_rime_3_1_01_07_st_d_8_me_luh_haki_5222_1,direct_site_overlap,join_surface_not_claim,mel_cdli_p232277_rime_3_1_01_07_st_d_8_me_luh_haki,CDLI,"P232277 / RIME 3/1.01.07, St D witness",8,toponym_in_route_list,Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,Girsu (mod. Tello),Girsu|Tello,Magan|Dilmun|Gubi,5222.1,-,Mesopotamia,Girsu,SEAL:C,-,circular,Gaur,5,+740-000-744-013-255+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Girsu,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_cdli_p431881_gudea_cyl_a_composite_240_ma2_gan_me_luh_ha_kur_bi_ta_im_ma_ta_e11_de3_3885_1,direct_site_overlap,join_surface_not_claim,mel_cdli_p431881_gudea_cyl_a_composite_240_ma2_gan_me_luh_ha_kur_bi_ta_im_ma_ta_e11_de3,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",240,ship_or_trade_route_context,Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,Girsu (mod. Tello),Girsu|Tello,Magan,3885.1,-,Mesopotamia,Tello,SEAL:S,-,square,Tigr,5,+000-220-390-440-384+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Tello,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_cdli_p431881_gudea_cyl_a_composite_240_ma2_gan_me_luh_ha_kur_bi_ta_im_ma_ta_e11_de3_5222_1,direct_site_overlap,join_surface_not_claim,mel_cdli_p431881_gudea_cyl_a_composite_240_ma2_gan_me_luh_ha_kur_bi_ta_im_ma_ta_e11_de3,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",240,ship_or_trade_route_context,Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,Girsu (mod. Tello),Girsu|Tello,Magan,5222.1,-,Mesopotamia,Girsu,SEAL:C,-,circular,Gaur,5,+740-000-744-013-255+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Girsu,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_cdli_p431881_gudea_cyl_a_composite_394_ma2_gan_me_luh_ha_kur_bi_ta_gu2_gesz_mu_na_ab_gal2_3885_1,direct_site_overlap,join_surface_not_claim,mel_cdli_p431881_gudea_cyl_a_composite_394_ma2_gan_me_luh_ha_kur_bi_ta_gu2_gesz_mu_na_ab_gal2,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",394,ship_or_trade_route_context,Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,Girsu (mod. Tello),Girsu|Tello,Magan|Elam|Susa,3885.1,-,Mesopotamia,Tello,SEAL:S,-,square,Tigr,5,+000-220-390-440-384+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Tello,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_cdli_p431881_gudea_cyl_a_composite_394_ma2_gan_me_luh_ha_kur_bi_ta_gu2_gesz_mu_na_ab_gal2_5222_1,direct_site_overlap,join_surface_not_claim,mel_cdli_p431881_gudea_cyl_a_composite_394_ma2_gan_me_luh_ha_kur_bi_ta_gu2_gesz_mu_na_ab_gal2,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",394,ship_or_trade_route_context,Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,Girsu (mod. Tello),Girsu|Tello,Magan|Elam|Susa,5222.1,-,Mesopotamia,Girsu,SEAL:C,-,circular,Gaur,5,+740-000-744-013-255+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Girsu,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
join_mel_cdli_p431881_gudea_cyl_a_composite_443_gug_gi_rin_e_me_luh_ha_ta_3885_1,direct_site_overlap,join_surface_not_claim,mel_cdli_p431881_gudea_cyl_a_composite_443_gug_gi_rin_e_me_luh_ha_ta,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",443,commodity_route_context,Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,Girsu (mod. Tello),Girsu|Tello,,3885.1,-,Mesopotamia,Tello,SEAL:S,-,square,Tigr,5,+000-220-390-440-384+,unavailable_in_external_indus_objects_csv,external site equals cuneiform provenance alias: Tello,not_run,not_run,"Literal site-overlap join surface only; no sign value, reading, translation, or external anchor is claimed."
