null_model,iteration,join_rows,admin_or_name_join_rows,distinct_join_sites
random_site_aliases_all_external_sites,0,32,6,11
random_site_aliases_all_external_sites,1,33,7,13
random_site_aliases_all_external_sites,2,31,6,14
random_site_aliases_all_external_sites,3,22,5,14
random_site_aliases_all_external_sites,4,32,5,12
random_site_aliases_all_external_sites,5,30,5,13
random_site_aliases_all_external_sites,6,36,6,11
random_site_aliases_all_external_sites,7,34,7,14
random_site_aliases_all_external_sites,8,32,9,13
random_site_aliases_all_external_sites,9,28,7,12
random_site_aliases_all_external_sites,10,30,5,12
random_site_aliases_all_external_sites,11,29,6,14
random_site_aliases_all_external_sites,12,28,7,14
random_site_aliases_all_external_sites,13,29,5,12
random_site_aliases_all_external_sites,14,33,5,15
random_site_aliases_all_external_sites,15,33,6,13
random_site_aliases_all_external_sites,16,34,5,13
random_site_aliases_all_external_sites,17,31,10,14
random_site_aliases_all_external_sites,18,28,6,12
random_site_aliases_all_external_sites,19,31,4,12
random_site_aliases_all_external_sites,20,25,5,13
random_site_aliases_all_external_sites,21,30,9,14
random_site_aliases_all_external_sites,22,27,5,16
random_site_aliases_all_external_sites,23,22,4,11
random_site_aliases_all_external_sites,24,23,6,11
random_site_aliases_all_external_sites,25,28,4,14
random_site_aliases_all_external_sites,26,29,5,15
random_site_aliases_all_external_sites,27,28,6,14
random_site_aliases_all_external_sites,28,27,7,13
random_site_aliases_all_external_sites,29,22,5,10
random_site_aliases_all_external_sites,30,28,6,13
random_site_aliases_all_external_sites,31,33,7,15
random_site_aliases_all_external_sites,32,24,4,15
random_site_aliases_all_external_sites,33,26,5,13
random_site_aliases_all_external_sites,34,27,4,13
random_site_aliases_all_external_sites,35,31,6,14
random_site_aliases_all_external_sites,36,27,5,14
random_site_aliases_all_external_sites,37,32,8,13
random_site_aliases_all_external_sites,38,28,7,15
random_site_aliases_all_external_sites,39,27,6,12
random_site_aliases_all_external_sites,40,31,6,13
random_site_aliases_all_external_sites,41,36,6,13
random_site_aliases_all_external_sites,42,20,5,12
random_site_aliases_all_external_sites,43,34,7,12
random_site_aliases_all_external_sites,44,25,9,14
random_site_aliases_all_external_sites,45,30,8,14
random_site_aliases_all_external_sites,46,24,6,13
random_site_aliases_all_external_sites,47,29,6,15
random_site_aliases_all_external_sites,48,23,5,15
random_site_aliases_all_external_sites,49,37,10,14
random_site_aliases_all_external_sites,50,27,4,14
random_site_aliases_all_external_sites,51,27,4,14
random_site_aliases_all_external_sites,52,24,7,13
random_site_aliases_all_external_sites,53,28,5,12
random_site_aliases_all_external_sites,54,30,5,12
random_site_aliases_all_external_sites,55,29,8,10
random_site_aliases_all_external_sites,56,32,7,13
random_site_aliases_all_external_sites,57,21,5,15
random_site_aliases_all_external_sites,58,36,10,14
random_site_aliases_all_external_sites,59,27,9,14
random_site_aliases_all_external_sites,60,25,4,13
random_site_aliases_all_external_sites,61,24,5,15
random_site_aliases_all_external_sites,62,29,5,12
random_site_aliases_all_external_sites,63,25,5,13
random_site_aliases_all_external_sites,64,23,4,13
random_site_aliases_all_external_sites,65,23,7,12
random_site_aliases_all_external_sites,66,25,4,12
random_site_aliases_all_external_sites,67,34,7,12
random_site_aliases_all_external_sites,68,26,8,13
random_site_aliases_all_external_sites,69,25,4,10
random_site_aliases_all_external_sites,70,28,6,13
random_site_aliases_all_external_sites,71,35,9,13
random_site_aliases_all_external_sites,72,25,5,16
random_site_aliases_all_external_sites,73,23,6,15
random_site_aliases_all_external_sites,74,30,5,13
random_site_aliases_all_external_sites,75,33,7,13
random_site_aliases_all_external_sites,76,28,7,12
random_site_aliases_all_external_sites,77,24,5,13
random_site_aliases_all_external_sites,78,22,5,11
random_site_aliases_all_external_sites,79,27,4,14
random_site_aliases_all_external_sites,80,29,6,11
random_site_aliases_all_external_sites,81,27,5,14
random_site_aliases_all_external_sites,82,33,6,14
random_site_aliases_all_external_sites,83,33,4,14
random_site_aliases_all_external_sites,84,32,4,13
random_site_aliases_all_external_sites,85,25,5,11
random_site_aliases_all_external_sites,86,28,5,13
random_site_aliases_all_external_sites,87,27,5,14
random_site_aliases_all_external_sites,88,35,7,15
random_site_aliases_all_external_sites,89,33,5,14
random_site_aliases_all_external_sites,90,27,5,14
random_site_aliases_all_external_sites,91,27,4,13
random_site_aliases_all_external_sites,92,34,6,13
random_site_aliases_all_external_sites,93,30,5,14
random_site_aliases_all_external_sites,94,24,8,13
random_site_aliases_all_external_sites,95,29,7,13
random_site_aliases_all_external_sites,96,31,13,15
random_site_aliases_all_external_sites,97,35,9,13
random_site_aliases_all_external_sites,98,31,8,15
random_site_aliases_all_external_sites,99,29,8,13
random_site_aliases_all_external_sites,100,28,4,13
random_site_aliases_all_external_sites,101,33,5,14
random_site_aliases_all_external_sites,102,22,4,13
random_site_aliases_all_external_sites,103,35,5,12
random_site_aliases_all_external_sites,104,31,5,14
random_site_aliases_all_external_sites,105,27,6,13
random_site_aliases_all_external_sites,106,36,5,12
random_site_aliases_all_external_sites,107,29,7,14
random_site_aliases_all_external_sites,108,33,7,13
random_site_aliases_all_external_sites,109,27,5,12
random_site_aliases_all_external_sites,110,25,4,14
random_site_aliases_all_external_sites,111,30,5,14
random_site_aliases_all_external_sites,112,28,9,16
random_site_aliases_all_external_sites,113,36,5,14
random_site_aliases_all_external_sites,114,29,6,14
random_site_aliases_all_external_sites,115,29,6,13
random_site_aliases_all_external_sites,116,21,4,14
random_site_aliases_all_external_sites,117,25,6,13
random_site_aliases_all_external_sites,118,29,6,14
random_site_aliases_all_external_sites,119,25,4,13
random_site_aliases_all_external_sites,120,27,5,13
random_site_aliases_all_external_sites,121,23,4,14
random_site_aliases_all_external_sites,122,26,6,14
random_site_aliases_all_external_sites,123,23,6,12
random_site_aliases_all_external_sites,124,31,10,14
random_site_aliases_all_external_sites,125,27,8,13
random_site_aliases_all_external_sites,126,32,5,13
random_site_aliases_all_external_sites,127,29,7,13
random_site_aliases_all_external_sites,128,25,5,13
random_site_aliases_all_external_sites,129,26,7,14
random_site_aliases_all_external_sites,130,27,4,14
random_site_aliases_all_external_sites,131,26,6,15
random_site_aliases_all_external_sites,132,20,5,12
random_site_aliases_all_external_sites,133,27,7,15
random_site_aliases_all_external_sites,134,26,4,16
random_site_aliases_all_external_sites,135,31,10,13
random_site_aliases_all_external_sites,136,37,5,13
random_site_aliases_all_external_sites,137,32,8,12
random_site_aliases_all_external_sites,138,30,7,13
random_site_aliases_all_external_sites,139,35,8,12
random_site_aliases_all_external_sites,140,33,9,14
random_site_aliases_all_external_sites,141,31,6,14
random_site_aliases_all_external_sites,142,30,5,12
random_site_aliases_all_external_sites,143,32,7,16
random_site_aliases_all_external_sites,144,31,10,15
random_site_aliases_all_external_sites,145,22,4,10
random_site_aliases_all_external_sites,146,29,7,10
random_site_aliases_all_external_sites,147,25,4,11
random_site_aliases_all_external_sites,148,33,13,16
random_site_aliases_all_external_sites,149,30,8,13
random_site_aliases_all_external_sites,150,36,9,15
random_site_aliases_all_external_sites,151,32,6,14
random_site_aliases_all_external_sites,152,25,7,13
random_site_aliases_all_external_sites,153,35,7,14
random_site_aliases_all_external_sites,154,33,9,13
random_site_aliases_all_external_sites,155,27,5,13
random_site_aliases_all_external_sites,156,25,5,15
random_site_aliases_all_external_sites,157,22,4,13
random_site_aliases_all_external_sites,158,26,6,14
random_site_aliases_all_external_sites,159,33,11,12
random_site_aliases_all_external_sites,160,28,5,13
random_site_aliases_all_external_sites,161,39,7,14
random_site_aliases_all_external_sites,162,30,5,15
random_site_aliases_all_external_sites,163,29,6,14
random_site_aliases_all_external_sites,164,23,7,14
random_site_aliases_all_external_sites,165,31,5,14
random_site_aliases_all_external_sites,166,31,5,14
random_site_aliases_all_external_sites,167,24,8,14
random_site_aliases_all_external_sites,168,24,7,13
random_site_aliases_all_external_sites,169,35,8,13
random_site_aliases_all_external_sites,170,23,4,12
random_site_aliases_all_external_sites,171,38,10,14
random_site_aliases_all_external_sites,172,28,4,12
random_site_aliases_all_external_sites,173,26,6,15
random_site_aliases_all_external_sites,174,30,7,14
random_site_aliases_all_external_sites,175,31,10,11
random_site_aliases_all_external_sites,176,25,6,15
random_site_aliases_all_external_sites,177,26,7,16
random_site_aliases_all_external_sites,178,30,8,13
random_site_aliases_all_external_sites,179,27,8,11
random_site_aliases_all_external_sites,180,21,4,12
random_site_aliases_all_external_sites,181,25,5,14
random_site_aliases_all_external_sites,182,29,10,11
random_site_aliases_all_external_sites,183,27,6,12
random_site_aliases_all_external_sites,184,26,5,14
random_site_aliases_all_external_sites,185,23,6,10
random_site_aliases_all_external_sites,186,24,4,13
random_site_aliases_all_external_sites,187,30,10,13
random_site_aliases_all_external_sites,188,30,6,13
random_site_aliases_all_external_sites,189,31,6,14
random_site_aliases_all_external_sites,190,30,5,13
random_site_aliases_all_external_sites,191,32,6,16
random_site_aliases_all_external_sites,192,34,11,12
random_site_aliases_all_external_sites,193,24,4,13
random_site_aliases_all_external_sites,194,26,9,15
random_site_aliases_all_external_sites,195,25,9,15
random_site_aliases_all_external_sites,196,28,8,12
random_site_aliases_all_external_sites,197,29,7,14
random_site_aliases_all_external_sites,198,37,10,13
random_site_aliases_all_external_sites,199,31,9,13
random_site_aliases_all_external_sites,200,27,5,14
random_site_aliases_all_external_sites,201,31,8,12
random_site_aliases_all_external_sites,202,31,7,12
random_site_aliases_all_external_sites,203,36,5,15
random_site_aliases_all_external_sites,204,26,4,14
random_site_aliases_all_external_sites,205,32,11,12
random_site_aliases_all_external_sites,206,24,6,15
random_site_aliases_all_external_sites,207,30,6,13
random_site_aliases_all_external_sites,208,34,4,14
random_site_aliases_all_external_sites,209,24,5,13
random_site_aliases_all_external_sites,210,27,4,13
random_site_aliases_all_external_sites,211,21,7,12
random_site_aliases_all_external_sites,212,39,11,14
random_site_aliases_all_external_sites,213,30,8,14
random_site_aliases_all_external_sites,214,25,5,13
random_site_aliases_all_external_sites,215,27,7,15
random_site_aliases_all_external_sites,216,29,7,14
random_site_aliases_all_external_sites,217,29,5,14
random_site_aliases_all_external_sites,218,26,5,14
random_site_aliases_all_external_sites,219,35,8,14
random_site_aliases_all_external_sites,220,34,6,15
random_site_aliases_all_external_sites,221,27,6,10
random_site_aliases_all_external_sites,222,30,5,15
random_site_aliases_all_external_sites,223,26,4,14
random_site_aliases_all_external_sites,224,28,5,15
random_site_aliases_all_external_sites,225,24,7,12
random_site_aliases_all_external_sites,226,31,5,15
random_site_aliases_all_external_sites,227,25,7,13
random_site_aliases_all_external_sites,228,28,7,13
random_site_aliases_all_external_sites,229,32,5,14
random_site_aliases_all_external_sites,230,39,10,14
random_site_aliases_all_external_sites,231,24,5,13
random_site_aliases_all_external_sites,232,36,8,13
random_site_aliases_all_external_sites,233,33,9,14
random_site_aliases_all_external_sites,234,20,5,13
random_site_aliases_all_external_sites,235,30,6,12
random_site_aliases_all_external_sites,236,26,4,12
random_site_aliases_all_external_sites,237,32,7,14
random_site_aliases_all_external_sites,238,27,5,13
random_site_aliases_all_external_sites,239,29,7,11
random_site_aliases_all_external_sites,240,29,8,13
random_site_aliases_all_external_sites,241,30,4,15
random_site_aliases_all_external_sites,242,25,5,14
random_site_aliases_all_external_sites,243,24,5,12
random_site_aliases_all_external_sites,244,26,7,13
random_site_aliases_all_external_sites,245,32,6,15
random_site_aliases_all_external_sites,246,29,4,15
random_site_aliases_all_external_sites,247,26,6,15
random_site_aliases_all_external_sites,248,29,5,15
random_site_aliases_all_external_sites,249,29,8,13
random_site_aliases_all_external_sites,250,34,10,14
random_site_aliases_all_external_sites,251,27,4,12
random_site_aliases_all_external_sites,252,27,6,14
random_site_aliases_all_external_sites,253,30,5,13
random_site_aliases_all_external_sites,254,29,7,14
random_site_aliases_all_external_sites,255,26,7,13
random_site_aliases_all_external_sites,256,25,8,11
random_site_aliases_all_external_sites,257,26,8,14
random_site_aliases_all_external_sites,258,23,4,11
random_site_aliases_all_external_sites,259,35,9,14
random_site_aliases_all_external_sites,260,27,4,16
random_site_aliases_all_external_sites,261,29,6,14
random_site_aliases_all_external_sites,262,29,7,10
random_site_aliases_all_external_sites,263,31,9,11
random_site_aliases_all_external_sites,264,21,5,12
random_site_aliases_all_external_sites,265,36,9,16
random_site_aliases_all_external_sites,266,25,4,12
random_site_aliases_all_external_sites,267,32,5,12
random_site_aliases_all_external_sites,268,27,5,16
random_site_aliases_all_external_sites,269,30,8,10
random_site_aliases_all_external_sites,270,26,5,16
