candidate_id,target_id,target_label,target_source_id,target_site,target_units,target_pattern,external_row_id,external_site,external_object_route,external_object_tier,external_text,external_units,external_pattern,candidate_assignments,candidate_values,site_relation,object_bridge_state,pattern_site_candidate_count,pattern_all_focus_count,same_row_target_ambiguity_count,decision,skeptic_reason
onomastic_c5b41273578864,toponym_meluhha,me-luh-ha / Meluhha toponym,multiple,*,me-luh-ha,ABC,1970.1,Kish,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+000-643-240+,000-643-240,ABC,000=me;643=luh;240=ha,000=me;643=luh;240=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,2,2,1,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_cd7dad0814e911,toponym_meluhha,me-luh-ha / Meluhha toponym,multiple,*,me-luh-ha,ABC,3866.1,Ra's al-Junayz,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,]740-892-517+,740-892-517,ABC,740=me;892=luh;517=ha,740=me;892=luh;517=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,2,2,1,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_f2065d16be860e,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship or route context,CDLI route and literary contexts,*,ma2-me-luh-ha,ABCD,147.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,+317-817-000-090+,317-817-000-090,ABCD,317=ma2;817=me;000=luh;090=ha,317=ma2;817=me;000=luh;090=ha,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_81c637a433fbec,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship or route context,CDLI route and literary contexts,*,ma2-me-luh-ha,ABCD,148.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,]090-001-350-716+,090-001-350-716,ABCD,090=ma2;001=me;350=luh;716=ha,090=ma2;001=me;350=luh;716=ha,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_c149deea91873d,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship or route context,CDLI route and literary contexts,*,ma2-me-luh-ha,ABCD,2153.1,Luristan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+831-413-840-091+,831-413-840-091,ABCD,831=ma2;413=me;840=luh;091=ha,831=ma2;413=me;840=luh;091=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_67655671db99aa,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship or route context,CDLI route and literary contexts,*,ma2-me-luh-ha,ABCD,3864.1,Ra's al-Junayz,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+740-029-220-000[,740-029-220-000,ABCD,740=ma2;029=me;220=luh;000=ha,740=ma2;029=me;220=luh;000=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_a41da9ab743651,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship or route context,CDLI route and literary contexts,*,ma2-me-luh-ha,ABCD,5227.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+220-455-031-091+,220-455-031-091,ABCD,220=ma2;455=me;031=luh;091=ha,220=ma2;455=me;031=luh;091=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_a327bf22b35cac,ship_ma2_meluhha,ma2 me-luh-ha / Meluhha ship or route context,CDLI route and literary contexts,*,ma2-me-luh-ha,ABCD,5228.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+033-001-032-091+,033-001-032-091,ABCD,033=ma2;001=me;032=luh;091=ha,033=ma2;001=me;032=luh;091=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_62a50aebe8534a,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,P212982 line 5,*,lu2-sun2-zi-da,ABCD,147.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,+317-817-000-090+,317-817-000-090,ABCD,317=lu2;817=sun2;000=zi;090=da,317=lu2;817=sun2;000=zi;090=da,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_819f246a849a27,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,P212982 line 5,*,lu2-sun2-zi-da,ABCD,148.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,]090-001-350-716+,090-001-350-716,ABCD,090=lu2;001=sun2;350=zi;716=da,090=lu2;001=sun2;350=zi;716=da,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_c89523801eb2fd,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,P212982 line 5,*,lu2-sun2-zi-da,ABCD,2153.1,Luristan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+831-413-840-091+,831-413-840-091,ABCD,831=lu2;413=sun2;840=zi;091=da,831=lu2;413=sun2;840=zi;091=da,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_ae0cf3e67d6c70,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,P212982 line 5,*,lu2-sun2-zi-da,ABCD,3864.1,Ra's al-Junayz,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+740-029-220-000[,740-029-220-000,ABCD,740=lu2;029=sun2;220=zi;000=da,740=lu2;029=sun2;220=zi;000=da,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_56e85d948fb5f2,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,P212982 line 5,*,lu2-sun2-zi-da,ABCD,5227.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+220-455-031-091+,220-455-031-091,ABCD,220=lu2;455=sun2;031=zi;091=da,220=lu2;455=sun2;031=zi;091=da,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_20b7659e3b73f8,name_lu_sunzida,lu2-sun2-zi-da / Lu-sunzida,P212982 line 5,*,lu2-sun2-zi-da,ABCD,5228.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+033-001-032-091+,033-001-032-091,ABCD,033=lu2;001=sun2;032=zi;091=da,033=lu2;001=sun2;032=zi;091=da,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_d98836e53bf908,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,P525331 / CDLI Seals 014339,*,szu-i3-li2-su,ABCD,147.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,+317-817-000-090+,317-817-000-090,ABCD,317=szu;817=i3;000=li2;090=su,317=szu;817=i3;000=li2;090=su,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
