site,rows,has_090,has_091,has_either,has_both_any_row,examples
Failaka,2,true,false,true,false,147.1:+317-817-000-090+ | 148.1:]090-001-350-716+
Girsu,1,false,false,false,false,5222.1:+740-000-744-013-255+
Janabiyah,1,false,false,false,false,5232.1:+055-099-121-055-831-031-071+
Kalba,1,false,true,true,false,5551.1:+091+
Karzakan,3,false,true,true,false,5227.1:+220-455-031-091+ | 5228.1:+033-001-032-091+ | 5230.1:+740/740+
Luristan,1,false,true,true,false,2153.1:+831-413-840-091+
Qala'at al-Bahrain,1,true,false,true,false,3863.1:+160-090-055-060-190+
Saar,1,false,true,true,false,5229.1:+031-093-001-091-220-055+
Susa,1,true,false,true,false,3881.1:+700-604-407-090-365-000+
Ur,5,true,false,true,false,3897.1:+093-340-924-220-528+ | 3898.1:+002-004-328-001-803-415+ | 3899.1:+000-000-004-090-350+ | 5225.1:]000-001-000-090-000[ | 5231.1:]405-090[
