object,id,site,region,type,shape,symbol,circular_class,admin_hit,route_hit_090091,admin_signs,route_signs,text
Alt-90,16.1,Altyn Depe,Central Asia,SEAL:S,square,NA,false,false,false,,,+390-415+
147.1,147.1,Failaka,Persian Gulf,SEAL:C,circular,Gaur,true,false,true,,090,+317-817-000-090+
148.1,148.1,Failaka,Persian Gulf,SEAL:C,circular,NA,true,false,true,,090,]090-001-350-716+
160.1,160.1,Hajar,Persian Gulf,TAB:I,prism,Gaur,false,false,false,,,+617-117+
5551.1,5551.1,Kalba,Persian Gulf,SEAL:C,NA,NA,true,false,true,,091,+091+
1970.1,1970.1,Kish,Mesopotamia,SEAL:S,square,Bull1,false,false,false,,,+000-643-240+
1971.1,1971.1,Kish,Mesopotamia,SEAL:S,square,Bull1:L,false,true,false,740,,+740-390-590-220-003-060-840-416+
2153.1,2153.1,Luristan,Iranian Plateau,SEAL:C,circular,Gaur,true,false,true,,091,+831-413-840-091+
3860.1,3860.1,Nippur,Mesopotamia,SEAL:S,square,Zebu,false,false,false,,,+151-000+
Nd-1,3858.1,Nindowari-damb,Iranian Plateau,SEAL:S,square,Bull1:S,false,true,false,740,,+817-220-632-066-740-760-026-060-257+
Nd-2,3859.1,Nindowari-damb,Iranian Plateau,SEAL:S,square,Bull1:W,false,true,false,400,,+400-798-255+
3863.1,3863.1,Qala'at al-Bahrain,Persian Gulf,SEAL:C,circular,Gaur,true,false,true,,090,+160-090-055-060-190+
3864.1,3864.1,Ra's al-Junayz,Persian Gulf,POT:T:g,NA,NA,false,true,false,740,,+740-029-220-000[
3865.1,3865.1,Ra's al-Junayz,Persian Gulf,POT:T:g,NA,NA,false,false,false,,,+405-004+
3866.1,3866.1,Ra's al-Junayz,Persian Gulf,POT:T:g,NA,NA,false,true,false,740,,]740-892-517+
Sh-69,3874.1,Shortughai,Central Asia,SEAL:S,square,Rhin,false,false,false,,,+426-003+
3881.1,3881.1,Susa,Iranian Plateau,SEAL:C,circular,Gaur,true,true,true,407,090,+700-604-407-090-365-000+
3882.1,3882.1,Susa,Iranian Plateau,SEAL:CY,cylindrical,Gaur,false,false,false,,,+416-150-002-055-031-319-001-924+
3884.1,3884.1,Tell Umma,Mesopotamia,TAG:L,NA,Bull1,false,false,false,,,+390-004-002-705-127+
3885.1,3885.1,Tello,Mesopotamia,SEAL:S,square,Tigr,false,false,false,,,+000-220-390-440-384+
TY-106,3886.1,Tepe Yahya,Iranian Plateau,POT:T:s,NA,NA,false,false,false,,,+002-095-000[
3897.1,3897.1,Ur,Mesopotamia,SEAL:C,circular,Gaur,true,false,false,,,+093-340-924-220-528+
3898.1,3898.1,Ur,Mesopotamia,SEAL:C,circular,Gaur,true,false,false,,,+002-004-328-001-803-415+
3899.1,3899.1,Ur,Mesopotamia,SEAL:C,circular,Gaur,true,false,true,,090,+000-000-004-090-350+
4155.1,4155.1,Gonur Depe,Central Asia,SEAL:S,square,Elep,false,true,false,740,,+740-390-590-125-220-235-002-285+
4173.1,4173.1,Salut,Persian Gulf,SEAL:S,square,Gaur,false,false,false,,,+392-004-002-278-595+
4174.1,4174.1,Salut,Persian Gulf,TAG,NA,Elep,false,false,false,,,+921-000[
5222.1,5222.1,Girsu,Mesopotamia,SEAL:C,circular,Gaur,true,true,false,740,,+740-000-744-013-255+
5225.1,5225.1,Ur,Mesopotamia,SEAL:C,circular,NA,true,false,true,,090,]000-001-000-090-000[
5227.1,5227.1,Karzakan,Persian Gulf,SEAL:C,circular,Gaur,true,false,true,,091,+220-455-031-091+
5228.1,5228.1,Karzakan,Persian Gulf,SEAL:C,circular,Gaur,true,false,true,,091,+033-001-032-091+
5229.1,5229.1,Saar,Persian Gulf,SEAL:C,circular,NA,true,false,true,,091,+031-093-001-091-220-055+
5230.1,5230.1,Karzakan,Persian Gulf,SEAL:C,circular,Gaur,true,true,false,740 740,,+740/740+
5231.1,5231.1,Ur,Mesopotamia,SEAL:C,NA,NA,true,false,true,,090,]405-090[
5232.1,5232.1,Janabiyah,Persian Gulf,SEAL:C,circular,Gaur,true,false,false,,,+055-099-121-055-831-031-071+
Sb-4,5386.1,Sibri,Iranian Plateau,SEAL,square,NA,false,false,false,,,]000-095+
5405.1,5405.1,Ornach area,Iranian Plateau,SEAL:S,NA,Zebu,false,false,false,,,]000-374-000-820+
MQ-11,5442.1,Miri Qalat,Iranian Plateau,SEAL:S,square,Bull1:I,false,true,false,740,,+740-742+
MQ-12,5444.1,Miri Qalat,Iranian Plateau,SEAL:S,square,Bull3,false,false,false,,,+520-013+
