class,directness,source_system,source_id,line_ref,transliteration,token_type,meluhha_relation,period,provenience,genre,source_url
onomastic,direct,BDTNS,BDTNS 000128 / BM 014594,3,mu Ur-{d}Lamma dumu Me-luh-ha-še _3,personal_name_with_origin_or_patronymic,direct Meluhha-tagged personal-name/origin formula,Ur III,Ĝirsu,,https://bdtns.cesga.es/000128
onomastic,direct,BDTNS,BDTNS 000128 / BM 014594,4,Ur-{d}Lamma dumu Me-luh-ha,personal_name_with_origin_or_patronymic,direct Meluhha-tagged personal-name/origin formula,Ur III,Ĝirsu,,https://bdtns.cesga.es/000128
commodity_route_object,direct,BDTNS,BDTNS 011069 / IM U. 03884,4,1 dar Me-luh-ha,object_or_commodity_designation_with_meluhha,direct Meluhha-tagged line in administrative text,Ur III,Ur,,https://bdtns.cesga.es/011069
onomastic,adjacent,CDLI,"P212982 / CT 50, 076",5,lu2-sun2-zi-da,personal_name_adjacent_to_meluhha_title,line immediately before lu2 me-luh-ha-ke4 in same text,Old Akkadian (ca. 2340-2200 BC),,Administrative,https://cdli.earth/P212982
ethnonym_title_origin,direct,CDLI,"P212982 / CT 50, 076",6,lu2 me-luh-ha-ke4,ethnonym_title_or_origin,direct Meluhha-tagged expression; adjacent line supplies a personal-name candidate,Old Akkadian (ca. 2340-2200 BC),,Administrative,https://cdli.earth/P212982
commodity_route_object,direct,CDLI,"P232277 / RIME 3/1.01.07, St D witness",8,me-luh-ha{ki},toponym_in_route_list,"direct Meluhha toponym in co-route list with Magan, Gubi, Dilmun",Lagash II (ca. 2200-2100 BC),Girsu (mod. Tello),Official or display,https://cdli.earth/P232277
commodity_route_object,direct,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",240,ma2-gan me-luh-ha kur-bi-ta im-ma-ta-e11-de3,ship_or_trade_route_context,direct Meluhha toponym in royal-inscription route and commodity contexts,Lagash II (ca. 2200-2100 BC),Girsu (mod. Tello),Official or display,https://cdli.earth/P431881
commodity_route_object,direct,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",394,ma2-gan me-luh-ha kur-bi-ta gu2 gesz mu-na-ab-gal2,ship_or_trade_route_context,direct Meluhha toponym in royal-inscription route and commodity contexts,Lagash II (ca. 2200-2100 BC),Girsu (mod. Tello),Official or display,https://cdli.earth/P431881
commodity_route_object,direct,CDLI,"P431881 / RIME 3/1.01.07, Cyl A composite",443,gug gi-rin-e me-luh-ha-ta,commodity_route_context,direct Meluhha toponym in royal-inscription route and commodity contexts,Lagash II (ca. 2200-2100 BC),Girsu (mod. Tello),Official or display,https://cdli.earth/P431881
commodity_route_object,direct,CDLI,"P431882 / RIME 3/1.01.07, Cyl B composite",328,uruda nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,commodity_route_context,direct Meluhha adjective/toponym in commodity list,Lagash II (ca. 2200-2100 BC),Girsu (mod. Tello),Official or display,https://cdli.earth/P431882
commodity_route_object,direct,CDLI,P432309 / RIME 3/2.01.05.04 composite,9,ur gun3-a me-luh-ha{ki},animal_or_object_label_with_meluhha_modifier,direct Meluhha modifier in tribute object/animal context,Ur III (ca. 2100-2000 BC),Ur (mod. Tell Muqayyar),Official or display,https://cdli.earth/P432309
commodity_route_object,direct,CDLI,P469516 / CDLI Literary 000334 (Enki and World Order),124,kur me-luh-ha{ki} ma2-gan{ki} dilmun{ki}-bi,ship_or_trade_route_context,direct Meluhha toponym in literary trade-route and ship contexts,Old Babylonian (ca. 1900-1600 BC),Nippur (mod. Nuffar),Literary,https://cdli.earth/P469516
commodity_route_object,direct,CDLI,P469516 / CDLI Literary 000334 (Enki and World Order),128,{gesz}ma2-gi4-lum me-luh-ha{ki}-a-ke4,ship_or_trade_route_context,direct Meluhha toponym in literary trade-route and ship contexts,Old Babylonian (ca. 1900-1600 BC),Nippur (mod. Nuffar),Literary,https://cdli.earth/P469516
commodity_route_object,direct,CDLI,P469516 / CDLI Literary 000334 (Enki and World Order),219,kur me-luh-ha{ki} nam-mi-ib2-dib,literary_toponym_or_ship_context,direct Meluhha toponym in literary trade-route and ship contexts,Old Babylonian (ca. 1900-1600 BC),Nippur (mod. Nuffar),Literary,https://cdli.earth/P469516
ethnonym_title_origin,direct,CDLI,P469679 / CDLI Literary 000375 (Curse of Agade),48,me-luh-ha{ki} lu2 kur ge6-ga-ke4,ethnonym_in_literary_trade_context,direct Meluhha ethnonym/toponym in literary import context,Old Babylonian (ca. 1900-1600 BC),,Literary,https://cdli.earth/P469679
ethnonym_title_origin,direct,CDLI,"P516138 / CUSAS 40, 1354",5,i3-ba lu2 me-luh-ha{ki}-me,ethnonym_group_or_title,direct Meluhha-tagged expression in administrative oil-ration text,Ur III (ca. 2100-2000 BC),Irisagrig (mod. uncertain),Administrative,https://cdli.earth/P516138
