neutral_id,cisi,source_file,catalog_text,class,sha256
BC001,C-12,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\C-12_A.jpg,+161-390-590-031-740-060-920+,target_non741_060920,d124bbb23d601fd3eab88a43b4e5c8a7eedd7b8754f00c3acf47a3a1f737db6d
BC002,M-5,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-5_A.jpg,+740-773-240-235-060-692+,control_060_non920,f4190fa87e6fe8e4c88cee56d62e8e1c5e8dcd1c7f77a3cadfef345a4b6a66b3
BC003,C-11,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\C-11_A.jpg,+590-615-140/232-240-001-060-920+,target_non741_060920,3ae420354361232f11e21af2395da75f053b690bfa8356354892fa7574a00a54
BC004,H-20,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\H-20_A.jpg,+740-176-690-435-255-220-032-806-060-550+,control_060_non920,7431eff8989501d04f71826924618aaeace6fded3c19d26a6f8cfcbcef172154
BC005,M-31,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-31_A.jpg,+740-269-511-233-060-820+,control_060_non920,34e003c705036a9942f84371e18b2f2a79fbe956515295506cd435f5bfb14804
BC006,H-56,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\H-56_A.jpg,+740-176-060-692+,control_060_non920,3799f60a512245c46c0a3e6df1ec5801dd547530e78e55864ed51f84fc090f1e
BC007,M-68,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-68_A.jpg,+690-518/090-740-176-742-060-920+,target_non741_060920,1de4e2f197731a05a27fed0cdcf892823b5918e191fdf5380a34f6e76cfa2df7
BC008,M-709,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-709_A.jpg,+740-100-001-440-742-060-920+,target_non741_060920,3234c901cd476aeb4226857711b5a0c0179961544720debdbdb77b38775c7cf9
BC009,L-21,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\L-21_A.jpg,+156-142-060-820+,control_060_non920,f6b3f4b01222a3c2f21258a7e0a72665ddd978694dfc7cec2434cbc4acd8b979
BC010,H-39,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\H-39_A.jpg,+740-390-590-231-240-235-745-060-920+,target_non741_060920,0e0b0204adb686e614dbc62420cc8eb1a2038856512195f4d9c7467a3a3ea5e3
BC011,M-26,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-26_A.jpg,+090-740-531-060-692+,control_060_non920,095520e5672e7119aa802e99b45af90d27d54c4893be0397f234cbd0123b8179
BC012,M-59,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-59_A.jpg,+368-003-742-060-920+,target_non741_060920,58e8c196ed6d05fc0548942120c69fe8881a914a00ef67ada9309bf3a1ffd1a7
