neutral_id,cisi,source_file,catalog_text,class,sha256
BT001,C-16,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\C-16_a.jpg,+429-003-741-060-920+,target_741060920,f31c5eb2bed46d3e3e2dec9c1cd0df909d49443a2fe7ce43ea45925a2512efe2
BT002,M-1452,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-1452_A.jpg,+740-407-590+,control_740407590,4f7957088b28b1ac59a0a6f418fe34672e05cfad91eea0ea189f74eabd0e1ea5
BT003,M-371,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-371_a.jpg,+617-142-384-032-154-806-467+,control_806_series,a009abfe3af9b0b991677121303a25b886c1f49a836d509260756d64b3434d19
BT004,M-247,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-247_a.jpg,+390-017-741-060-920+,target_741060920,c70c57598b115a14f34aeda83e2fc27ac7ba7ecf75586972f06bf4868252cf88
BT005,M-470,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-470_A.jpg,+400-158-806-473+,control_806_series,945c6ee98e5a5c22fbfa3a4d07b5beb286860358265221ed41482fb283d8c0fb
BT006,L-28,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\L-28_a.jpg,+740-406-590-741-060-920+,target_741060920,8d685970b4dd7282a09ccf9b672c28ab807e695ff583502172a19039fdcad341
BT007,M-113,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-113_a.jpg,+740-032-840-741-060-920+,target_741060920,8f2cc38a6e3873636b6eb90c7060509c01cf1bb37c82402df4a45e8327ab3367
BT008,K-4,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\K-4_a.jpg,+036-269-140-002-741-060-920+,target_741060920,e4ffcc5dc1f9133cc527a0737a208f9aec6246343d409a1ce34ffe4b907fd28c
BT009,L-114,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\L-114_a.jpg,+740-407-590-904-220-032-803-060-920+,control_non741_060920,b6e2059cc2eba4043f83fa8c1ced6b8139888950ac6b6fea2c70c87ce7a97c7f
BT010,H-278,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\H-278_A.jpg,+740-407-590-690-436-255-920-318-220-415-803+,control_740407590,555e906adb45e29816279864f4782993e890370648e53158fe0cf42c1f15d084
BT011,M-1310,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\M-1310_a.jpg,+407-004-001-740-407-590-235+,control_740407590,839d346ba3503e52122265b7c7afc4ef6c45d3a2ce0983abb7c34eae05354859
BT012,H-89,tmp\002390x_3335_yajnadevam_repo_trace_20260531\repo\public\seal_images\H-89_a.jpg,+232-240-741-060-920+,target_741060920,ee5d389d0a5236c02e2b9478a95790f85d561f06bbb859fa456c43f3304c56b3
