rank,queue_bucket,partition_class,y_after_002,y_terminal,post_y_len,cisi,id,site,type,symbol,material,condition,dir,idx_002,prev2_before_002,prev1_before_002,next1_after_y,next2_after_y,text,source_grade,source_grade_label,source_hint_count,best_source_rank,best_source_file,best_status_text,best_source_url,best_local_image,best_sha256,best_note,source_files,queue_reason
1,priority_branch_pole_source_check,posthoc_branch_pole,390,false,1,M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,Steatite,Poor,R/L,2,226,032,692,<END>,+226-032-002-390-692+,4,source_visible_order_window_candidate,10,85,campaign_032_002_branch_tail_token_order_verdicts.csv,source_single_line:yes | pass_branch_head_continuation_candidate | confidence:medium | 390 branch-head family; compare next to 390->125/705 and unknown 390->590-032,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_branch_tail_source_acquisition\M70_impression_a_signband_from_cisi_india_n066.png,,,campaign_032_002_branch_tail_source_crops.csv;campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_branch_tail_token_order_boxes.csv;campaign_032_002_branch_tail_token_order_verdicts.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;effective_unicity_directionality_m70_source_pilot.csv;effective_unicity_directionality_source_queue_source_index.csv,Branch-pole sign 390 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
2,priority_branch_pole_source_check,posthoc_branch_pole,390,false,3,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Good,R/L,8,240,235,125,632,+740-690-435-255-220-032-240-235-002-390-125-632-032+,2,local_image_or_public_route_candidate,10,65,source_box_negative_control_v2_public_routes.csv,downloaded_and_cropped | source_page_crop_needs_human_boxing | public_cisi_plate_page,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n55_w2000.jpg,tmp/source_box_negative_control_v2/crops/M-38_cisi_india_n55_plate_context_crop.jpg,e221c5942fcff1c20b0147eb364185047fa621030ae408a72c0e9d8d59d6cb1b,Broad source-context crop around OCR label; not token-boxed evidence.,campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv;source_box_negative_control_v2_panel_crops.csv;source_box_negative_control_v2_public_routes.csv;source_box_negative_control_v2_source_status.csv;source_box_negative_control_v2_targets.csv,Branch-pole sign 390 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
3,priority_branch_pole_source_check,posthoc_branch_pole,031,false,1,M-318,2836.2,Mohenjo-daro,SEAL:S,Zebu,Steatite,Good,R/L,2,390,003,575,<END>,+390-003-002-031-575+,2,local_image_or_public_route_candidate,3,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n114_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_318_cisi_india_n114_1_context_enhanced_x2.jpg,1d616d387e4bb0dc0cf2b534ca6dc59c917fd1e56c5e1ae40e72d8f2475d17aa,Supplemental public CISI route for branch-pole gap sign 031; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 031 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
4,priority_branch_pole_source_check,posthoc_branch_pole,220,false,4,M-1427,3712.1,Mohenjo-daro,TAG:O,Bull1,Clay,Fair,R/L,2,484,140,627,615,+484-140-002-220-627-615-906-388+,2,local_image_or_public_route_candidate,3,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n227_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_1427_cisi_pakistan_n227_1_context_enhanced_x2.jpg,770f95cc6dabe60a5976dda062e03cbe0e79632effc068cb10a4676977eee588,Supplemental public CISI route for branch-pole gap sign 220; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 220 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
5,priority_branch_pole_source_check,posthoc_branch_pole,220,false,2,M-29,2557.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Good,R/L,5,235,806,455,503,+740-055-240-235-806-002-220-455-503+,2,local_image_or_public_route_candidate,3,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n51_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_29_cisi_india_n51_1_context_enhanced_x2.jpg,c622c7cec7f1520cfdbe3d4ff860ab7eec0dc57d8a8d642ea7899fa970c81d42,Supplemental public CISI route for branch-pole gap sign 220; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 220 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
6,priority_branch_pole_source_check,posthoc_branch_pole,220,false,2,M-655,3097.1,Mohenjo-daro,SEAL:S,Bull1,Steatite,Fair,R/L,3,717,233,880,689,+740-717-233-002-220-880-689+,2,local_image_or_public_route_candidate,3,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n61_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_655_cisi_pakistan_n61_1_context_enhanced_x2.jpg,8674d283c100d5fd5d54a7ffc056e1bc3025586ac786e83aaaed9034f1ed924c,Supplemental public CISI route for branch-pole gap sign 220; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 220 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
7,priority_branch_pole_source_check,posthoc_branch_pole,368,false,1,H-600,1543.1,Harappa,SEAL:S,Bull1:I,Steatite,Poor,R/L,0,<START>,<START>,260,<END>,+002-368-260+,2,local_image_or_public_route_candidate,3,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n332_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/H_600_cisi_pakistan_n332_1_context_enhanced_x2.jpg,7487a73975025571c3b46a53968814ddd59869db3b80b1ae77f33da411d3a45b,Supplemental public CISI route for branch-pole gap sign 368; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 368 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
8,priority_branch_pole_source_check,posthoc_branch_pole,368,false,3,M-12,2540.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Fine,R/L,4,590,233,202,892,+740-390-590-233-002-368-202-892-371+,2,local_image_or_public_route_candidate,3,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n45_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_12_cisi_india_n45_1_context_enhanced_x2.jpg,54f44c1c1e4958314a591797899fecce6d13a0151804ea5bbad8d7c2e0da4b9b,Supplemental public CISI route for branch-pole gap sign 368; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 368 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
9,priority_branch_pole_source_check,posthoc_branch_pole,031,false,1,M-678,3116.1,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Good,R/L,6,236,806,502,<END>,+740-752-006-503-236-806-002-031-502+,2,local_image_or_public_route_candidate,2,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n69_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_678_cisi_pakistan_n69_1_context_enhanced_x2.jpg,427e75dc747f7027cdbab924b33111c38d427a43d8211e048e01e742db2d6252,Supplemental public CISI route for branch-pole gap sign 031; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 031 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
10,priority_branch_pole_source_check,posthoc_branch_pole,031,false,3,M-739,3163.1,Mohenjo-daro,SEAL:S,Bull1:J,NA,Fair,R/L,4,100,415,350,550,+090-740-100-415-002-031-350-550-692+,2,local_image_or_public_route_candidate,2,65,campaign_002_y_branch_gap_public_source_status.csv,"public_cisi_plate_route_candidate | source_route_inventory_only | Needs visual source-panel review, token boxing, side/direction check, and matched negatives before source-normalized evidence.",https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n87_w2000.jpg,tmp/002_y_branch_gap_public_source_acquisition/crops/M_739_cisi_pakistan_n87_1_context_enhanced_x2.jpg,ca878cb0c1174dfc5ce59f08f7c91bd11585200a86c95c6ce1e4135b37ebdd93,Supplemental public CISI route for branch-pole gap sign 031; not token-boxed or source-normalized.,campaign_002_y_branch_gap_public_routes.csv;campaign_002_y_branch_gap_public_source_status.csv;campaign_002_y_branch_gap_public_source_summary.json,Branch-pole sign 031 has existing source evidence and should be used to avoid overfitting the branch pole to metadata only.
