chunk,role,match_type,has_object_id,id,object,region,site,type,symbol,cult,material,shape,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,text
740-205-032-002-390-590-032,exact target sequence,exact_text,no,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
740-205-032-002,target left prefix before branch,prefix,yes,2670.1,M-143,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK103232,23.9,24.1,7.6,+740-205-032-002-252-840+
740-205-032-002,target left prefix before branch,prefix,no,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
205-032-002,shorter left prefix before branch,contains,yes,2670.1,M-143,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK103232,23.9,24.1,7.6,+740-205-032-002-252-840+
205-032-002,shorter left prefix before branch,contains,no,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
032-002-390,matched 032 branch lane,contains,yes,2598.1,M-70,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:T,SAF,Steatite,square,HR 4076048,38.1,38.1,0,+226-032-002-390-692+
032-002-390,matched 032 branch lane,contains,no,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
002-390-590,target branch plus first tail,contains,no,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
390-590-032,portable formula-family chunk,prefix,yes,2081.1,L-139,Gujarat/Kutch,Lothal,TAG,-,-,Clay,-,01852(T065),25.4,12.7,0,]390-590-032-002-880[
390-590-032,portable formula-family chunk,prefix,yes,2116.1,L-196,Gujarat/Kutch,Lothal,TAG,-,-,Clay,-,01883(T024) CLXIII-D3,19.1,31.8,0,]390-590-032-002-000[
390-590-032,portable formula-family chunk,contains,yes,2118.2,L-198,Gujarat/Kutch,Lothal,TAG,-,-,Clay,-,01842(T042),25.4,95.3,0,+740-390-590-032-002-000[
390-590-032,portable formula-family chunk,contains,yes,2448.1,M-1739,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,SAN,Steatite,square,HR 3277174,22.9,22.9,0,+740-390-590-032-060-201+
390-590-032,portable formula-family chunk,contains,yes,3169.1,M-746,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,-,Steatite,square,DK-B 2198081,30.5,31.8,0,+740-440-220-032-741-390-590-032+
390-590-032,portable formula-family chunk,contains,no,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
390-590-032,portable formula-family chunk,contains,yes,3359.1,M-965,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,SAN,Steatite,square,HR 5656222,19.1,19.1,0,+740-390-590-032-741-527+
740-205,weak prefix family,prefix,yes,2670.1,M-143,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK103232,23.9,24.1,7.6,+740-205-032-002-252-840+
740-205,weak prefix family,prefix,no,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
