has_object_id,has_390_590_032,has_032_002_390,id,object,region,site,type,symbol,cult,material,shape,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,text
SUMMARY,RAF rows=57,RAF no-object=3,,,,,,,,,,,,,,
yes,no,no,284.1,H-1030,Inter-Riverine,Harappa,SEAL:S,Bull1:W,RAF,-,square,3975035,27.9,27.9,0,+090-740-103-002-861+
yes,no,no,1886.1,K-11,Inter-Riverine,Kalibangan,SEAL:S,Bull1:S,RAF,Steatite,square,KLB1 16052,27,26,6 - 9.5,+740-717-415-790-900+
yes,no,no,1888.1,K-13,Inter-Riverine,Kalibangan,SEAL:S,Bull1:J,RAF,Steatite,square,KBL1 18257(2),28,28,7 - 10,+740-585-017-741-630+
yes,no,no,1893.1,K-18,Inter-Riverine,Kalibangan,SEAL:S,Bull1:X,RAF,Steatite,square,KLB2 17574,28,28,7 - 12,+307-002-762-463-140+
yes,no,no,1896.1,K-22,Inter-Riverine,Kalibangan,SEAL:S,Bull1:I,RAF,Steatite,square,KLB1 2249(1),22.5,22.5,7 - 11,+866-151-033-033+
yes,no,no,1987.1,L-5,Gujarat/Kutch,Lothal,SEAL:S,Bull1:J,RAF,Steatite,square,06492(S016) CLVII-A1,38.1,38.1,0,+740-760-552/000-002-455-692-416+
yes,no,no,2240.1,M-1674,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK1171368,52.6,52.6,12.7,+090-740-222-231-002-861-683+
yes,no,no,2260.1,M-1710,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,RAF,Steatite,square,DK1522101,33,33,0,+690-319/617-255-140+
yes,no,no,2265.1,M-888,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,RAF,Steatite,square,DK-B 1892155,21.6,21.6,0,+520-220-240-741-440+
yes,no,no,2268.1,M-1709,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,RAF,Steatite,square,DK-B 2651554,0,0,0,+621-520-220-002-817+
yes,no,no,2290.1,M-1791,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK4052141,33.5,33.5,8.1,+740-760-268-002-840-032+
yes,no,no,2296.1,M-1711,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,RAF,Steatite,square,DK466311,33.8,33.5,8.9 - 15.5,+740-760-049-002-817+
yes,no,no,2343.1,M-1790,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK6798613,24.4,23.4,5.8,+592-741-060-920+
yes,no,no,2366.1,M-1789,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,RAF,Faience,square,DK7790556,27.9,27.9,7.6,+740-455-002-368-260+
yes,no,no,2385.1,M-1715,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK8204492,30,30,6.4,+740-923-033-705-060-692+
yes,no,no,2475.1,M-1841,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 5516237,19.1,19.1,0,+740-760-260/220-255-220-063-315+
yes,no,no,2506.1,M-1716,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,RAF,Steatite,square,VS 1088,29.2,29.2,0,+520-220-240-803-002-820+
yes,no,no,2551.1,M-23,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,RAF,Steatite,square,DK6599398,38.9,38.6,9.7,+842-871-192-368/740-482-060-692-520-220-235-001-920+
yes,no,no,2592.1,M-64,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,RAF,Steatite,square,DK7708524,33.5,32.3,8.4,+520-033-706-060-220-004+
yes,no,no,2593.1,M-65,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,RAF,Steatite,square,DK8841440,31.8,31.8,8.9,+520-220-031-001-706-575+
yes,no,no,2666.1,M-139,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK3477185,24.1,24.1,7.4,+033-832-236-741-361+
yes,no,no,2667.1,M-140,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,RAF,Faience,square,DK5432563,24.6,24.6,7.6,+740-336-002-220-065-440-455+
yes,no,no,2669.1,M-142,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK8629630,24.1,24.1,7.6,+136-140-002-861+
