distance_from_3335,id,object,region,site,type,symbol,cult,material,shape,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,text
-12,3323.1,M-927,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,SAN,Steatite,square,HR 5703171,20.3,20.3,0,+151-000[
-11,3324.1,M-928,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,SAN,Steatite,square,HR 5607202,20.3,20.3,0,+243-705-031+
-10,3325.1,M-929,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,SAN,Steatite,square,HR 5076144,22.9,0,0,+817-264-001-000-000+
-9,3326.1,M-931,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,SAF,-,square,DK-B 802,22,22,0,+520-233-803-060-820+
-8,3327.1,M-932,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,SAN,-,square,DK5180,20,19.5,0,+740-705-171-360-064+
-7,3328.1,M-933,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:L,SAN,Steatite,square,DK11746160,19.3,19.3,7.6,+740-390-590-741-821+
-6,3329.1,M-934,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,SAF,Steatite,square,DM50158,24.1,24.1,0,+526-555-235-002-861+
-5,3330.1,M-935,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,SAF,Steatite,square,DK11026144,19.1,19.1,7.1,+740-920-320+
-4,3331.1,M-936,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,SAN,Steatite,square,DK-C 3202197,20.3,20.3,0,+520-460+
-3,3332.1,M-937,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,S,Steatite,square,DK1169066,20.3,20.3,5.1,+740-460-503-031-002-900-615+
-2,3333.1,M-938,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,SAN,Steatite,square,DK11395158,18.3,18.3,7.4,+740-416+
-1,3334.1,M-939,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,SAN,Steatite,square,DK9343652,19.6,19.6,5.6,+527-550+
0,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
1,3336.1,M-941,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,SAN,Steatite,square,DK12047256,20.3,20.3,6.4,+000-642-240-031-002-861+
2,3337.1,M-942,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,SAN,Steatite,square,DK-E 976296,19.1,0,0,+740-013-000-000[
3,3338.1,M-943,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,SAN,Steatite,square,DK12849282,20.3,19.8,6.9,+740-176-220-415-798+
4,3339.1,M-944,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,SAF,Steatite,square,DK5787419,20.8,20.6,6.6,+090-740-233-060-368-817+
5,3340.1,M-945,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,-,Steatite,square,HR 5597208,22.9,22.9,0,+740-923-233+
6,3341.1,M-946,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,SAN,Steatite,square,DK5042358,19.1,19.1,17.8,+740-910+
7,3342.1,M-947,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,S,Steatite,square,DK7571404,20.3,14.7,6.4,+400-090-740-035-171-061+
8,3343.1,M-948,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,S,Steatite,square,DK12486250,20.6,20.6,6.6,+426-003-002-388-031+
9,3344.1,M-949,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,S,Steatite,square,DK-B 434271,0,0,12,]140-388+
9,3344.2,M-949,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,S,Steatite,square,DK-B 434271,0,0,12,+685+
10,3345.1,M-950,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,S,Steatite,square,HR 1575013,21.6,0,0,+740-690-435-255+
11,3346.1,M-951,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,SAN,Steatite,square,HR 2912263,19,19,0,+740-927-240-031+
12,3347.1,M-952,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,RAN,Steatite,square,DK4562265,22.4,22.4,6.4,+000-861-623+
