row_order_note,object_id_present,id,cisi,region,site,excavation_idno,type,symbol,cult,material,shape,dimensions_mm,text
,yes,3330.1,M-935,Lower Indus,Mohenjo-daro,DK11026144,SEAL:S,Bull1:S,SAF,Steatite,square,19.1 x 19.1 x 7.1,+740-920-320+
,yes,3331.1,M-936,Lower Indus,Mohenjo-daro,DK-C 3202197,SEAL:S,Bull1:J,SAN,Steatite,square,20.3 x 20.3 x 0,+520-460+
,yes,3332.1,M-937,Lower Indus,Mohenjo-daro,DK1169066,SEAL:S,Bull1:J,S,Steatite,square,20.3 x 20.3 x 5.1,+740-460-503-031-002-900-615+
,yes,3333.1,M-938,Lower Indus,Mohenjo-daro,DK11395158,SEAL:S,Bull1:W,SAN,Steatite,square,18.3 x 18.3 x 7.4,+740-416+
,yes,3334.1,M-939,Lower Indus,Mohenjo-daro,DK9343652,SEAL:S,Bull1:J,SAN,Steatite,square,19.6 x 19.6 x 5.6,+527-550+
"target sits between M-939 and M-941 in row order, but row-order inference is not a source bridge",no,3335.1,-,Other,Unknown,-,SEAL:S,Bull1:J,RAF,-,square,29 x 29 x 0,+740-205-032-002-390-590-032+
,yes,3336.1,M-941,Lower Indus,Mohenjo-daro,DK12047256,SEAL:S,Bull1:S,SAN,Steatite,square,20.3 x 20.3 x 6.4,+000-642-240-031-002-861+
,yes,3337.1,M-942,Lower Indus,Mohenjo-daro,DK-E 976296,SEAL:S,Bull1:J,SAN,Steatite,square,19.1 x 0 x 0,+740-013-000-000[
,yes,3338.1,M-943,Lower Indus,Mohenjo-daro,DK12849282,SEAL:S,Bull1:W,SAN,Steatite,square,20.3 x 19.8 x 6.9,+740-176-220-415-798+
,yes,3339.1,M-944,Lower Indus,Mohenjo-daro,DK5787419,SEAL:S,Bull1:W,SAF,Steatite,square,20.8 x 20.6 x 6.6,+090-740-233-060-368-817+
,yes,3340.1,M-945,Lower Indus,Mohenjo-daro,HR 5597208,SEAL:S,Bull1:S,-,Steatite,square,22.9 x 22.9 x 0,+740-923-233+
,yes,3341.1,M-946,Lower Indus,Mohenjo-daro,DK5042358,SEAL:S,Bull1:S,SAN,Steatite,square,19.1 x 19.1 x 17.8,+740-910+
,yes,3342.1,M-947,Lower Indus,Mohenjo-daro,DK7571404,SEAL:S,Bull1,S,Steatite,square,20.3 x 14.7 x 6.4,+400-090-740-035-171-061+
,yes,3343.1,M-948,Lower Indus,Mohenjo-daro,DK12486250,SEAL:S,Bull1,S,Steatite,square,20.6 x 20.6 x 6.6,+426-003-002-388-031+
,yes,3344.1,M-949,Lower Indus,Mohenjo-daro,DK-B 434271,SEAL:S,Bull1,S,Steatite,square,0 x 0 x 12,]140-388+
,yes,3345.1,M-950,Lower Indus,Mohenjo-daro,HR 1575013,SEAL:S,Bull1,S,Steatite,square,21.6 x 0 x 0,+740-690-435-255+
,yes,3346.1,M-951,Lower Indus,Mohenjo-daro,HR 2912263,SEAL:S,Bull1:S,SAN,Steatite,square,19 x 19 x 0,+740-927-240-031+
,yes,3347.1,M-952,Lower Indus,Mohenjo-daro,DK4562265,SEAL:S,Bull1:S,RAN,Steatite,square,22.4 x 22.4 x 6.4,+000-861-623+
,yes,3348.1,M-953,Lower Indus,Mohenjo-daro,DK7464582,SEAL:S,Bull1:J,RAN,Steatite,square,19.8 x 19.8 x 6.4,+740-792+
,yes,3349.1,M-954,Lower Indus,Mohenjo-daro,DK-C 3201262,SEAL:S,Bull1,RAN,Steatite,square,21.6 x 21.6 x 0,+481-740-255-360+
