id,object,site,type,prev_before_390,branch_after_390,tail_after_branch,terminal_after_branch,is_002390,text
6.1,Ad-1,Allahdino,SEAL:S,740,590,<END>,yes,no,+740-390-590+
7.1,Ad-2,Allahdino,SEAL:S,368,125,033,no,no,+368-390-125-033+
16.1,Alt-90,Altyn Depe,SEAL:S,<START>,415,<END>,yes,no,+390-415+
17.1,Ai-7,Amri,POT:T:g,<START>,034,<END>,yes,no,+390-034+
20.1,Blk-2,Bala-kot,SEAL:S,<START>,717,061 002 368 634,no,no,+390-717-061-002-368-634+
33.1,B-9,Banawali,SEAL:S,<START>,004,<END>,yes,no,+390-004+
50.1,-,Bhirrana,SEAL:S,<START>,003,003,no,no,+390-003-003+
61.1,C-66,Chanhu-daro,SEAL:S,<START>,003,002 817,no,no,+390-003-002-817+
66.1,C-69,Chanhu-daro,SEAL:S,<START>,844,060 575 717,no,no,+390-844-060-575-717+
90.1,C-2,Chanhu-daro,SEAL:S,740,590,<END>,yes,no,+740-390-590+
100.1,C-12,Chanhu-daro,SEAL:S,161,590,031 740 060 920,no,no,+161-390-590-031-740-060-920+
109.1,C-22,Chanhu-daro,SEAL:S,440,032,368 390 790,no,no,+440-390-032/368-390-790+
109.1,C-22,Chanhu-daro,SEAL:S,368,790,<END>,yes,no,+440-390-032/368-390-790+
111.1,C-24,Chanhu-daro,SEAL:S,<START>,128,702 032 226 032 013 480 850,no,no,+390-128-702-032/226-032-013-480-850+
114.1,C-32,Chanhu-daro,SEAL:C,400,632,<END>,yes,no,+375-400-390-632+
116.1,C-34,Chanhu-daro,TAB:B,031,844,000 000 032 803 220,no,no,+032-031-390-844-000-000-032-803-220+
121.1,C-40,Chanhu-daro,IMPL,<START>,095,909 005 825 776 220 016,no,no,+390-095-909-005-825-776-220-016+
136.1,-,Dholavira,SEAL:R,<START>,016,002 861,no,no,+390-016-002-861+
153.1,-,Farmana,SEAL:S,<START>,371,<END>,yes,no,+390-371+
153.2,-,Farmana,SEAL:S,<START>,371,<END>,yes,no,+390-371+
154.1,-,Farmana,POT:T:g,<START>,390,<END>,yes,no,]390-390[
232.1,H-1355,Harappa,TAB:I,<START>,035,<END>,yes,no,+390-035+
269.1,H-1109,Harappa,TAB:B,740,590,<END>,yes,no,+740-390-590[
374.2,H-1893,Harappa,TAB:B,<START>,003,060 550,no,no,+390-003-060-550+
376.2,H-1800,Harappa,TAB:B,740,000,<END>,yes,no,+400-740-390-000[
378.1,H-1776,Harappa,TAB:B,740,590,060 550,no,no,+740-390-590-060-550+
394.2,H-1987,Harappa,TAB:B,<START>,004,455 371 741 590,no,no,+390-004-455-371-741-590+
401.1,H-2003,Harappa,TAB:B,<START>,004,002 817,no,no,+390-004-002-817+
464.1,H-585,Harappa,SEAL:S,<START>,003,<END>,yes,no,+390-003+
489.1,H-2210,Harappa,TAB:I,<START>,003,<END>,yes,no,+390-003+
519.2,H-2186,Harappa,TAB:I,<START>,004,155 390,no,no,+390-004-155-390+
537.1,H-1692,Harappa,SEAL:S,740,590,002 861,no,no,+740-390-590-002-861+
578.2,H-2197,Harappa,TAB:I,100,231,<END>,yes,no,+400-090-740-100-390-231+
605.1,H-2265,Harappa,POT:T:g,999,033,000,no,no,]300-490-999-390-033-000[
611.1,-,Harappa,POT:T:g,<START>,000,<END>,yes,no,+390-000[
629.1,H-1801,Harappa,TAB:B,740,590,741,no,no,+740-390-590-741[
634.1,H-1680,Harappa,SEAL:S,<START>,003,002 820,no,no,+390-003-002-820+
690.2,H-1982,Harappa,TAB:B,<START>,000,742 000,no,no,+390-000-742-000+
744.2,H-1993,Harappa,TAB:B,002,095,<END>,yes,yes,+740-000-220-004-002-390-095+
767.1,-,Harappa,POT:T:g,<START>,000,<END>,yes,no,+390-000+
868.1,H-1802,Harappa,TAB:B,740,590,<END>,yes,no,+740-390-590[
906.2,H-2083,Harappa,TAB:I,740,000,<END>,yes,no,+740-390-000+
951.1,-,Dholavira,SEAL:S,<START>,004,002 817,no,no,+390-004-002-817+
1057.1,H-733,Harappa,TAB:B,740,590,240,no,no,+740-390-590-240+
1079.1,H-19,Harappa,SEAL:S,000,000,003 000 530 820,no,no,]000-390-000-003/000-530-820+
1098.1,H-39,Harappa,SEAL:S,740,590,231 240 235 745 060 920,no,no,+740-390-590-231-240-235-745-060-920+
1111.1,H-52,Harappa,SEAL:S,740,590,125 741 000 000,no,no,+740-390-590-125-741-000-000+
1113.1,H-54,Harappa,SEAL:S,<START>,003,368 817,no,no,+390-003-368-817+
1114.1,H-55,Harappa,SEAL:S,<START>,004,002 861 125,no,no,+390-004-002-861-125+
1127.1,H-68,Harappa,SEAL:S,002,072,<END>,yes,yes,+090-740-220-003-002-390-072+
1129.1,H-70,Harappa,SEAL:S,<START>,003,491,no,no,+390-003-491+
1130.1,H-71,Harappa,SEAL:S,<START>,016,<END>,yes,no,+390-016+
1133.1,H-75,Harappa,SEAL:S,740,590,<END>,yes,no,+400-740-390-590+
1139.1,H-82,Harappa,SEAL:S,<START>,017,002 220 455 741,no,no,+390-017-002-220-455-741+
1214.1,H-180,Harappa,TAB:B,151,590,741 330 368,no,no,+151-390-590-741-330-368+
1214.2,H-180,Harappa,TAB:B,151,590,741 330 368,no,no,+151-390-590-741-330-368+
1226.1,H-194,Harappa,TAB:B,740,590,240,no,no,+740-390-590-240+
1264.1,H-239,Harappa,TAB:B,<START>,060,740 500 091,no,no,+390-060/740-500-091+
1356.1,H-335,Harappa,TAB:I,<START>,034,<END>,yes,no,+390-034+
1358.1,H-337,Harappa,TAB:I,<START>,000,<END>,yes,no,+390-000+
1359.1,H-338,Harappa,TAB:I,<START>,000,<END>,yes,no,+390-000+
1388.1,H-369,Harappa,SEAL:CY,741,741,<END>,yes,no,+368-033-705-031-741-390-741+
1412.1,H-407,Harappa,SEAL:S,<START>,003,002 817,no,no,+390-003-002-817+
1439.1,H-449,Harappa,SEAL:S,740,590,240 741 390 728,no,no,+740-390-590-240-741-390-728+
1439.1,H-449,Harappa,SEAL:S,741,728,<END>,yes,no,+740-390-590-240-741-390-728+
1444.1,H-454,Harappa,SEAL:S,740,590,742 700,no,no,+740-390-590-742-700+
1454.1,H-466,Harappa,SEAL:S,740,590,233 231 741 000,no,no,+740-390-590-233-231-741-000+
1455.1,H-467,Harappa,SEAL:S,741,125,<END>,yes,no,]741-390-125+
1487.1,H-510,Harappa,SEAL:S,740,590,060 795,no,no,+740-390-590-060-795+
1488.1,H-511,Harappa,SEAL:S,<START>,871,<END>,yes,no,+390-871+
1499.1,Rjd-1,Rodji,POT:T:g,<START>,390,<END>,yes,no,]390-390+
1503.1,H-533,Harappa,SEAL:S,740,590,<END>,yes,no,+740-390-590[
1539.1,H-596,Harappa,SEAL:S,<START>,003,<END>,yes,no,+390-003+
1540.1,H-597,Harappa,SEAL:S,740,590,070 032 002 861,no,no,+740-390-590-070-032-002-861+
1540.2,H-597,Harappa,SEAL:S,740,590,070 032 002 861,no,no,+740-390-590-070-032-002-861+
1599.1,H-694,Harappa,TAB:B,740,590,235 368 806,no,no,+740-390-590-235-368-806+
1600.1,H-695,Harappa,TAB:B,740,590,235 368 806,no,no,+740-390-590-235-368-806+
1633.1,H-734,Harappa,TAB:B,740,590,240,no,no,+740-390-590-240+
1665.1,H-773,Harappa,TAB:B,002,530,741,no,yes,+740-798-803-002-390-530-741+
1668.2,H-777,Harappa,TAB:B,<START>,004,104,no,no,+390-004-104+
1669.2,H-778,Harappa,TAB:B,<START>,004,817,no,no,+390-004-817+
1705.1,H-816,Harappa,TAB:B,740,590,<END>,yes,no,+400-740-390-590+
1741.1,H-857,Harappa,TAB:B,740,590,235,no,no,+740-390-590-235+
1913.1,K-50,Kalibangan,SEAL:S,<START>,004,<END>,yes,no,+390-004+
1921.1,K-60,Kalibangan,SEAL:R,<START>,143,033,no,no,+390-143-033+
1924.1,K-65,Kalibangan,SEAL:CY,<START>,003,<END>,yes,no,+390-003+
1935.1,K-78,Kalibangan,TAB:B,817,002,820,no,no,+740-817-390-002-820+
1938.1,K-82,Kalibangan,TAG:L,<START>,003,002 861,no,no,+390-003-002-861+
1944.3,K-89,Kalibangan,TAG:L,595,000,<END>,yes,no,+001-350-002-595-390-000+
1964.1,K-120,Kalibangan,POT:T:p,<START>,832,003,no,no,+390-832-003+
1971.1,-,Kish,SEAL:S,740,590,220 003 060 840 416,no,no,+740-390-590-220-003-060-840-416+
1985.1,L-2,Lothal,SEAL:S,060,000,<END>,yes,no,+353-001-527-550-233-060-390-000+
1998.1,L-20,Lothal,SEAL:S,<START>,004,491,no,no,+390-004-491+
2004.1,L-27,Lothal,SEAL:S,<START>,016,140 000,no,no,+390-016-140-000[
2006.1,L-29,Lothal,SEAL:S,<START>,003,480 368 861,no,no,+390-003-480-368-861+
2010.1,L-37,Lothal,SEAL:S,892,406,<END>,yes,no,+104-892-390-406+
2053.1,L-101,Lothal,MISC,<START>,700,790 032 063,no,no,+390-700-790-032-063+
2081.1,L-139,Lothal,TAG,<START>,590,032 002 880,no,no,]390-590-032-002-880[
2087.1,L-145,Lothal,TAG,<START>,415,002 550,no,no,+390-415-002-550+
2116.1,L-196,Lothal,TAG,<START>,590,032 002 000,no,no,]390-590-032-002-000[
2118.2,L-198,Lothal,TAG,740,590,032 002 000,no,no,+740-390-590-032-002-000[
2122.1,L-202,Lothal,TAG,000,590,220,no,no,]000-390-590-220[
2151.1,L-273,Lothal,POT:T:g,000,000,<END>,yes,no,]000-000-000-390-000[
2157.1,M-2064,Mohenjo-daro,POT:T:g,<START>,001,000 142 031,no,no,+390-001-000-142-031+
2177.1,M-1742,Mohenjo-daro,SEAL:S,<START>,004,<END>,yes,no,+390-004+
2191.1,M-1857,Mohenjo-daro,SEAL:S,<START>,003,<END>,yes,no,+390-003+
2212.1,M-165,Mohenjo-daro,SEAL:S,741,032,<END>,yes,no,+817-740-194/740-760-001-741-390-032+
2220.1,M-1675,Mohenjo-daro,SEAL:S,621,844,002 820,no,no,+621-390-844-002-820+
2226.1,M-1692,Mohenjo-daro,SEAL:S,<START>,600,617 002 190 125 632 032,no,no,+390-600-617-002-190-125-632-032+
2228.1,M-1697,Mohenjo-daro,SEAL:S,<START>,003,002 861,no,no,+390-003-002-861+
2241.1,M-1795,Mohenjo-daro,SEAL:S,<START>,844,<END>,yes,no,+390-844+
2244.1,M-1807,Mohenjo-daro,SEAL:S,400,844,<END>,yes,no,+400-390-844+
2286.1,M-1712,Mohenjo-daro,SEAL:S,741,458,<END>,yes,no,+240-741-390-458+
2291.1,M-1889,Mohenjo-daro,SEAL:S,<START>,844,741 031 371,no,no,+390-844-741-031-371+
2316.1,M-1821,Mohenjo-daro,SEAL:S,741,900,140,no,no,+740-838-741-390-900-140+
2338.1,M-1955,Mohenjo-daro,SEAL:R,<START>,920,322 803 002 820,no,no,+390-920-322-803-002-820+
2344.1,M-1902,Mohenjo-daro,SEAL:S,151,590,741 060 920,no,no,+151-390-590-741-060-920+
2353.1,M-1799,Mohenjo-daro,SEAL:S,<START>,016,<END>,yes,no,+390-016+
2354.1,M-1770,Mohenjo-daro,SEAL:S,176,090,390,no,no,+740-176-390-090-390+
2355.1,M-1838,Mohenjo-daro,SEAL:S,<START>,920,323,no,no,+390-920-323+
2384.1,M-1918,Mohenjo-daro,SEAL:S,<START>,090,000,no,no,+390-090-000[
2386.1,M-1729,Mohenjo-daro,SEAL:S,<START>,003,002 820,no,no,+390-003-002-820+
2397.1,M-1927,Mohenjo-daro,SEAL:S,<START>,005,002 817,no,no,+390-005-002-817+
2408.1,M-2010,Mohenjo-daro,TAG:O,<START>,003,<END>,yes,no,+390-003+
2409.1,M-1911,Mohenjo-daro,SEAL:S,621,531,002 820,no,no,+621-390-531-002-820+
2416.1,-,Mohenjo-daro,TAB:B,740,590,033 705 000,no,no,+740-390-590-033-705-000+
2418.1,M-1844,Mohenjo-daro,SEAL:S,<START>,004,002 817,no,no,+390-004-002-817+
2429.1,M-1731,Mohenjo-daro,SEAL:S,<START>,004,741 617,no,no,+390-004-741-617+
2448.1,M-1739,Mohenjo-daro,SEAL:S,740,590,032 060 201,no,no,+740-390-590-032-060-201+
2450.1,M-1750,Mohenjo-daro,SEAL:S,<START>,004,002 861,no,no,+390-004-002-861+
2453.1,M-984,Mohenjo-daro,SEAL:S,<START>,004,002 817,no,no,+390-004-002-817+
2454.1,M-1831,Mohenjo-daro,SEAL:S,<START>,004,260,no,no,+390-004-260+
2472.1,M-1983,Mohenjo-daro,SEAL:R,<START>,005,<END>,yes,no,+390-005+
2482.1,M-1907,Mohenjo-daro,SEAL:S,<START>,005,002 455 511,no,no,+390-005-002-455-511+
2489.1,-,Dholavira,SEAL:S,740,590,002 817,no,no,+740-390-590-002-817+
2509.1,M-1833,Mohenjo-daro,SEAL:S,<START>,015,002 861,no,no,+390-015-002-861+
2515.1,M-1851,Mohenjo-daro,SEAL:S,832,032,000 032 740 002 820,no,no,+832-390-032/000-032-740-002-820+
2540.1,M-12,Mohenjo-daro,SEAL:S,740,590,233 002 368 202 892 371,no,no,+740-390-590-233-002-368-202-892-371+
2545.1,M-17,Mohenjo-daro,SEAL:S,<START>,016,002 814 560,no,no,+390-016-002-814-560+
2548.1,M-20,Mohenjo-daro,SEAL:S,<START>,005,002 861 036 460 513,no,no,+390-005-002-861-036-460-513+
