id,object,site,type,symbol,cult,material,shape,period,phase,area_section,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,frame_start_pos_1based,prev_before_002,branch_after_390,branch_is_focus_sign,tail_after_branch,terminal_after_branch,signless_formula,family_cell,source_status,text
744.2,H-1993,Harappa,TAB:B,None,None,Clay,rectangular,3,C,FTrench 37,H96-2769Figure 17.07,29.2,10.7,6.2,5,004,095,True,<END>,True,004|002-390|095|<END>,Harappa|TAB:B|None|None|rectangular|Clay|004|095|<END>,source_route_triaged_supplement_only_no_image,+740-000-220-004-002-390-095+
1127.1,H-68,Harappa,SEAL:S,Bull1:I,RAN,Steatite,square,,Stratum VI,FTrench IV+V,11849141,21.6,21.6,0,5,003,072,False,<END>,True,003|002-390|072|<END>,Harappa|SEAL:S|Bull1:I|RAN|square|Steatite|003|072|<END>,metadata_only_unbound,+090-740-220-003-002-390-072+
1665.1,H-773,Harappa,TAB:B,None,None,Faience,plano-convex,,,FTrench IV+V,12377351,20.3,8.9,0,4,803,530,False,741,False,803|002-390|530|741,Harappa|TAB:B|None|None|plano-convex|Faience|803|530|741,source_panel_acquired_boxed_window_compatible_token_not_strict,+740-798-803-002-390-530-741+
2566.1,M-38,Mohenjo-daro,SEAL:S,Bull1:J,SAN,Steatite,square,,,DKB,DK-B 2220087,33,33,0,9,235,125,True,632 032,False,235|002-390|125|632 032,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite|235|125|632 032,metadata_only_unbound,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2598.1,M-70,Mohenjo-daro,SEAL:S,Bull1:T,SAF,Steatite,square,,,HR-,HR 4076048,38.1,38.1,0,3,032,692,True,<END>,True,032|002-390|692|<END>,Mohenjo-daro|SEAL:S|Bull1:T|SAF|square|Steatite|032|692|<END>,checkpoint_strict_source_visible,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,Bull1:J,SAN,Steatite,square,,,DK-,DK12704,29,29,0,4,142,095,True,<END>,True,142|002-390|095|<END>,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite|142|095|<END>,checkpoint_strict_source_visible,+151-279-142-002-390-095+
2646.1,M-119,Mohenjo-daro,SEAL:S,Bull1:S,SAN,Steatite,square,Late,IA,DKG. (S),DK328518,27.9,26.7,8.1,4,484,125,True,632 032 900 563,False,484|002-390|125|632 032 900 563,Mohenjo-daro|SEAL:S|Bull1:S|SAN|square|Steatite|484|125|632 032 900 563,checkpoint_strict_source_visible,+151-337-484-002-390-125-632-032-900-563+
2737.1,M-213,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,,,DKC,DK-C 3155150,22.9,22.9,0,3,384,346,False,<END>,True,384|002-390|346|<END>,Mohenjo-daro|SEAL:S|Bull1:J|RAF|square|Steatite|384|346|<END>,metadata_only_unbound,+740-384-002-390-346+
2756.1,M-232,Mohenjo-daro,SEAL:S,Bull2,SAF,Steatite,square,Late,III,DKG. (S),DK12644234,25.4,25.4,7.6,2,236,707,False,<END>,True,236|002-390|707|<END>,Mohenjo-daro|SEAL:S|Bull2|SAF|square|Steatite|236|707|<END>,metadata_only_unbound,+236-002-390-707+
3134.1,M-708,Mohenjo-daro,SEAL:S,Bull1:W,S,Steatite,square,Early,I,DKG. (S),DK8923666,30.7,30.7,7.9,3,061,140,False,<END>,True,061|002-390|140|<END>,Mohenjo-daro|SEAL:S|Bull1:W|S|square|Steatite|061|140|<END>,metadata_only_unbound,+740-061-002-390-140+
3159.1,M-735,Mohenjo-daro,SEAL:S,Bull1:U,HAF,Steatite,square,,,DKC,DK-C 3070060,31.8,33,0,4,235,125,True,195,False,235|002-390|125|195,Mohenjo-daro|SEAL:S|Bull1:U|HAF|square|Steatite|235|125|195,checkpoint_strict_source_visible,+740-760-235-002-390-125-195+
3335.1,-:3335.1,Unknown,SEAL:S,Bull1:J,RAF,Unknown,square,,,--,,29,29,0,4,032,590,False,032,False,032|002-390|590|032,Unknown|SEAL:S|Bull1:J|RAF|square|Unknown|032|590|032,metadata_only_unbound,+740-205-032-002-390-590-032+
3875.1,Sktd-1,Surkotada,SEAL:S,Bull1,RAN,Unknown,square,,,--,SKTD 1750,25,24,0,3,004,125,True,820,False,004|002-390|125|820,Surkotada|SEAL:S|Bull1|RAN|square|Unknown|004|125|820,checkpoint_permissive_public_panel,+390-004-002-390-125-820+
3992.1,M-1825,Mohenjo-daro,SEAL:S,Bull1,S,Unknown,square,,,--,BJ25710,17.5,18.5,0,3,031,705,True,<END>,True,031|002-390|705|<END>,Mohenjo-daro|SEAL:S|Bull1|S|square|Unknown|031|705|<END>,m1825_ia_pakistan_absent_secondary_icon_only_no_signband,+157-031-002-390-705+
4237.1,-:4237.1,Dholavira,SEAL:S,Bull1:I,RB,Unknown,square,5,,Lower Town-,,27.6,0,7.1 - 11.2,4,388,705,True,<END>,True,388|002-390|705|<END>,Dholavira|SEAL:S|Bull1:I|RB|square|Unknown|388|705|<END>,dholavira_8758_cluster_unbound_image_conflict,+151-032-388-002-390-705+
