id,object,site,type,symbol,cult,material,shape,period,phase,area_section,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,sign,pos_1based,prev2,prev1,next1,next2,is_terminal,scope,prev_before_002,tail_after_sign,prefix_before_sign,context_cell,source_status,text
7.1,Ad-2,Allahdino,SEAL:S,Bull1:J,SAN,Steatite,square,,,--,AD74-32,23,25,14,125,3,368,390,033,,False,non_frame,,033,368 390,Allahdino|SEAL:S|Bull1:J|SAN|square|Steatite,metadata_only_unbound,+368-390-125-033+
8.1,Ad-3,Allahdino,SEAL:S,Bull1:II,SAN,Steatite,square,,,--,AD74-177,20,21,13,705,4,904,033,235,,False,non_frame,,235,740 904 033,Allahdino|SEAL:S|Bull1:II|SAN|square|Steatite,metadata_only_unbound,+740-904-033-705-235+
19.1,Blk-1,Bala-kot,SEAL:S,Bull1,None,Unknown,square,,,--,2 BLK-165,42,0,0,125,6,297,350,413,,False,non_frame,,413,226 003 002 297 350,Bala-kot|SEAL:S|Bull1|None|square|Unknown,metadata_only_unbound,+226-003-002-297-350-125-413+
40.1,B-21,Banawali,SEAL:R,None,None,Steatite,cuboid-convex,II,,--,BNL 9205,26.9,13.1,6.7 - 9,692,4,003,060,,,True,non_frame,,<END>,426 003 060,Banawali|SEAL:R|None|None|cuboid-convex|Steatite,metadata_only_unbound,+426-003-060-692+
53.1,Ch-1,Chandigarh,POT:T:g,None,None,Clay,Unknown,,,--,,0,0,0,705,5,740,550,,,True,non_frame,,<END>,220 000 740 550,Chandigarh|POT:T:g|None|None|Unknown|Clay,metadata_only_unbound,+220-000-740-550-705+
54.1,Ch-2,Chandigarh,POT:T:g,None,None,Clay,Unknown,,,--,,0,0,0,705,3,740,050,,,True,non_frame,,<END>,740 050,Chandigarh|POT:T:g|None|None|Unknown|Clay,metadata_only_unbound,+740-050-705+
56.1,C-88,Chanhu-daro,TAB:B,None,None,Faience,rectangular,,,--,CH 1954 (2)Pl. LII:35,19.1,11.9,6.4,705,2,,031,167,,False,non_frame,,167,031,Chanhu-daro|TAB:B|None|None|rectangular|Faience,metadata_only_unbound,+031-705-167+
63.1,C-64,Chanhu-daro,SEAL:S,Bull1:J,SAN,Steatite,square,,,--,CH 2431Pl. LII:15,25.7,25.7,11.9,705,5,838,033,240,,False,non_frame,,240,000 220 838 033,Chanhu-daro|SEAL:S|Bull1:J|SAN|square|Steatite,metadata_only_unbound,]000-220-838-033-705-240+
67.1,C-75,Chanhu-daro,SEAL:S,Elep,None,Steatite,square,,,--,CH 2594 (h)Pl. LI:20,27.4,27.7,0 - 13,692,4,531,060,,,True,non_frame,,<END>,740 531 060,Chanhu-daro|SEAL:S|Elep|None|square|Steatite,metadata_only_unbound,+740-531-060-692+
76.1,C-74,Chanhu-daro,SEAL:S,Gaur,Trough,Steatite,square,,,--,CH 3215Pl. LI:14,19.8,19.1,0 - 10.9,125,1,,,002,861,False,non_frame,,002 861,<END>,Chanhu-daro|SEAL:S|Gaur|Trough|square|Steatite,metadata_only_unbound,+125-002-861+
