checked_date,object,row_id,site,type,shape,material,context,head_if_xslot,left_1,left_2,right_1,terminal,tail_after_095,text
2026-05-31,C-40,121.1,Chanhu-daro,IMPL,-,Copper,non_002_Xslot,,390,<START>,909,false,909 005 825 776 220 016,+390-095-909-005-825-776-220-016+
2026-05-31,M-592,278.1,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,595,001,<END>,true,<END>,+617-142-001-595-095[
2026-05-31,H-1993,744.2,Harappa,TAB:B,rectangular,Clay,002_H_095_Xslot,390,390,002,<END>,true,<END>,+740-000-220-004-002-390-095+
2026-05-31,H-225,1252.1,Harappa,TAB:B,rectangular,Steatite,non_002_Xslot,,850,<START>,000,false,000,]850-095-000+
2026-05-31,H-660,1575.1,Harappa,SEAL:R,cuboid-convex,-,non_002_Xslot,,520,<START>,033,false,033 706 240 798,+520-095-033-706-240-798+
2026-05-31,Kd-9,1974.1,Kot-Diji,POT:T:g,-,Clay,non_002_Xslot,,033,<START>,<END>,true,<END>,+033-095+
2026-05-31,L-1,1984.1,Lothal,SEAL:S,square,Steatite,002_H_095_Xslot,812,812,002,<END>,true,<END>,+527-550-233-002-812-095+
2026-05-31,M-2053,2284.2,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,520,032,585,false,585 017 220,+407-032-520-095-585-017-220+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,square,Steatite,002_H_095_Xslot,390,390,002,<END>,true,<END>,+151-279-142-002-390-095+
2026-05-31,M-403,2899.1,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,non_002_Xslot,,520,063,<END>,true,<END>,+407-063-520-095+
2026-05-31,H-2584,2919.1,Harappa,TAG:R,-,Clay,non_002_Xslot,,520,468,033,false,033 705,]806-468-520-095-033-705[
2026-05-31,M-520,2995.1,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,595,001,760,false,760 744,+617-142-001-595-095-760-744+
2026-05-31,-:5587.1,5587.1,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,520,032,585,false,585 017 231,+407-032-520-095-585-017-231+
2026-05-31,M-599,3061.2,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,520,032,585,false,585 017 220,+408-032-520-095-585-017-220+
2026-05-31,M-1052,3427.1,Mohenjo-daro,SEAL:R,rectangular,-,non_002_Xslot,,001,575,<END>,true,<END>,+679-740-220-032-806-001-595-575-001-095+
2026-05-31,M-1470,3738.1,Mohenjo-daro,TAB:C,rectangular,Copper,non_002_Xslot,,595,001,717,false,717 747,+617-142-001-595-095-717-747+
2026-05-31,TY-106,3886.1,Tepe Yahya,POT:T:s,-,Clay,non_002_Xslot,,002,<START>,000,false,000,+002-095-000[
2026-05-31,M-2021,4016.1,Mohenjo-daro,TAB:B,rectangular-round,-,non_002_Xslot,,<START>,<START>,031,false,031 740 927,+095-031-740-927+
2026-05-31,M-2112,4045.1,Mohenjo-daro,ROD,-,Ivory,non_002_Xslot,,000,000,550,false,550 003 002 000,+000-000-095-550-003-002-000+
2026-05-31,-:4239.1,4239.1,Dholavira,SEAL:S,square,Steatite,non_002_Xslot,,090,<START>,741,false,741 374 132,+090-095-741-374-132+
2026-05-31,-:4263.1,4263.1,Dholavira,SEAL:R,rectangular,-,non_002_Xslot,,520,<START>,000,false,000,+520-095-000[
2026-05-31,Sb-4,5386.1,Sibri,SEAL,square,Stone,non_002_Xslot,,000,<START>,<END>,true,<END>,]000-095+
