checked_date,head,rows,unique_x,repeated_x_row_share,open_rate,x_inventory,terminal_xs,open_xs,scopes,head_class
2026-05-31,861,34,23,17/34,9/34,416:6;603:3;000:2;096:2;533:2;698:2;031:1;032:1;036:1;125:1;216:1;244:1;255:1;360:1;390:1;392:1;626:1;683:1;791:1;803:1;831:1;832:1;901:1,416:6;603:3;000:2;096:2;698:2;031:1;125:1;216:1;390:1;392:1;626:1;683:1;803:1;832:1;901:1,533:2;032:1;036:1;244:1;255:1;360:1;791:1;831:1,Mohenjo-daro|SEAL:S|square|Steatite:10;Harappa|TAB:I|rectangular|Steatite:4;Harappa|SEAL:S|square|Steatite:2;Harappa|TAB:I|rectangular|-:2;Lothal|SEAL:S|square|Steatite:2;Mohenjo-daro|ROD|-|Ivory:2;Mohenjo-daro|SEAL:R|cuboid-convex|Steatite:2;Mohenjo-daro|SEAL:S|square|-:2;Allahdino|MISC|square|Clay:1;Dholavira|TAG|-|Clay:1;Harappa|SEAL:R|cuboid-convex|Steatite:1;Harappa|SEAL|-|-:1;Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:R|cuboid-convex|-:1;Mohenjo-daro|SEAL:R|rectangular|Steatite:1;Shikarpur|POT:T:p|-|Clay:1,mixed_inventory_head
2026-05-31,405,32,4,29/32,2/32,501:29;125:1;321:1;372:1,501:29;321:1,125:1;372:1,Harappa|TAB:B|cylindrical|-:28;Mohenjo-daro|SEAL:S|square|Steatite:2;Harappa|SEAL:S|square|Steatite:1;Harappa|TAB:B|cylindrical|Clay:1,terminal_default_head
2026-05-31,031,15,11,8/15,2/15,000:2;480:2;575:2;892:2;104:1;165:1;350:1;376:1;500:1;502:1;820:1,000:2;575:2;892:2;104:1;165:1;376:1;500:1;502:1;820:1,350:1,Mohenjo-daro|SEAL:S|square|Steatite:5;Mohenjo-daro|SEAL:S|square|-:2;Chanhu-daro|SEAL:S|square|Steatite:1;Dholavira|SEAL:R|cuboid-convex|Steatite:1;Dholavira|SEAL:R|rectangular|Steatite:1;Dholavira|TAG|-|Clay:1;Harappa|SEAL:S|square|-:1;Harappa|SEAL:S|square|Steatite:1;Kalibangan|POT:T:g|-|Clay:1;Mohenjo-daro|TAB:B|-|Clay:1,terminal_default_head
2026-05-31,390,15,10,8/15,6/15,125:4;095:2;705:2;072:1;140:1;346:1;530:1;590:1;692:1;707:1,095:2;705:2;072:1;140:1;346:1;692:1;707:1,125:4;530:1;590:1,Mohenjo-daro|SEAL:S|square|Steatite:8;Dholavira|SEAL:S|square|-:1;Harappa|SEAL:S|square|Steatite:1;Harappa|TAB:B|plano-convex|Faience:1;Harappa|TAB:B|rectangular|Clay:1;Mohenjo-daro|SEAL:S|square|-:1;Surkotada|SEAL:S|square|-:1;Unknown|SEAL:S|square|-:1,mixed_inventory_head
2026-05-31,368,12,11,2/12,6/12,260:2;119:1;165:1;202:1;518:1;550:1;590:1;634:1;840:1;861:1;906:1,260:2;119:1;165:1;518:1;634:1,202:1;550:1;590:1;840:1;861:1;906:1,Mohenjo-daro|SEAL:S|square|Steatite:5;Bala-kot|SEAL:S|square|-:1;Banawali|SEAL:S|square|Steatite:1;Harappa|SEAL:S|square|Steatite:1;Kalibangan|SEAL:S|square|Steatite:1;Lothal|TAG|-|Clay:1;Mohenjo-daro|SEAL:S|square|Faience:1;Unknown|SEAL:S|square|-:1,diffuse_inventory_head
2026-05-31,000,11,8,5/11,3/11,000:3;090:2;031:1;215:1;216:1;317:1;350:1;861:1,000:3;031:1;215:1;216:1;350:1,317:1;861:1,Mohenjo-daro|SEAL:S|square|Steatite:3;Harappa|SEAL:S|square|Steatite:1;Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|POT:T:g|-|Clay:1;Mohenjo-daro|SEAL:S|square|-:1;Mohenjo-daro|SEAL|-|metal:1;Nausharo|POT:T:g|-|Clay:1;Rakhigarhi|SEAL:CY|cylindrical|-:1;Unknown|SEAL:C|circular|-:1,mixed_inventory_head
2026-05-31,220,11,5,8/11,10/11,455:5;065:3;000:1;627:1;880:1,000:1,455:5;065:3;627:1;880:1,Mohenjo-daro|SEAL:S|square|Steatite:4;Harappa|SEAL:S|square|Steatite:3;Harappa|TAB:B|rectangular|Faience:1;Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Faience:1;Mohenjo-daro|TAG:O|-|Clay:1,open_template_head
2026-05-31,056,8,1,8/8,0/8,091:8,091:8,,Kalibangan|TAG|rectangular|Terracotta:7;Kalibangan|TAG|-|Terracotta:1,closed_template_head
2026-05-31,817,8,6,3/8,4/8,000:3;032:1;090:1;192:1;690:1;808:1,000:3;808:1,032:1;090:1;192:1;690:1,Mohenjo-daro|SEAL:S|square|Steatite:4;Harappa|SEAL:S|square|Steatite:2;Kalibangan|TAG|-|Terracotta:1;Mohenjo-daro|TAG:O|square|Clay:1,mixed_low_count_or_unclassified
2026-05-31,820,8,6,4/8,2/8,000:2;741:2;001:1;033:1;700:1;906:1,000:2;741:2;033:1;700:1,001:1;906:1,Mohenjo-daro|SEAL:S|square|Steatite:5;Harappa|TAB:I|rectangular|-:1;Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL:S|square|Faience:1,terminal_default_head
2026-05-31,595,7,7,0/7,6/7,342:1;390:1;504:1;575:1;632:1;812:1;906:1,906:1,342:1;390:1;504:1;575:1;632:1;812:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Harappa|SEAL:R|cuboid-convex|Steatite:1;Harappa|SEAL:R|rectangular|-:1;Harappa|SEAL:S|square|Steatite:1;Kalibangan|TAG:L|-|-:1;Mohenjo-daro|SEAL:R|rectangular|Steatite:1,open_default_head
2026-05-31,297,5,4,2/5,3/5,350:2;000:1;190:1;416:1,000:1;416:1,350:2;190:1,Mohenjo-daro|SEAL:S|square|Steatite:2;Bala-kot|SEAL:S|square|-:1;Harappa|SEAL:S|square|Steatite:1;Nausharo|SEAL:R|rectangular|Steatite:1,mixed_low_count_or_unclassified
2026-05-31,365,5,4,2/5,4/5,460:2;287:1;374:1;550:1,550:1,460:2;287:1;374:1,Mohenjo-daro|TAB:C|rectangular|Copper:2;Chanhu-daro|SEAL:S|square|Steatite:1;Dholavira|SEAL:S|square|Steatite:1;Harappa|SEAL:S|square|Steatite:1,open_default_head
2026-05-31,374,5,5,0/5,3/5,228:1;309:1;310:1;575:1;840:1,575:1;840:1,228:1;309:1;310:1,Mohenjo-daro|SEAL:S|square|Steatite:4;Nausharo|SEAL:S|square|Steatite:1,mixed_low_count_or_unclassified
2026-05-31,900,5,4,2/5,2/5,003:2;285:1;615:1;630:1,285:1;615:1;630:1,003:2,Mohenjo-daro|SEAL:S|square|Steatite:2;Dholavira|TAB:B|cuboid-convex|Terracotta:1;Mohenjo-daro|SEAL:R|cuboid|-:1;Mohenjo-daro|SEAL:S|square|Faience:1,mixed_low_count_or_unclassified
2026-05-31,920,5,2,5/5,0/5,317:3;491:2,317:3;491:2,,Chanhu-daro|SEAL:S|square|Steatite:1;Harappa|TAB:B|rectangular|Clay:1;Harappa|TAB:B|twisted rectangular|Faience:1;Lothal|TAG|-|Clay:1;Mohenjo-daro|SEAL:S|square|Steatite:1,closed_template_head
