checked_date,object,id,prev_before_002,head_after_002,sign_after_head,head_is_390,prev_is_235,sign_after_head_is_125,terminal_after_head,tail_after_head,symbol,cult,complete,condition,text
2026-05-31,M-1696,2178.1,415,861,,False,False,False,False,<END>,Bull1:II,SAN,Y,Fair,+520-033-705-220-415-002-861+
2026-05-31,M-1880,2179.1,176,861,,False,False,False,False,<END>,Gaur,Trough,Y,Poor,+151-176-002-861+
2026-05-31,M-1850,2188.1,506,817,,False,False,False,False,<END>,Bull1:S,None,Y,Poor,+506-002-817+
2026-05-31,M-1766,2193.1,240,269,892,False,False,False,False,892 810 033,Bull1:W,SAF,Y,Poor,+740-032-845-240-002-269-892-810-033+
2026-05-31,M-1895,2198.1,000,285,,False,False,False,False,<END>,Zebu,-,N,Poor,+740-923-000-002-285+
2026-05-31,M-235,2213.1,350,820,,False,False,False,False,<END>,Gaur,Trough,Y,Fair,+368-001-550/740-543-350-002-820+
2026-05-31,M-1675,2220.1,844,820,,False,False,False,False,<END>,Bull1:W,RBF,Y,Good,+621-390-844-002-820+
2026-05-31,M-1676,2224.1,240,595,504,False,False,False,False,504 803,Bull1:S,-,Y,Poor,+740-760-070-255-832-240-002-595-504-803+
2026-05-31,M-1692,2226.1,617,190,125,False,False,True,False,125 632 032,Bull1:L,SAN,Y,Good,+390-600-617-002-190-125-632-032+
2026-05-31,M-1697,2228.1,003,861,,False,False,False,False,<END>,Bull1:W,SAF,Y,Good,+390-003-002-861+
2026-05-31,M-1737,2229.1,032,820,,False,False,False,False,<END>,Bull1:W,SAN,Y,Good,+740-760-072-921-032-002-820+
2026-05-31,M-1688,2231.1,255,286,220,False,False,False,False,220 031 012 031 455 033 590,Bull1:S,SAN,Y,Good,+125-435-255-002-286-220-031-012-031-455-033-590+
2026-05-31,M-1916,2232.1,142,518,,False,False,False,False,<END>,Tigr,Trough,Y,Fair,+740-604-142-002-518+
2026-05-31,M-1677,2236.1,032,820,001,False,False,False,False,001 440 012,Bull1:W,-,Y,Fair,+520-382-032-002-820-001-440-012+
2026-05-31,M-1778,2239.1,235,861,,False,True,False,False,<END>,Bull1:I,SAN,N,Poor,]000-235-002-861+
2026-05-31,M-1674,2240.1,231,861,683,False,False,False,True,683,Bull1:J,RAF,Y,Good,+090-740-222-231-002-861-683+
2026-05-31,M-940,2243.1,555,817,,False,False,False,False,<END>,Bull1:J,SAN,Y,Good,+527-555-002-817+
2026-05-31,M-1704,2251.1,605,861,,False,False,False,False,<END>,Bull1:W,SAN,Y,Good,+740-760-605-002-861+
2026-05-31,M-1765,2255.1,705,093,033,False,False,False,True,033,Bull1:W,SAF,Y,Good,+215-031-480-140-632-705-002-093-033+
2026-05-31,M-1753,2256.1,240,861,,False,False,False,False,<END>,Bull1:L,SAN,Y,Good,+740-760-519-240-002-861+
2026-05-31,M-656,2257.1,803,861,,False,False,False,False,<END>,Bull1,SA?,N,Poor,]000-920-705-803-002-861+
2026-05-31,M-1721,2261.1,042,820,,False,False,False,False,<END>,Bull1:W,SAN,Y,Good,+740-042-002-820+
2026-05-31,M-963,2263.1,176,817,,False,False,False,False,<END>,Bull1:S,SAN,Y,Poor,+740-176-002-817+
2026-05-31,M-1709,2268.1,220,817,,False,False,False,False,<END>,Bull1:S,RAF,Y,Poor,+621-520-220-002-817+
2026-05-31,M-1668,2270.1,803,320,705,False,False,False,False,705 125,Bull1:S,SAN,Y,Poor,+740-773-233-803-002-320-705-125+
2026-05-31,M-1860,2274.1,231,861,,False,False,False,False,<END>,Bull1,S,?,Poor,]231-002-861+
2026-05-31,M-1726,2276.1,240,861,,False,False,False,False,<END>,Bull1:W,SAN,Y,Good,+740-615-495-240-002-861+
2026-05-31,M-1746,2283.1,240,817,,False,False,False,False,<END>,Bull1:S,SAN,Y,Good,+090-740-100-415-240-002-817+
2026-05-31,M-1791,2290.1,268,840,032,False,False,False,True,032,Bull1:J,RAF,Y,Good,+740-760-268-002-840-032+
2026-05-31,M-1706,2292.1,220,820,,False,False,False,False,<END>,Bull1:I,SAN,Y,Fair,+740-803-220-032-220-002-820+
2026-05-31,M-1711,2296.1,049,817,,False,False,False,False,<END>,Bull1:W,RAF,Y,Fair,+740-760-049-002-817+
2026-05-31,M-1772,2297.1,061,798,435,False,False,False,False,435 255 705,Bull1:I,SAF,Y,Good,+740-400-142-061-002-798-435-255-705+
2026-05-31,M-1708,2299.1,017,817,,False,False,False,False,<END>,Bull1:I,RAN,Y,Fair,+740-585-017-002-817+
2026-05-31,M-1810,2310.1,003,156,920,False,False,False,True,920,Bull1:J,SAN,Y,Good,+740-100-140-003-002-156-920+
2026-05-31,M-1783,2315.1,003,000,215,False,False,False,True,215,Bull1,?,N,Fair,+520-442/425-003-002-000-215+
2026-05-31,M-1755,2323.1,176,861,,False,False,False,False,<END>,Bull1:L,SAN,Y,Fair,+740-176-002-861+
2026-05-31,M-1914,2341.1,832,817,,False,False,False,False,<END>,Elep,None,N,Poor,]000-832-002-817+
2026-05-31,M-1661,2342.1,219,861,032,False,False,False,False,032 520 919 140,Bull1:W,SAN,Y,Good,+520-070-219-002-861-032-520-919-140+
2026-05-31,M-1899,2350.1,132,861,,False,False,False,False,<END>,Zebu,None,Y,Good,+924-132-002-861+
2026-05-31,M-1928,2357.3,220,861,,False,False,False,False,<END>,Buff,Trough,N,Fair,+000-233-220-002-861+
2026-05-31,M-1693,2359.1,235,817,,False,True,False,False,<END>,Bull1,SAN,Y,Good,+527-555-033-706-235-002-817+
2026-05-31,M-1733,2374.1,000,735,,False,False,False,False,<END>,Bull1:S,SAN,N,Fair,]000-002-735+
2026-05-31,M-1759,2375.1,840,768,,False,False,False,False,<END>,Bull1:S,SAN,Y,Good,+740-032-840-002-768+
2026-05-31,M-1842,2376.1,235,861,,False,True,False,False,<END>,Bull1,RBF,N,Poor,+520-000-235-002-861+
2026-05-31,M-1686,2381.1,032,142,,False,False,False,False,<END>,Bull1:W,SAN,Y,Good,+740-904-220-032-002-142+
2026-05-31,-,2388.1,240,861,,False,False,False,False,<END>,Bull1:S,RAN,Y,Fair,+740-637-240-002-861+
2026-05-31,M-1681,2389.1,798,861,832,False,False,False,True,832,Bull1:W,SAN,Y,Good,+520-072-233-740-798-002-861-832+
2026-05-31,M-1745,2393.1,031,031,892,False,False,False,True,892,Bull1:L,SAN,Y,Fair,+368-821-055-031-002-031-892+
2026-05-31,M-1927,2397.1,005,817,,False,False,False,False,<END>,Mult,None,Y,Fair,+390-005-002-817+
2026-05-31,M-1927,2397.2,005,817,,False,False,False,False,<END>,Mult,None,N,Fair,]000-005-002-817+
2026-05-31,M-1883,2398.1,031,069,,False,False,False,False,<END>,Gaur,Trough,Y,Good,+090-740-035-171-061-031-002-069+
2026-05-31,M-1787,2399.1,061,703,000,False,False,False,True,000,Bull1:I,RAN,N,Fair,+740-061-002-703-000+
2026-05-31,M-1901,2402.1,156,252,692,False,False,False,True,692,Zebu,None,Y,Good,+151-061/156-002-252-692+
2026-05-31,M-1911,2409.1,531,820,,False,False,False,False,<END>,Rhin,None,Y,Good,+621-390-531-002-820+
