checked_date,object,id,sign,target_frame,source_class,position_1based,text_length,prev2,prev,next,terminal_after_sign,symbol,cult,complete,condition,text
2026-05-31,M-13,2541.1,125,False,metadata_same_register_background,3,3,368,304,,True,Bull1:W,SAN,Y,Fine,+368-304-125+
2026-05-31,M-41,2569.1,125,False,metadata_same_register_background,8,9,002,405,820,False,Bull1:W,SAN,Y,Good,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-191,2716.1,125,False,metadata_same_register_background,2,2,,090,,True,Bull1:L,SAN,Y,Poor,+090-125+
2026-05-31,M-251,2774.1,125,False,metadata_same_register_background,4,5,003,002,350,False,Gaur,Trough,Y,Fair,+390-003-002-125-350+
2026-05-31,M-314,2832.1,125,False,metadata_same_register_background,4,17,817,390,308,False,None,None,Y,Good,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
2026-05-31,M-320,2838.1,125,False,metadata_same_register_background,5,5,741,390,,True,Bull1:W,SAN,Y,Good,+740-176-741-390-125+
2026-05-31,M-624,3075.1,125,False,metadata_same_register_background,2,3,,190,575,False,Bull1:W,SAF,Y,Good,+190-125-575+
2026-05-31,M-626,3077.1,125,False,metadata_same_register_background,3,13,842,374,740,False,Bull1:J,S,Y,Fair,+842-374-125/740-803-060-692-740-690-435-255-060-692+
2026-05-31,M-761,3184.1,125,False,metadata_same_register_background,4,4,741,455,,True,Bull1,-,?,Poor,]002-741-455-125+
2026-05-31,M-848,3260.1,125,False,metadata_same_register_background,2,3,,406,176,False,Bull1,-,Y,Poor,+406-125-176+
2026-05-31,M-878,3286.1,125,False,metadata_same_register_background,6,6,741,390,,True,Bull1:J,RAF,Y,Good,+740-900-005-741-390-125+
2026-05-31,M-901,3306.1,125,False,metadata_same_register_background,2,4,,090,002,False,Bull1,-,Y,Poor,+090-125-002-861+
2026-05-31,M-1188,3539.1,125,False,metadata_same_register_background,3,9,000,000,632,False,None,None,N,Poor,]000/000-125-632-032/240-002-244-632+
2026-05-31,M-1665,2473.1,125,False,metadata_same_register_background,8,9,002,610,032,False,Bull1:W,SAN,Y,Fair,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-1668,2270.1,125,False,metadata_same_register_background,8,8,320,705,,True,Bull1:S,SAN,Y,Poor,+740-773-233-803-002-320-705-125+
2026-05-31,M-1688,2231.1,125,False,metadata_same_register_background,1,12,,,435,False,Bull1:S,SAN,Y,Good,+125-435-255-002-286-220-031-012-031-455-033-590+
2026-05-31,M-1692,2226.1,125,False,metadata_same_register_background,6,8,002,190,632,False,Bull1:L,SAN,Y,Good,+390-600-617-002-190-125-632-032+
2026-05-31,M-1700,2517.1,125,False,metadata_same_register_background,2,3,,400,745,False,Bull1:W,SAF,Y,Poor,+400-125-745+
