checked_date,object,original_object,site,x,tail_after_x,actual,old_tier,old_rule_class,role,source_status,source_bucket,demoted_tier,parse_after_demotion,text
2026-05-31,H-1993,H-1993,Harappa,095,<END>,terminal,candidate,core_terminal_class_label,095_terminal_booster,public_transcription_route_no_image_binding,route_only,route_pressure_only,pressure_only_not_promotion,+740-000-220-004-002-390-095+
2026-05-31,H-68,H-68,Harappa,072,<END>,terminal,wild shot,singleton_terminal_payload,singleton_terminal_payload,not_in_source_visible_recheck,structural_only,wild_shot_structural_singleton,pressure_only_not_promotion,+090-740-220-003-002-390-072+
2026-05-31,H-773,H-773,Harappa,530,741,open,candidate,open_operator_from_broader_x_slot,530_open_extender,not_in_source_visible_recheck,structural_only,candidate_structural_only,pressure_only_not_promotion,+740-798-803-002-390-530-741+
2026-05-31,M-38,M-38,Mohenjo-daro,125,632 032,open,candidate,core_open_dependent_tail_operator,125_open_linker,not_ready_weak_context_not_token_boxable,excluded_visual,excluded_from_strict_counts,do_not_count_for_parser_fit,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,M-70,Mohenjo-daro,692,<END>,terminal,wild shot,raw_boundary_closer,692_terminal_comparator,strict_source_visible_token_box_ready_high,strict_countable,strict_comparator_not_classifier,strictly_countable_for_role_shape,+226-032-002-390-692+
2026-05-31,M-71,M-71,Mohenjo-daro,095,<END>,terminal,candidate,core_terminal_class_label,095_terminal_booster,strict_source_visible_token_box_ready_high,strict_countable,wild_shot_singleton_source_visible,strictly_countable_for_role_shape,+151-279-142-002-390-095+
2026-05-31,M-119,M-119,Mohenjo-daro,125,632 032 900 563,open,candidate,core_open_dependent_tail_operator,125_open_linker,strict_source_visible_token_box_ready_high,strict_countable,candidate_source_visible,strictly_countable_for_role_shape,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,M-213,Mohenjo-daro,346,<END>,terminal,wild shot,singleton_terminal_payload,singleton_terminal_payload,not_in_source_visible_recheck,structural_only,wild_shot_structural_singleton,pressure_only_not_promotion,+740-384-002-390-346+
2026-05-31,M-232,M-232,Mohenjo-daro,707,<END>,terminal,wild shot,singleton_terminal_payload,singleton_terminal_payload,not_in_source_visible_recheck,structural_only,wild_shot_structural_singleton,pressure_only_not_promotion,+236-002-390-707+
2026-05-31,M-708,M-708,Mohenjo-daro,140,<END>,terminal,wild shot,singleton_terminal_payload,singleton_terminal_payload,not_in_source_visible_recheck,structural_only,wild_shot_structural_singleton,pressure_only_not_promotion,+740-061-002-390-140+
2026-05-31,M-735,M-735,Mohenjo-daro,125,195,open,candidate,core_open_dependent_tail_operator,125_open_linker,strict_source_visible_token_box_ready_high,strict_countable,candidate_source_visible,strictly_countable_for_role_shape,+740-760-235-002-390-125-195+
2026-05-31,-,-,Unknown,590,032,open,wild shot,open_extender_wild_shot,590_open_extender_unbound,private_or_unknown_source_unbound,unbound_private,wild_shot_unbound_private,pressure_only_not_promotion,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,Sktd-1,Surkotada,125,820,open,candidate,core_open_dependent_tail_operator,125_open_linker,panel_bound_token_box_ready_medium_downweighted,downweighted_pressure,candidate_pressure_only,pressure_only_not_promotion,+390-004-002-390-125-820+
2026-05-31,M-1825,M-1825,Mohenjo-daro,705,<END>,terminal,candidate,core_terminal_class_label,705_terminal_booster,no_signband_no_strict_source_visible,source_blocked,wild_shot_source_blocked,pressure_only_not_promotion,+157-031-002-390-705+
2026-05-31,4237.1,-,Dholavira,705,<END>,terminal,candidate,core_terminal_class_label,705_terminal_booster,source_image_candidate_unbound_metadata_cluster_found,unbound_candidate,wild_shot_source_blocked,pressure_only_not_promotion,+151-032-388-002-390-705+
