checked_date,target,label,object,row_id,site,type,text,prev2,prev1,sequence,next1,next2,at_end
2026-05-31,4148.1,exact_tail_267_000_033,-:4148.1,4148.1,Rakhigarhi,SEAL:S,+740-690-435-255-002-267-000-033+,255,002,267 000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,-:178.1,178.1,Harappa,TAB:B,+000-000-033+,<START>,000,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-1369,213.1,Harappa,POT:T:g,+034-000-033+,<START>,034,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-1494,214.1,Harappa,POT:T:g,]000-033[,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,-:285.2,285.2,Harappa,TAB:I,]000-033+,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-1272,286.1,Harappa,TAB:I,]000-033+,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-1801,629.2,Harappa,TAB:B,]000-033-605+,<START>,<START>,000 033,605,<END>,false
2026-05-31,4148.1,payload_candidate_000_033,H-2261,704.1,Harappa,POT:T:g,+000-000/033[,<START>,000,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-1890,944.1,Harappa,TAB:B,+000-033-000[,<START>,<START>,000 033,000,<END>,false
2026-05-31,4148.1,payload_candidate_000_033,-:1046.1,1046.1,Harappa,POT:T:g,+035/032-001-000/033+,032,001,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-1154,1050.2,Harappa,TAB:B,]000-033[,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-646,1561.1,Harappa,SEAL:R,+000-033-033-060-692+,<START>,<START>,000 033,033,060,false
2026-05-31,4148.1,payload_candidate_000_033,H-937,1817.2,Harappa,TAB:I,+000-033+,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,K-89,1944.2,Kalibangan,TAG:L,+000-033-705-000-002-000+,<START>,<START>,000 033,705,000,false
2026-05-31,4148.1,payload_candidate_000_033,-:2154.1,2154.1,Mohenjo-daro,SEAL,]000-033-000[,<START>,<START>,000 033,000,<END>,false
2026-05-31,4148.1,payload_candidate_000_033,-:2217.1,2217.1,Mohenjo-daro,SEAL:R,]000-033-706-806[,<START>,<START>,000 033,706,806,false
2026-05-31,4148.1,payload_candidate_000_033,M-1173,3531.1,Mohenjo-daro,SEAL:S,]000-033-032-920-140-545+,<START>,<START>,000 033,032,920,false
2026-05-31,4148.1,payload_candidate_000_033,M-1583,3806.1,Mohenjo-daro,POT:T:g,]000-033+,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,M-1840,3994.1,Mohenjo-daro,SEAL:S,+000-000-033-033+,<START>,000,000 033,033,<END>,false
2026-05-31,4148.1,payload_candidate_000_033,H-1194,4057.2,Harappa,TAB:I,]000-033[,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,H-1291,4071.2,Harappa,TAB:I,]000-033+,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,-:4148.1,4148.1,Rakhigarhi,SEAL:S,+740-690-435-255-002-267-000-033+,002,267,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,-:4151.1,4151.1,Dholavira,SEAL:S,+455-861-000-000-033+,861,000,000 033,<END>,<END>,true
2026-05-31,4148.1,payload_candidate_000_033,M-1487,5146.1,Mohenjo-daro,TAB:C,+000-000-033-000+,<START>,000,000 033,000,<END>,false
2026-05-31,4148.1,payload_candidate_000_033,K-172,5297.1,Kalibangan,POT:T:g,]000-033+,<START>,<START>,000 033,<END>,<END>,true
2026-05-31,4148.1,head267_x000,-:4148.1,4148.1,Rakhigarhi,SEAL:S,+740-690-435-255-002-267-000-033+,435,255,002 267 000,033,<END>,false
2026-05-31,4148.1,same_tail_267_000_any,-:4148.1,4148.1,Rakhigarhi,SEAL:S,+740-690-435-255-002-267-000-033+,255,002,267 000,033,<END>,false
2026-05-31,M-451,exact_tail_520_000_000_000_906_388,M-451,2936.1,Mohenjo-daro,TAB:B,+000-002-520-000-000-000-906-388+,000,002,520 000 000 000 906 388,<END>,<END>,true
2026-05-31,M-451,zero_chain_000_000_000_906_388,M-451,2936.1,Mohenjo-daro,TAB:B,+000-002-520-000-000-000-906-388+,002,520,000 000 000 906 388,<END>,<END>,true
2026-05-31,M-451,payload_candidate_906_388,M-133,2660.1,Mohenjo-daro,SEAL:S,+527-550-240-220-255-812-906-388+,255,812,906 388,<END>,<END>,true
2026-05-31,M-451,payload_candidate_906_388,M-451,2936.1,Mohenjo-daro,TAB:B,+000-002-520-000-000-000-906-388+,000,000,906 388,<END>,<END>,true
2026-05-31,M-451,payload_candidate_906_388,M-1427,3712.1,Mohenjo-daro,TAG:O,+484-140-002-220-627-615-906-388+,627,615,906 388,<END>,<END>,true
2026-05-31,M-451,same_head_520_000,M-451,2936.1,Mohenjo-daro,TAB:B,+000-002-520-000-000-000-906-388+,<START>,000,002 520 000,000,000,false
2026-05-31,Ns-66,exact_tail_892_000_002,Ns-66,5367.1,Nausharo,POT:T:g,+033-999-400-090-740-100-000-002-892-000-002+,000,002,892 000 002,<END>,<END>,true
2026-05-31,Ns-66,reset_candidate_000_002,B-18,38.1,Banawali,SEAL:S,]000-002-861+,<START>,<START>,000 002,861,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,C-85,84.1,Chanhu-daro,SEAL:R,+000-000-002-820+,<START>,000,000 002,820,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,Dlv-2,146.1,Dholavira,SEAL:R,]000-002-817+,<START>,<START>,000 002,817,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,-:216.1,216.1,Baror,SEAL:S,+000-000-002-257-550+,<START>,000,000 002,257,550,false
2026-05-31,Ns-66,reset_candidate_000_002,-:617.1,617.1,Harappa,POT:T:g,]740-000-000-002-575-000[,740,000,000 002,575,000,false
2026-05-31,Ns-66,reset_candidate_000_002,H-15,1076.1,Harappa,SEAL:S,]000-000-002-817+,<START>,000,000 002,817,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,H-41,1100.1,Harappa,SEAL:S,]000-002-690+,<START>,<START>,000 002,690,<END>,false
2026-05-31,Ns-66,reset_candidate_000_002,H-100,1155.1,Harappa,SEAL:S,+520-031-000-002-000+,520,031,000 002,000,<END>,false
