checked_date,head,rows,terminal_booster_rows,open_operator_rows,gap,terminal_signs,open_signs,verdict
2026-05-31,405,30,0,1,0.000,,125:1,not_comparable
2026-05-31,861,13,12,1,0.000,416:6;603:3;000:2;031:1,125:1,not_comparable
2026-05-31,390,11,5,5,1.000,095:2;705:2;140:1,125:4;530:1,head_level_support
2026-05-31,220,9,1,8,1.000,000:1,455:5;065:3,not_comparable
2026-05-31,000,8,5,3,0.467,000:3;031:1;317:1,090:2;861:1,head_level_support
2026-05-31,056,8,0,0,0.000,,,not_comparable
2026-05-31,031,6,6,0,1.000,000:2;575:2;165:1;820:1,,not_comparable
2026-05-31,368,5,3,2,1.000,260:2;165:1,861:1;906:1,head_level_support
2026-05-31,820,5,4,1,1.000,000:2;741:2,906:1,not_comparable
2026-05-31,920,5,5,0,1.000,317:3;491:2,,not_comparable
