date,gate,target,field,value,source_or_route,status,consequence
2026-05-31,dholavira_8758_acquisition_packet,4237.1,local_row,4237.1,data/open_prototype/lipi/metadata_filtered.csv,local_metadata_only,"Use as request identity, not proof."
2026-05-31,dholavira_8758_acquisition_packet,4237.1,local_text,+151-032-388-002-390-705+,data/open_prototype/lipi/metadata_filtered.csv,local_metadata_only,"Target frame is 388->002-390->705 terminal."
2026-05-31,dholavira_8758_acquisition_packet,4237.1,locus,ZA-12:2-,data/open_prototype/lipi/metadata_filtered.csv,local_metadata_route,"Must bind to source image/caption."
2026-05-31,dholavira_8758_acquisition_packet,4237.1,dimensions,"27.62 x 21.31(ext) x 7.11-11.17(ext)",data/open_prototype/lipi/metadata_filtered.csv,local_metadata_route,"Matches OCR cluster but not image by itself."
2026-05-31,dholavira_8758_acquisition_packet,8758,ocr_cluster,"8758 / ZA-12:2 / 27.62 x 21.31 x 7.11-11.17",https://pdfcoffee.com/excavations-at-dholavifra-1989-2005-rs-bisht-2015-pdf-free.html,metadata_cluster_unbound,"Acquisition-hot route; no image binding."
2026-05-31,dholavira_8758_acquisition_packet,8758,individual_detail,"Public mirror exposes an individual National Museum detail for Acc. No. 8758 with a unicorn description, no other details, missing knob, and white steatite.",https://pdfcoffee.com/excavations-at-dholavifra-1989-2005-rs-bisht-2015-pdf-free.html,object_detail_no_sign_binding,"Confirms 8758 is a real source-contact target; still no image, sign count, or source transcription."
2026-05-31,dholavira_8758_acquisition_packet,page18_item10,wrong_object_guard,"Public OCR individual seal details list page-18 item 10 as Acc. No. 2118 with 5 signs.",https://pdfcoffee.com/excavations-at-dholavifra-1989-2005-rs-bisht-2015-pdf-free.html,wrong_object_lookalike_pressure,"Do not count page-18 item 10 as 4237.1."
2026-05-31,dholavira_8758_acquisition_packet,ICIT_4348,false_bridge_guard,"Local 4348.1 is a Dholavira TAG with text ]740-142-000-002-861-390[, not 4237.1.",docs/campaign_032_002_861_002390x_near_frame_scout_20260531.md,false_bridge_guard_reinforced,"Do not use ICIT 4348 as a 705 bridge."
2026-05-31,dholavira_8758_acquisition_packet,public_search_refresh,"Fresh targeted searches looped back to the Bisht/PDFCoffee route and no external image/caption bridge.",web_search_2026_05_31,no_public_image_bridge,"Next route is a source plate/list/table bridge for Acc. No. 8758 or ZA-12:2."
2026-05-31,dholavira_8758_acquisition_packet,source_contact,gmail_message_id,[redacted-msgid],Gmail SENT,source_contact_sent,"Request sent to [harappa-project-email]; acquisition only, no evidence upgrade."
2026-05-31,dholavira_8758_acquisition_packet,decision,status,source_contact_sent_awaiting_reply,docs/campaign_032_002_861_002390x_dholavira_8758_source_contact_20260531.md,dholavira_8758_source_contact_sent_awaiting_reply_no_values,"4237.1 remains acquisition-hot and zero strict."
