checked_date,object,row_id,site,type,context,successor,successor_in_framed_x_set,terminal_successor,next_after_successor,prev_before_390,text
2026-05-31,Ad-1,6.1,Allahdino,SEAL:S,unframed_390,590,true,true,<END>,740,+740-390-590+
2026-05-31,Ad-2,7.1,Allahdino,SEAL:S,unframed_390,125,true,false,033,368,+368-390-125-033+
2026-05-31,Alt-90,16.1,Altyn Depe,SEAL:S,unframed_390,415,false,true,<END>,<START>,+390-415+
2026-05-31,Ai-7,17.1,Amri,POT:T:g,unframed_390,034,false,true,<END>,<START>,+390-034+
2026-05-31,Blk-2,20.1,Bala-kot,SEAL:S,unframed_390,717,false,false,061,<START>,+390-717-061-002-368-634+
2026-05-31,B-9,33.1,Banawali,SEAL:S,unframed_390,004,false,true,<END>,<START>,+390-004+
2026-05-31,-:50.1,50.1,Bhirrana,SEAL:S,unframed_390,003,false,false,003,<START>,+390-003-003+
2026-05-31,C-66,61.1,Chanhu-daro,SEAL:S,unframed_390,003,false,false,002,<START>,+390-003-002-817+
2026-05-31,C-69,66.1,Chanhu-daro,SEAL:S,unframed_390,844,false,false,060,<START>,+390-844-060-575-717+
2026-05-31,C-2,90.1,Chanhu-daro,SEAL:S,unframed_390,590,true,true,<END>,740,+740-390-590+
2026-05-31,C-12,100.1,Chanhu-daro,SEAL:S,unframed_390,590,true,false,031,161,+161-390-590-031-740-060-920+
2026-05-31,C-22,109.1,Chanhu-daro,SEAL:S,unframed_390,032,false,false,368,440,+440-390-032/368-390-790+
2026-05-31,C-22,109.1,Chanhu-daro,SEAL:S,unframed_390,790,false,true,<END>,368,+440-390-032/368-390-790+
2026-05-31,C-24,111.1,Chanhu-daro,SEAL:S,unframed_390,128,false,false,702,<START>,+390-128-702-032/226-032-013-480-850+
2026-05-31,C-32,114.1,Chanhu-daro,SEAL:C,unframed_390,632,false,true,<END>,400,+375-400-390-632+
2026-05-31,C-34,116.1,Chanhu-daro,TAB:B,unframed_390,844,false,false,000,031,+032-031-390-844-000-000-032-803-220+
2026-05-31,C-40,121.1,Chanhu-daro,IMPL,unframed_390,095,true,false,909,<START>,+390-095-909-005-825-776-220-016+
2026-05-31,-:136.1,136.1,Dholavira,SEAL:R,unframed_390,016,false,false,002,<START>,+390-016-002-861+
2026-05-31,-:153.1,153.1,Farmana,SEAL:S,unframed_390,371,false,true,<END>,<START>,+390-371+
2026-05-31,-:153.2,153.2,Farmana,SEAL:S,unframed_390,371,false,true,<END>,<START>,+390-371+
2026-05-31,-:154.1,154.1,Farmana,POT:T:g,unframed_390,390,false,true,<END>,<START>,]390-390[
2026-05-31,H-1355,232.1,Harappa,TAB:I,unframed_390,035,false,true,<END>,<START>,+390-035+
2026-05-31,H-1109,269.1,Harappa,TAB:B,unframed_390,590,true,true,<END>,740,+740-390-590[
2026-05-31,H-1893,374.2,Harappa,TAB:B,unframed_390,003,false,false,060,<START>,+390-003-060-550+
2026-05-31,H-1800,376.2,Harappa,TAB:B,unframed_390,000,false,true,<END>,740,+400-740-390-000[
2026-05-31,H-1776,378.1,Harappa,TAB:B,unframed_390,590,true,false,060,740,+740-390-590-060-550+
2026-05-31,H-1987,394.2,Harappa,TAB:B,unframed_390,004,false,false,455,<START>,+390-004-455-371-741-590+
2026-05-31,H-2003,401.1,Harappa,TAB:B,unframed_390,004,false,false,002,<START>,+390-004-002-817+
2026-05-31,H-585,464.1,Harappa,SEAL:S,unframed_390,003,false,true,<END>,<START>,+390-003+
2026-05-31,H-2210,489.1,Harappa,TAB:I,unframed_390,003,false,true,<END>,<START>,+390-003+
2026-05-31,H-2186,519.2,Harappa,TAB:I,unframed_390,004,false,false,155,<START>,+390-004-155-390+
2026-05-31,H-1692,537.1,Harappa,SEAL:S,unframed_390,590,true,false,002,740,+740-390-590-002-861+
2026-05-31,H-2197,578.2,Harappa,TAB:I,unframed_390,231,false,true,<END>,100,+400-090-740-100-390-231+
2026-05-31,H-2265,605.1,Harappa,POT:T:g,unframed_390,033,false,false,000,999,]300-490-999-390-033-000[
2026-05-31,-:611.1,611.1,Harappa,POT:T:g,unframed_390,000,false,true,<END>,<START>,+390-000[
2026-05-31,H-1801,629.1,Harappa,TAB:B,unframed_390,590,true,false,741,740,+740-390-590-741[
2026-05-31,H-1680,634.1,Harappa,SEAL:S,unframed_390,003,false,false,002,<START>,+390-003-002-820+
2026-05-31,H-1982,690.2,Harappa,TAB:B,unframed_390,000,false,false,742,<START>,+390-000-742-000+
2026-05-31,H-1993,744.2,Harappa,TAB:B,002_framed_390,095,true,true,<END>,002,+740-000-220-004-002-390-095+
2026-05-31,-:767.1,767.1,Harappa,POT:T:g,unframed_390,000,false,true,<END>,<START>,+390-000+
2026-05-31,H-1802,868.1,Harappa,TAB:B,unframed_390,590,true,true,<END>,740,+740-390-590[
2026-05-31,H-2083,906.2,Harappa,TAB:I,unframed_390,000,false,true,<END>,740,+740-390-000+
2026-05-31,-:951.1,951.1,Dholavira,SEAL:S,unframed_390,004,false,false,002,<START>,+390-004-002-817+
2026-05-31,H-733,1057.1,Harappa,TAB:B,unframed_390,590,true,false,240,740,+740-390-590-240+
2026-05-31,H-19,1079.1,Harappa,SEAL:S,unframed_390,000,false,false,003,000,]000-390-000-003/000-530-820+
2026-05-31,H-39,1098.1,Harappa,SEAL:S,unframed_390,590,true,false,231,740,+740-390-590-231-240-235-745-060-920+
2026-05-31,H-52,1111.1,Harappa,SEAL:S,unframed_390,590,true,false,125,740,+740-390-590-125-741-000-000+
2026-05-31,H-54,1113.1,Harappa,SEAL:S,unframed_390,003,false,false,368,<START>,+390-003-368-817+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,unframed_390,004,false,false,002,<START>,+390-004-002-861-125+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,002_framed_390,072,false,true,<END>,002,+090-740-220-003-002-390-072+
2026-05-31,H-70,1129.1,Harappa,SEAL:S,unframed_390,003,false,false,491,<START>,+390-003-491+
2026-05-31,H-71,1130.1,Harappa,SEAL:S,unframed_390,016,false,true,<END>,<START>,+390-016+
2026-05-31,H-75,1133.1,Harappa,SEAL:S,unframed_390,590,true,true,<END>,740,+400-740-390-590+
2026-05-31,H-82,1139.1,Harappa,SEAL:S,unframed_390,017,false,false,002,<START>,+390-017-002-220-455-741+
2026-05-31,H-180,1214.1,Harappa,TAB:B,unframed_390,590,true,false,741,151,+151-390-590-741-330-368+
2026-05-31,H-180,1214.2,Harappa,TAB:B,unframed_390,590,true,false,741,151,+151-390-590-741-330-368+
2026-05-31,H-194,1226.1,Harappa,TAB:B,unframed_390,590,true,false,240,740,+740-390-590-240+
2026-05-31,H-239,1264.1,Harappa,TAB:B,unframed_390,060,false,false,740,<START>,+390-060/740-500-091+
2026-05-31,H-335,1356.1,Harappa,TAB:I,unframed_390,034,false,true,<END>,<START>,+390-034+
2026-05-31,H-337,1358.1,Harappa,TAB:I,unframed_390,000,false,true,<END>,<START>,+390-000+
2026-05-31,H-338,1359.1,Harappa,TAB:I,unframed_390,000,false,true,<END>,<START>,+390-000+
2026-05-31,H-369,1388.1,Harappa,SEAL:CY,unframed_390,741,false,true,<END>,741,+368-033-705-031-741-390-741+
2026-05-31,H-407,1412.1,Harappa,SEAL:S,unframed_390,003,false,false,002,<START>,+390-003-002-817+
2026-05-31,H-449,1439.1,Harappa,SEAL:S,unframed_390,590,true,false,240,740,+740-390-590-240-741-390-728+
2026-05-31,H-449,1439.1,Harappa,SEAL:S,unframed_390,728,false,true,<END>,741,+740-390-590-240-741-390-728+
2026-05-31,H-454,1444.1,Harappa,SEAL:S,unframed_390,590,true,false,742,740,+740-390-590-742-700+
2026-05-31,H-466,1454.1,Harappa,SEAL:S,unframed_390,590,true,false,233,740,+740-390-590-233-231-741-000+
2026-05-31,H-467,1455.1,Harappa,SEAL:S,unframed_390,125,true,true,<END>,741,]741-390-125+
2026-05-31,H-510,1487.1,Harappa,SEAL:S,unframed_390,590,true,false,060,740,+740-390-590-060-795+
2026-05-31,H-511,1488.1,Harappa,SEAL:S,unframed_390,871,false,true,<END>,<START>,+390-871+
