checked_date,object,id,site,type,shape,material,symbol,cult,prev_before_h,h,x,pair,gated_by_002,x_continuing,x_terminal,tail_after_x,scope_cell,text
2026-05-31,Ad-2,7.1,Allahdino,SEAL:S,square,Steatite,Bull1:J,SAN,368,390,125,390-125,False,True,False,033,Allahdino|SEAL:S|square|Steatite,+368-390-125-033+
2026-05-31,Ad-7,12.1,Allahdino,SEAL:S,square,Steatite,None,None,142,000,000,000-000,False,True,False,388 000,Allahdino|SEAL:S|square|Steatite,+740-142-000/000-388-000+
2026-05-31,Ad-8,13.1,Allahdino,MISC,square,Clay,Elep,SAN,002,861,000,861-000,True,False,True,<END>,Allahdino|MISC|square|Clay,+740-440-503-002-861-000+
2026-05-31,Blk-3,21.1,Bala-kot,SEAL:S,square,-,Bull1:II,SAN,233,000,000,000-000,False,False,True,<END>,Bala-kot|SEAL:S|square|-,+000-388-233-000-000+
2026-05-31,B-25,43.1,Banawali,MISC,-,-,None,None,,000,000,000-000,False,True,False,000 031 700,Banawali|MISC|-|-,+000-000/000-031-700+
2026-05-31,B-25,43.1,Banawali,MISC,-,-,None,None,000,000,000,000-000,False,True,False,031 700,Banawali|MISC|-|-,+000-000/000-031-700+
2026-05-31,-,49.1,Bhirrana,MISC,-,Clay,-,None,,000,000,000-000,False,True,False,000,Bhirrana|MISC|-|Clay,+000-000-000+
2026-05-31,-,49.1,Bhirrana,MISC,-,Clay,-,None,000,000,000,000-000,False,False,True,<END>,Bhirrana|MISC|-|Clay,+000-000-000+
2026-05-31,Ch-4,55.1,Chandigarh,POT:T:g,-,Clay,None,None,,000,000,000-000,False,True,False,492,Chandigarh|POT:T:g|-|Clay,+000-000-492[
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,square,Steatite,Bull1,-,,000,000,000-000,False,True,False,000 000 861 002 906 003,Chanhu-daro|SEAL:S|square|Steatite,+000-000-000/000-861-002-906-003+
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,square,Steatite,Bull1,-,000,000,000,000-000,False,True,False,000 861 002 906 003,Chanhu-daro|SEAL:S|square|Steatite,+000-000-000/000-861-002-906-003+
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,square,Steatite,Bull1,-,000,000,000,000-000,False,True,False,861 002 906 003,Chanhu-daro|SEAL:S|square|Steatite,+000-000-000/000-861-002-906-003+
2026-05-31,C-85,84.1,Chanhu-daro,SEAL:R,rectangular,Steatite,-,-,,000,000,000-000,False,True,False,002 820,Chanhu-daro|SEAL:R|rectangular|Steatite,+000-000-002-820+
2026-05-31,C-29,112.1,Chanhu-daro,SEAL:S,square,Steatite,None,None,032,000,000,000-000,False,True,False,840 634 032,Chanhu-daro|SEAL:S|square|Steatite,+032-031-740-384-032/000-000-840-634-032+
2026-05-31,C-34,116.1,Chanhu-daro,TAB:B,rectangular,Clay,Gavi,None,844,000,000,000-000,False,True,False,032 803 220,Chanhu-daro|TAB:B|rectangular|Clay,+032-031-390-844-000-000-032-803-220+
2026-05-31,-,147.1,Failaka,SEAL:C,circular,-,Gaur,-,317,817,000,817-000,False,True,False,090,Failaka|SEAL:C|circular|-,+317-817-000-090+
2026-05-31,-,147.1,Failaka,SEAL:C,circular,-,Gaur,-,817,000,090,000-090,False,False,True,<END>,Failaka|SEAL:C|circular|-,+317-817-000-090+
2026-05-31,H-1189,162.1,Harappa,TAB:I,rectangular,Steatite,None,None,033,000,000,000-000,False,False,True,<END>,Harappa|TAB:I|rectangular|Steatite,]033-000-000+
2026-05-31,-,178.1,Harappa,TAB:B,rectangular-rounded,Faience,None,None,,000,000,000-000,False,True,False,033,Harappa|TAB:B|rectangular-rounded|Faience,+000-000-033+
2026-05-31,M-584,180.1,Mohenjo-daro,TAB:C,rectangular,Copper,Anth,-,407,000,000,000-000,False,True,False,000,Mohenjo-daro|TAB:C|rectangular|Copper,+740-900-000-407-000-000-000+
2026-05-31,M-584,180.1,Mohenjo-daro,TAB:C,rectangular,Copper,Anth,-,000,000,000,000-000,False,False,True,<END>,Mohenjo-daro|TAB:C|rectangular|Copper,+740-900-000-407-000-000-000+
2026-05-31,H-1403,186.1,Harappa,POT:T:g,-,Clay,None,None,,000,000,000-000,False,True,False,220,Harappa|POT:T:g|-|Clay,]000-000-220+
2026-05-31,H-1401,192.1,Harappa,POT:T:g,-,Clay,None,None,,000,000,000-000,False,True,False,000 000 405,Harappa|POT:T:g|-|Clay,+000-000-000-000-405[
2026-05-31,H-1401,192.1,Harappa,POT:T:g,-,Clay,None,None,000,000,000,000-000,False,True,False,000 405,Harappa|POT:T:g|-|Clay,+000-000-000-000-405[
2026-05-31,H-1401,192.1,Harappa,POT:T:g,-,Clay,None,None,000,000,000,000-000,False,True,False,405,Harappa|POT:T:g|-|Clay,+000-000-000-000-405[
2026-05-31,H-1426,203.1,Harappa,POT:T:g,-,Clay,None,None,,000,000,000-000,False,True,False,000,Harappa|POT:T:g|-|Clay,]000-000-000[
2026-05-31,H-1426,203.1,Harappa,POT:T:g,-,Clay,None,None,000,000,000,000-000,False,False,True,<END>,Harappa|POT:T:g|-|Clay,]000-000-000[
2026-05-31,-,212.2,Harappa,TAB:B,cylindrical,Faience,None,None,,000,000,000-000,False,True,False,000 000,Harappa|TAB:B|cylindrical|Faience,+000-000-000-000+
2026-05-31,-,212.2,Harappa,TAB:B,cylindrical,Faience,None,None,000,000,000,000-000,False,True,False,000,Harappa|TAB:B|cylindrical|Faience,+000-000-000-000+
2026-05-31,-,212.2,Harappa,TAB:B,cylindrical,Faience,None,None,000,000,000,000-000,False,False,True,<END>,Harappa|TAB:B|cylindrical|Faience,+000-000-000-000+
2026-05-31,-,216.1,Baror,SEAL:S,square,Steatite,Bull1:I,SAF,,000,000,000-000,False,True,False,002 257 550,Baror|SEAL:S|square|Steatite,+000-000-002-257-550+
2026-05-31,H-1177,218.1,Harappa,TAB:I,-,Steatite,None,None,,000,000,000-000,False,True,False,740 519,Harappa|TAB:I|-|Steatite,+000-000-740-519+
2026-05-31,H-1119,226.1,Harappa,TAB:B,cylindrical,Faience,None,None,,000,000,000-000,False,True,False,000,Harappa|TAB:B|cylindrical|Faience,+000-000-000+
2026-05-31,H-1119,226.1,Harappa,TAB:B,cylindrical,Faience,None,None,000,000,000,000-000,False,False,True,<END>,Harappa|TAB:B|cylindrical|Faience,+000-000-000+
2026-05-31,-,228.2,Harappa,TAB:I,oval,Steatite,None,None,700,031,000,031-000,False,True,False,032,Harappa|TAB:I|oval|Steatite,+700-031-000-032+
