checked_date,pair,total_rows,gated_rows,gated_open_rate,ungated_rows,ungated_open_rate,open_rate_delta,gated_objects,ungated_objects_sample,gated_scopes,ungated_scopes,shift_class
2026-05-31,031-000,11,2,0/2,9,8/9,-0.888889,M-141;-,-;H-100;L-147;M-422;M-474;M-1380;M-1581;M-1878;-,Dholavira|TAG|-|Clay:1;Mohenjo-daro|SEAL:S|square|Steatite:1,Mohenjo-daro|POT:T:s|-|Clay:2;Dholavira|TAB:I|rectangular|-:1;Harappa|SEAL:S|square|Clay:1;Harappa|TAB:I|oval|Steatite:1;Lothal|TAG|-|Clay:1;Mohenjo-daro|POT:T:g|-|Clay:1;Mohenjo-daro|SEAL:S|square|-:1;Mohenjo-daro|TAB:B|rectangular|-:1,002_terminalizes_pair
2026-05-31,000-000,375,3,0/3,372,224/372,-0.602151,K-44;M-1995;Ns-67,Ad-7;Blk-3;B-25;B-25;-;-;Ch-4;C-71;C-71;C-71;C-85;C-29,Kalibangan|SEAL:S|square|Steatite:1;Mohenjo-daro|SEAL|-|metal:1;Nausharo|POT:T:g|-|Clay:1,Mohenjo-daro|SEAL:S|square|Steatite:37;Harappa|POT:T:g|-|Clay:19;Lothal|TAG|-|Clay:18;Harappa|TAB:B|cylindrical|Faience:12;Harappa|TAB:B|rectangular|Faience:12;Kalibangan|TAG:L|-|-:12;Harappa|TAB:I|prism|Steatite:10;Chanhu-daro|SEAL:S|square|Steatite:9;Dholavira|TAG|-|Clay:9;Harappa|SEAL:S|square|-:9;Harappa|SEAL:S|square|Steatite:8;Harappa|TAB:I|-|Steatite:8;Harappa|TAB:I|rectangular|Steatite:8;Mohenjo-daro|TAB:C|rectangular|Copper:7;Dholavira|SEAL:S|square|-:6;Dholavira|SEAL:S|square|Steatite:6;Harappa|TAB:B|cylindrical|-:6;Mohenjo-daro|SEAL:S|square|-:6;Harappa|TAB:B|rectangular|-:5;Mohenjo-daro|TAB:B|rectangular|-:5;Dholavira|SEAL|-|-:4;Kalibangan|POT:T:g|-|Clay:4;Lothal|SEAL:S|square|Steatite:4;Mohenjo-daro|TAB:B|prism|Clay:4;Mohenjo-daro|TAG:C|cuboid|Faience:4;Harappa|SEAL:R|cuboid-convex|Steatite:3;Harappa|TAB:B|circular|Faience:3;Harappa|TAB:B|prism|Ceramic:3;Harappa|TAB:B|rectangular-rounded|-:3;Harappa|TAB:I|-|-:3;Harappa|TAB:I|prism|-:3;Harappa|TAB:I|rectangular|-:3;Harappa|TAG|-|Ceramic:3;Lothal|SEAL:S|square|Clay:3;Mohenjo-daro|ROD|-|Ivory:3;Mohenjo-daro|SEAL:S|-|-:3;Banawali|MISC|-|-:2;Bhirrana|MISC|-|Clay:2;Dholavira|SEAL:S|-|-:2;Dholavira|TAB:I|rectangular|-:2;Dholavira|TAG|-|-:2;Gola Dhoro (Bagasra)|SEAL:S|-|-:2;Harappa|MISC|-|Steatite:2;Harappa|ROD|rectangular|Ivory:2;Harappa|TAB:B|-|Steatite:2;Harappa|TAB:B|circular|-:2;Harappa|TAB:B|conical|Faience:2;Harappa|TAB:B|twisted rectangular|Clay:2;Harappa|TAB:I|circular|Steatite:2;Harappa|TAB:I|rectangular|Faience:2;Lothal|POT:T:g|-|-:2;Lothal|SEAL:R|cuboid|Clay:2;Lothal|SEAL:R|cuboid|Steatite:2;Lothal|SEAL:S|-|-:2;Lothal|SEAL:S|square|Ivory:2;Lothal|TAG|-|-:2;Lothal|TAG|square|Clay:2;Mohenjo-daro|MISC|-|Copper:2;Mohenjo-daro|POT:T:s|-|Clay:2;Mohenjo-daro|SEAL:C|circular|Steatite:2;Mohenjo-daro|SEAL:L|rectangular-rounded|Steatite:2;Mohenjo-daro|SEAL:S|-|Steatite:2;Mohenjo-daro|SEAL|-|Steatite:2;Mohenjo-daro|TAB:B|-|Clay:2;Mohenjo-daro|TAB:B|rectangular|Clay:2;Mohenjo-daro|TAB:C|square|Copper:2;Mohenjo-daro|TAG:O|square|Clay:2;Allahdino|SEAL:S|square|Steatite:1;Amri|POT:T:g|-|Clay:1;Bala-kot|SEAL:S|square|-:1;Baror|SEAL:S|square|Steatite:1;Chandigarh|POT:T:g|-|Clay:1;Chanhu-daro|SEAL:R|rectangular|Steatite:1;Chanhu-daro|TAB:B|rectangular|Clay:1;Daimabad|POT:T:g|-|-:1;Dholavira|SEAL:R|rectangular|-:1;Dholavira|TAG|-|Terracotta:1;Harappa|IMPL|axe|Copper:1;Harappa|SEAL:R|cuboid-convex|-:1;Harappa|SEAL:S|-|-:1;Harappa|SEAL|-|-:1;Harappa|TAB:B|-|-:1;Harappa|TAB:B|-|Copper:1;Harappa|TAB:B|crescent|Faience:1;Harappa|TAB:B|elliptical|-:1;Harappa|TAB:B|fish|-:1;Harappa|TAB:B|prism|Faience:1;Harappa|TAB:B|prism|Steatite:1;Harappa|TAB:B|rectangular-rounded|Faience:1;Harappa|TAB:I|crescent|-:1;Kalibangan|SEAL:S|square|Steatite:1;Kalibangan|TAB:B|rectangular-round|Terracotta:1;Lakhanjo-daro|SEAL:R|-|Steatite:1;Lakhanjo-daro|TAG|rectangular-round|Terracotta:1;Lothal|TAG|square|-:1;Mohenjo-daro|MDLN|circular|-:1;Mohenjo-daro|POT:T:g|-|Clay:1;Mohenjo-daro|POT:T:s|oval|Clay:1;Mohenjo-daro|SEAL:R|rectangular|Steatite:1;Mohenjo-daro|SEAL:S|square|Faience:1;Mohenjo-daro|TAB:B|circular|Clay:1;Mohenjo-daro|TAB:B|cuboid|Clay:1;Mohenjo-daro|TAB:B|rectangular-rounded|Faience:1;Mohenjo-daro|TAB:B|twisted rectangular|Clay:1;Mohenjo-daro|TAB:C|square|-:1;Mohenjo-daro|TAG:L|circular|Clay:1;Mohenjo-daro|TAG:P|circular|Clay:1;Mohenjo-daro|TAG:W|-|Clay:1;Rakhigarhi|SEAL:R|rectangular|-:1;Tigrana|TAG|square|Clay:1;Unknown|SEAL:CY|cylindrical|Stone:1;Ur|SEAL:C|circular|-:1,002_terminalizes_pair
2026-05-31,390-125,9,4,4/4,5,2/5,0.600000,M-38;M-119;M-735;Sktd-1,Ad-2;H-467;M-314;M-320;M-878,Mohenjo-daro|SEAL:S|square|Steatite:3;Surkotada|SEAL:S|square|-:1,Mohenjo-daro|SEAL:S|square|Steatite:3;Allahdino|SEAL:S|square|Steatite:1;Harappa|SEAL:S|square|Steatite:1,002_opens_pair
2026-05-31,820-000,7,2,0/2,5,3/5,-0.600000,H-909;M-1045,M-1126;M-2087;-;-;-,Harappa|TAB:I|rectangular|-:1;Mohenjo-daro|SEAL:S|square|Steatite:1,Dholavira|SEAL:R|rectangular|-:1;Dholavira|SEAL:S|square|-:1;Dholavira|TAB:I|rectangular|-:1;Mohenjo-daro|ROD|-|Ivory:1;Mohenjo-daro|SEAL:S|square|Steatite:1,002_terminalizes_pair
2026-05-31,817-000,7,3,0/3,4,2/4,-0.500000,H-609;M-692;K-155,-;H-1121;H-1167;M-1713,Harappa|SEAL:S|square|Steatite:1;Kalibangan|TAG|-|Terracotta:1;Mohenjo-daro|SEAL:S|square|Steatite:1,Failaka|SEAL:C|circular|-:1;Harappa|TAB:B|rectangular|Faience:1;Harappa|TAB:I|-|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,002_terminalizes_pair
2026-05-31,031-480,5,2,1/2,3,3/3,-0.500000,H-389;M-1386,H-2133;H-718;M-1765,Harappa|SEAL:S|square|-:1;Mohenjo-daro|TAB:B|-|Clay:1,Harappa|TAB:B|cylindrical|Clay:1;Harappa|TAB:I|rectangular|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1,002_terminalizes_pair
2026-05-31,130-035,5,3,2/3,2,2/2,-0.333333,L-12;M-699;M-1112,M-16;-,Mohenjo-daro|SEAL:S|square|Steatite:2;Lothal|SEAL:S|square|Steatite:1,Mohenjo-daro|SEAL:S|square|Steatite:1;Unknown|SEAL:R|-|-:1,weak_or_no_shift
2026-05-31,861-000,6,2,0/2,4,1/4,-0.250000,Ad-8;-,H-2116;H-234;H-820;-,Allahdino|MISC|square|Clay:1;Shikarpur|POT:T:p|-|Clay:1,Harappa|TAB:B|crescent|Faience:2;Dholavira|SEAL:S|square|Steatite:1;Harappa|TAB:I|rectangular|Steatite:1,weak_or_no_shift
2026-05-31,900-003,15,2,2/2,13,11/13,0.153846,M-958;M-979,H-1657;H-25;H-60;H-141;H-450;H-468;H-667;M-374;M-384;M-1003;M-1287;M-1597,Mohenjo-daro|SEAL:S|square|Faience:1;Mohenjo-daro|SEAL:S|square|Steatite:1,Harappa|SEAL:S|square|Steatite:4;Mohenjo-daro|SEAL:R|cuboid-convex|Steatite:3;Harappa|SEAL:R|cuboid-convex|Steatite:2;Dholavira|SEAL:S|square|Steatite:1;Harappa|SEAL:S|square|-:1;Mohenjo-daro|POT:T:g|-|Clay:1;Mohenjo-daro|SEAL:S|square|Steatite:1,weak_or_no_shift
2026-05-31,000-090,10,2,1/2,8,5/8,-0.125000,M-902;-,-;H-1918;H-2341;H-2047;M-737;H-1031;-;-,Mohenjo-daro|SEAL:S|square|-:1;Unknown|SEAL:C|circular|-:1,Failaka|SEAL:C|circular|-:1;Harappa|POT:T:g|-|Clay:1;Harappa|SEAL:S|-|-:1;Harappa|TAB:B|-|Faience:1;Harappa|TAB:I|-|Steatite:1;Mohenjo-daro|SEAL:S|square|Steatite:1;Unknown|SEAL:C|circular|-:1;Ur|SEAL:C|circular|-:1,weak_or_no_shift
