checked_date,head_after_002,rows,terminal_rows,terminal_share,next_entropy_bits,top_next_after_head,prev_before_032,sites,types,examples
2026-05-31,820,10,8,0.800000,0.921928,<END>:8;000:1;001:1,220:6;000:1;070:1;382:1;921:1,Mohenjo-daro:7;Harappa:2;Kalibangan:1,SEAL:S:9;SEAL:R:1,H-507:]000-032-002-820+ | H-18:]000-220-032-002-820+ | M-1737:+740-760-072-921-032-002-820+ | M-1677:+520-382-032-002-820-001-440-012+ | M-1728:+161-055-240-220-032-002-820+ | M-174:+740-923-220-032-002-820+ | M-221:+740-760-335-220-032-002-820+ | M-375:+740-100-233-220-032-002-820+ | M-1045:+740-100-415-070-032-002-820-000+ | K-145:+740-585-231-220-032-002-820+
2026-05-31,861,10,8,0.800000,0.921928,<END>:8;255:1;603:1,220:7;070:1;176:1;692:1,Mohenjo-daro:6;Chanhu-daro:2;Harappa:2,SEAL:S:10,C-65:+000-100-240-220-032-002-861+ | C-60:+740-176-032-002-861+ | H-444:+241-220-032-002-861+ | H-597:+740-390-590-070-032-002-861+ | M-1763:+416-001-565-740-220-032-002-861+ | M-21:+350-001-740-362-692-032-002-861+ | M-91:+740-100-798-220-032-002-861-255-416+ | M-240:+520-240-220-032-002-861-603+ | M-723:+740-460-510-235-220-032-002-861+ | M-1044:+520-220-032-002-861+
2026-05-31,817,7,7,1.000000,0.000000,<END>:7,220:5;384:1;760:1,Mohenjo-daro:4;Harappa:2;Chanhu-daro:1,SEAL:S:4;SEAL:R:2;TAG:P:1,C-10:+740-231-220-032-002-817+ | H-140:+740-384-032-002-817+ | H-640:]220-032-002-817+ | M-720:+000-740-923-220-032-002-817+ | M-722:+740-585-240-220-032-002-817+ | M-1385:+740-760-032-002-817+ | M-1788:+000-220-032-002-817+
2026-05-31,000,4,3,0.750000,0.811278,<END>:3;216:1,590:2;220:1;904:1,Lothal:2;Harappa:1;Mohenjo-daro:1,SEAL:S:2;TAG:2,L-196:]390-590-032-002-000[ | L-198:+740-390-590-032-002-000[ | M-636:+527-555-235-220-032-002-000-216+ | H-1037:+740-904-032-002-000+
2026-05-31,390,2,0,0.000000,1.000000,590:1;692:1,205:1;226:1,Mohenjo-daro:1;Unknown:1,SEAL:S:2,M-70:+226-032-002-390-692+ | -:3335.1:+740-205-032-002-390-590-032+
2026-05-31,<END>,1,1,1.000000,0.000000,<END>:1,220:1,Mohenjo-daro:1,SEAL:1,M-1872:]904-220-032-002[
2026-05-31,142,1,1,1.000000,0.000000,<END>:1,220:1,Mohenjo-daro:1,SEAL:S:1,M-1686:+740-904-220-032-002-142+
2026-05-31,144,1,1,1.000000,0.000000,<END>:1,220:1,Mohenjo-daro:1,SEAL:S:1,M-130:+740-094-220-032-002-144+
2026-05-31,168,1,0,0.000000,0.000000,032:1,220:1,Mohenjo-daro:1,SEAL:S:1,M-1159:+232-220-032-002-168-032+
2026-05-31,252,1,0,0.000000,0.000000,840:1,205:1,Mohenjo-daro:1,SEAL:S:1,M-143:+740-205-032-002-252-840+
2026-05-31,300,1,0,0.000000,0.000000,350:1,220:1,Mohenjo-daro:1,SEAL:S:1,M-49:+527-550-240-220-032-002-300-350-032-190+
2026-05-31,368,1,0,0.000000,0.000000,906:1,220:1,Mohenjo-daro:1,SEAL:S:1,M-36:+740-794-630-220-032-002-368-906-329+
2026-05-31,415,1,1,1.000000,0.000000,<END>:1,832:1,Lothal:1,SEAL:S:1,L-15:+000-000-000-000/032-832-032-002-415+
2026-05-31,454,1,1,1.000000,0.000000,<END>:1,226:1,Mohenjo-daro:1,SEAL:R:1,M-367:+001-226-032-002-454+
2026-05-31,690,1,0,0.000000,0.000000,921:1,220:1,Harappa:1,SEAL:S:1,H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,717,1,0,0.000000,0.000000,820:1,220:1,Mohenjo-daro:1,SEAL:S:1,M-1667:+740-690-435-255-220-032-002-717-820+
2026-05-31,880,1,1,1.000000,0.000000,<END>:1,590:1,Lothal:1,TAG:1,L-139:]390-590-032-002-880[
2026-05-31,892,1,0,0.000000,0.000000,740:1,394:1,Desalpur:1,TAG:1,Dlp-3:+394-032-002-892-740+
2026-05-31,900,1,0,0.000000,0.000000,285:1,<START>:1,Mohenjo-daro:1,SEAL:R:1,M-1358:+032-002-900-285+
