checked_date,prev_before_032,rows,terminal_rows,terminal_share,closed_frequent_head_rows,closed_frequent_head_share,open_390_rows,head_after_002,head_class,sites,examples
2026-05-31,220,27,19,0.703704,18,0.666667,0,861:7;820:6;817:5;<END>:1;000:1;142:1;144:1;168:1;300:1;368:1;690:1;717:1,closed_frequent_head:18;open_or_mixed_sparse:5;closed_singleton_or_sparse:3;peripheral_closed_dirty_head:1,Mohenjo-daro:20;Harappa:4;Chanhu-daro:2;Kalibangan:1,C-65:+000-100-240-220-032-002-861+ | C-10:+740-231-220-032-002-817+ | H-1657:+740-405-590-032-900-003-806-235-220-032-002-690-921+ | H-18:]000-220-032-002-820+ | H-444:+241-220-032-002-861+ | H-640:]220-032-002-817+ | M-1763:+416-001-565-740-220-032-002-861+ | M-1686:+740-904-220-032-002-142+ | M-1728:+161-055-240-220-032-002-820+ | M-1872:]904-220-032-002[
2026-05-31,590,3,3,1.000000,0,0.000000,0,000:2;880:1,peripheral_closed_dirty_head:2;closed_singleton_or_sparse:1,Lothal:3,L-139:]390-590-032-002-880[ | L-196:]390-590-032-002-000[ | L-198:+740-390-590-032-002-000[
2026-05-31,070,2,1,0.500000,2,1.000000,0,820:1;861:1,closed_frequent_head:2,Harappa:1;Mohenjo-daro:1,H-597:+740-390-590-070-032-002-861+ | M-1045:+740-100-415-070-032-002-820-000+
2026-05-31,205,2,0,0.000000,0,0.000000,1,252:1;390:1,open_or_mixed_sparse:1;open_target_head:1,Mohenjo-daro:1;Unknown:1,M-143:+740-205-032-002-252-840+ | -:3335.1:+740-205-032-002-390-590-032+
2026-05-31,226,2,1,0.500000,0,0.000000,1,390:1;454:1,closed_singleton_or_sparse:1;open_target_head:1,Mohenjo-daro:2,M-70:+226-032-002-390-692+ | M-367:+001-226-032-002-454+
2026-05-31,<START>,1,0,0.000000,0,0.000000,0,900:1,open_or_mixed_sparse:1,Mohenjo-daro:1,M-1358:+032-002-900-285+
2026-05-31,000,1,1,1.000000,1,1.000000,0,820:1,closed_frequent_head:1,Harappa:1,H-507:]000-032-002-820+
2026-05-31,176,1,1,1.000000,1,1.000000,0,861:1,closed_frequent_head:1,Chanhu-daro:1,C-60:+740-176-032-002-861+
2026-05-31,382,1,0,0.000000,1,1.000000,0,820:1,closed_frequent_head:1,Mohenjo-daro:1,M-1677:+520-382-032-002-820-001-440-012+
2026-05-31,384,1,1,1.000000,1,1.000000,0,817:1,closed_frequent_head:1,Harappa:1,H-140:+740-384-032-002-817+
2026-05-31,394,1,0,0.000000,0,0.000000,0,892:1,open_or_mixed_sparse:1,Desalpur:1,Dlp-3:+394-032-002-892-740+
2026-05-31,692,1,1,1.000000,1,1.000000,0,861:1,closed_frequent_head:1,Mohenjo-daro:1,M-21:+350-001-740-362-692-032-002-861+
2026-05-31,760,1,1,1.000000,1,1.000000,0,817:1,closed_frequent_head:1,Mohenjo-daro:1,M-1385:+740-760-032-002-817+
2026-05-31,832,1,1,1.000000,0,0.000000,0,415:1,closed_singleton_or_sparse:1,Lothal:1,L-15:+000-000-000-000/032-832-032-002-415+
2026-05-31,904,1,1,1.000000,0,0.000000,0,000:1,peripheral_closed_dirty_head:1,Harappa:1,H-1037:+740-904-032-002-000+
2026-05-31,921,1,1,1.000000,1,1.000000,0,820:1,closed_frequent_head:1,Mohenjo-daro:1,M-1737:+740-760-072-921-032-002-820+
