checked_date,object,row_id,site,type,symbol,cult,head_after_002,left_penultimate,left_final,left_bigram,left_contains_235,left_contains_032,tail_after_125,tail_mode,terminal_after_125,text
2026-05-31,H-55,1114.1,Harappa,SEAL:S,Bull1:X,SAF,861,390,004,390-004,false,false,<END>,terminal_125,true,+390-004-002-861-125+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,Bull1:J,RAN,610,<START>,<START>,<START>-<START>,false,false,032,other_tail,false,+002-610-125-032+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,190,600,617,600-617,false,false,632 032,632_032_title_tail,false,+390-600-617-002-190-125-632-032+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,610,233,240,233-240,false,false,032,other_tail,false,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,390,240,235,240-235,true,true,632 032,632_032_title_tail,false,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,405,233,235,233-235,true,false,820,820_title_tail,false,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,390,337,484,337-484,false,false,632 032 900 563,632_032_title_tail,false,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,None,None,906,845,236,845-236,false,false,<END>,terminal_125,true,+740-729-407-845-236-002-906-125+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,390,760,235,760-235,true,false,195,195_terminal_cap,false,+740-760-235-002-390-125-195+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,390,390,004,390-004,false,false,820,820_title_tail,false,+390-004-002-390-125-820+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,None,None,407,<START>,<START>,<START>-<START>,false,false,590 831,other_tail,false,+002-407-125-590-831+
