checked_date,x,rows_002390,terminal_002390,all_x_slot_rows,terminal_all_x_slots,global_occurrences,terminal_global,delta_390_vs_all_x_slots,delta_all_x_slots_vs_global,residual_class,heads_all_x_slots,tails_002390,objects_002390
2026-05-31,072,1,1/1,2,2/2,15,5/15,0.000000,0.666667,x_slot_residual,308:1;390:1,<END>:1,H-68
2026-05-31,095,2,2/2,3,3/3,30,8/30,0.000000,0.733333,x_slot_residual,390:2;812:1,<END>:2,H-1993;M-71
2026-05-31,125,4,0/4,11,2/11,59,17/59,-0.181818,-0.106317,insufficient_or_aligns_with_prior,390:4;610:2;190:1;405:1;407:1;861:1;906:1,195:1;632 032:1;632 032 900 563:1;820:1,M-38;M-119;M-735;Sktd-1
2026-05-31,140,1,1/1,3,3/3,110,46/110,0.000000,0.581818,x_slot_residual,287:1;390:1;906:1,<END>:1,M-708
2026-05-31,346,1,1/1,2,2/2,6,4/6,0.000000,0.333333,insufficient_or_aligns_with_prior,390:1;904:1,<END>:1,M-213
2026-05-31,530,1,0/1,4,0/4,19,6/19,0.000000,-0.315789,insufficient_or_aligns_with_prior,296:1;299:1;390:1;705:1,741:1,H-773
2026-05-31,590,1,0/1,7,3/7,228,59/228,-0.428571,0.169799,390_specific_residual,125:1;368:1;390:1;392:1;540:1;705:1;798:1,032:1,-
2026-05-31,692,1,1/1,3,2/3,77,59/77,0.333333,-0.099567,insufficient_or_aligns_with_prior,252:1;390:1;455:1,<END>:1,M-70
2026-05-31,705,2,2/2,5,4/5,219,59/219,0.200000,0.530594,x_slot_residual,390:2;033:1;320:1;940:1,<END>:2,M-1825;-
2026-05-31,707,1,1/1,1,1/1,1,1/1,0.000000,0.000000,insufficient_or_aligns_with_prior,390:1,<END>:1,M-232
