checked_date,prev1_before_002,rows,open_rate,terminal_rate,xs,tails,objects,decision
2026-05-31,004,2,1/2,1/2,095:1;125:1,<END>:1;820:1,H-1993;Sktd-1,left_context_splits_by_x
2026-05-31,032,2,1/2,1/2,590:1;692:1,<END>:1;032:1,M-70;-,left_context_splits_by_x
2026-05-31,235,2,2/2,0/2,125:2,195:1;632 032:1,M-38;M-735,left_context_open_only
2026-05-31,003,1,0/1,1/1,072:1,<END>:1,H-68,left_context_terminal_only
2026-05-31,031,1,0/1,1/1,705:1,<END>:1,M-1825,left_context_terminal_only
2026-05-31,061,1,0/1,1/1,140:1,<END>:1,M-708,left_context_terminal_only
2026-05-31,142,1,0/1,1/1,095:1,<END>:1,M-71,left_context_terminal_only
2026-05-31,236,1,0/1,1/1,707:1,<END>:1,M-232,left_context_terminal_only
2026-05-31,384,1,0/1,1/1,346:1,<END>:1,M-213,left_context_terminal_only
2026-05-31,388,1,0/1,1/1,705:1,<END>:1,-,left_context_terminal_only
2026-05-31,484,1,1/1,0/1,125:1,632 032 900 563:1,M-119,left_context_open_only
2026-05-31,803,1,1/1,0/1,530:1,741:1,H-773,left_context_open_only
