checked_date,object,id,site,type,shape,material,symbol,cult,prev1_before_002,prev2_before_002,x,x_continuing,x_terminal,tail_after_x,scope_cell,text
2026-05-31,H-1993,744.2,Harappa,TAB:B,rectangular,Clay,None,None,004,220,095,False,True,<END>,Harappa|TAB:B|rectangular|Clay,+740-000-220-004-002-390-095+
2026-05-31,H-68,1127.1,Harappa,SEAL:S,square,Steatite,Bull1:I,RAN,003,220,072,False,True,<END>,Harappa|SEAL:S|square|Steatite,+090-740-220-003-002-390-072+
2026-05-31,H-773,1665.1,Harappa,TAB:B,plano-convex,Faience,None,None,803,798,530,True,False,741,Harappa|TAB:B|plano-convex|Faience,+740-798-803-002-390-530-741+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:J,SAN,235,240,125,True,False,632 032,Mohenjo-daro|SEAL:S|square|Steatite,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:T,SAF,032,226,692,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:J,SAN,142,279,095,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:S,SAN,484,337,125,True,False,632 032 900 563,Mohenjo-daro|SEAL:S|square|Steatite,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:J,RAF,384,740,346,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull2,SAF,236,,707,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+236-002-390-707+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:W,S,061,740,140,False,True,<END>,Mohenjo-daro|SEAL:S|square|Steatite,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,square,Steatite,Bull1:U,HAF,235,760,125,True,False,195,Mohenjo-daro|SEAL:S|square|Steatite,+740-760-235-002-390-125-195+
2026-05-31,-,3335.1,Unknown,SEAL:S,square,-,Bull1:J,RAF,032,205,590,True,False,032,Unknown|SEAL:S|square|-,+740-205-032-002-390-590-032+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,square,-,Bull1,RAN,004,390,125,True,False,820,Surkotada|SEAL:S|square|-,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,square,-,Bull1,S,031,157,705,False,True,<END>,Mohenjo-daro|SEAL:S|square|-,+157-031-002-390-705+
2026-05-31,-,4237.1,Dholavira,SEAL:S,square,-,Bull1:I,RB,388,032,705,False,True,<END>,Dholavira|SEAL:S|square|-,+151-032-388-002-390-705+
