checked_date,head,x,polarity,occurrences,terminal,next1,sites,types,objects
2026-05-31,390,125,open_operator,4,0,632:2;195:1;820:1,Mohenjo-daro:3;Surkotada:1,SEAL:S:4,M-38;M-119;M-735;Sktd-1
2026-05-31,390,095,terminal_booster,2,2,<END>:2,Harappa:1;Mohenjo-daro:1,SEAL:S:1;TAB:B:1,H-1993;M-71
2026-05-31,390,705,terminal_booster,2,2,<END>:2,Dholavira:1;Mohenjo-daro:1,SEAL:S:2,M-1825;-:4237.1
2026-05-31,390,072,mixed_or_underpowered,1,1,<END>:1,Harappa:1,SEAL:S:1,H-68
2026-05-31,390,140,terminal_booster,1,1,<END>:1,Mohenjo-daro:1,SEAL:S:1,M-708
2026-05-31,390,346,mixed_or_underpowered,1,1,<END>:1,Mohenjo-daro:1,SEAL:S:1,M-213
2026-05-31,390,530,open_operator,1,0,741:1,Harappa:1,TAB:B:1,H-773
2026-05-31,390,590,mixed_or_underpowered,1,0,032:1,Unknown:1,SEAL:S:1,-:3335.1
2026-05-31,390,692,global_edge,1,1,<END>:1,Mohenjo-daro:1,SEAL:S:1,M-70
2026-05-31,390,707,mixed_or_underpowered,1,1,<END>:1,Mohenjo-daro:1,SEAL:S:1,M-232
