checked_date,sign,object,row_id,site,type,symbol,cult,prev,next,terminal_after_sign,text
2026-05-31,900,B-24,42.1,Banawali,TAB:B,Scene,None,158,380,false,]906-090-000-158-900-380-484-900+
2026-05-31,900,B-24,42.1,Banawali,TAB:B,Scene,None,484,<END>,true,]906-090-000-158-900-380-484-900+
2026-05-31,900,C-40,121.2,Chanhu-daro,IMPL,None,None,031,066,false,+740-000-835-240-235-031-900-066+
2026-05-31,900,-:156.1,156.1,Ganweriwala,TAB:B,Scene,None,740,<END>,true,+400-740-900[
2026-05-31,900,M-584,180.1,Mohenjo-daro,TAB:C,Anth,-,740,000,false,+740-900-000-407-000-000-000+
2026-05-31,900,H-1045,246.1,Harappa,SEAL:S,Bull1:U,RAN,740,005,false,+740-900-005-002-820+
2026-05-31,900,H-1077,319.1,Harappa,SEAL:R,None,None,165,001,false,+400-255-400-165-900-001+
2026-05-31,900,H-929,1809.2,Harappa,TAB:I,None,None,368,<END>,true,+368-900+
2026-05-31,900,H-2132,759.2,Harappa,TAB:I,None,None,000,<END>,true,]000-900+
2026-05-31,900,H-2130,823.2,Harappa,TAB:I,None,None,365,<END>,true,+365-900+
2026-05-31,900,H-2158,918.2,Harappa,TAB:I,None,None,740,000,false,+740-900-000[
2026-05-31,900,H-1544,959.1,Harappa,POT:T:g,None,None,740,<END>,true,]000-740-900+
2026-05-31,900,H-1657,1020.1,Harappa,SEAL:S,Bull1:W,SAN,032,003,false,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,900,H-25,1085.1,Harappa,SEAL:S,Bull1:W,SAN,740,003,false,+740-900-003-806-033-705-235-055+
2026-05-31,900,H-60,1119.1,Harappa,SEAL:S,Bull1:II,H,740,003,false,+621-740-900-003/002-820+
2026-05-31,900,H-141,1182.1,Harappa,SEAL:R,None,None,032,003,false,+405-032-900-003-070-002-233-235+
2026-05-31,900,H-450,1440.1,Harappa,SEAL:S,Bull1:J,SAN,702,003,false,+740-100-240-741-702-900-003+
2026-05-31,900,H-468,1456.1,Harappa,SEAL:S,Bull1:J,HAF,740,003,false,+740-900-003-002-940-705+
2026-05-31,900,H-472,1459.1,Harappa,SEAL:S,Bull1,-,585,014,false,+740-585-900-014-820+
2026-05-31,900,H-474,1461.1,Harappa,SEAL:S,Bull1:W,SAN,740,482,false,+740-900-482-484-900+
2026-05-31,900,H-474,1461.1,Harappa,SEAL:S,Bull1:W,SAN,484,<END>,true,+740-900-482-484-900+
2026-05-31,900,M-1852,3996.1,Mohenjo-daro,SEAL:S,Bull1,SAN,740,005,false,+740-900-005+
2026-05-31,900,H-589,1534.1,Harappa,SEAL:S,Buff,-,740,005,false,+740-900-005-033+
2026-05-31,900,H-658,1573.1,Harappa,SEAL:R,None,None,<START>,002,false,]900-002-817+
2026-05-31,900,H-667,1582.1,Harappa,SEAL:R,None,None,806,003,false,]000-235-806-900-003-140+
2026-05-31,900,H-718,1621.1,Harappa,TAB:B,Phyt,None,165,<END>,true,+031-480-165-900+
2026-05-31,900,H-904,1786.2,Harappa,TAB:I,None,None,033,645,false,+700-033-900-645-368-817+
2026-05-31,900,M-893,3298.1,Mohenjo-daro,SEAL:S,Bull1,-,740,004,false,+740-900-004[
2026-05-31,900,K-9,1884.1,Kalibangan,SEAL:S,Bull1:W,SAF,003,<END>,true,+515-740-220-003-900+
2026-05-31,900,K-11,1886.1,Kalibangan,SEAL:S,Bull1:S,RAF,790,<END>,true,+740-717-415-790-900+
2026-05-31,900,L-213,2131.1,Lothal,TAG,-,-,840,<END>,true,]220-002-368-840-900+
2026-05-31,900,-:2166.1,2166.1,Mohenjo-daro,POT:T:g,None,None,060,<END>,true,+000-004-067-703-060-900+
2026-05-31,900,M-2006,2203.1,Mohenjo-daro,POT:T:g,None,None,158,415,false,+158-900-415+
2026-05-31,900,M-1956,2234.1,Mohenjo-daro,SEAL:R,None,None,740,790,false,+740-900-790-220-415-798-806+
2026-05-31,900,M-2050,4029.1,Mohenjo-daro,TAB:C,Anth,None,740,850,false,+740-900-850-407-061-845-806+
2026-05-31,900,M-1821,2316.1,Mohenjo-daro,SEAL:S,Bull1:I,SAF,390,140,false,+740-838-741-390-900-140+
2026-05-31,900,M-1673,2431.1,Mohenjo-daro,SEAL:S,Bull1:W,HAF,817,241,false,+817-900-241-368-260+
2026-05-31,900,M-1964,2449.1,Mohenjo-daro,SEAL:R,None,None,<START>,004,false,+900-004+
2026-05-31,900,M-27,2555.1,Mohenjo-daro,SEAL:S,Bull1:I,SAF,702,000,false,+565-235-803-741-702-900-000+
2026-05-31,900,M-67,2595.1,Mohenjo-daro,SEAL:S,Bull1:W,RAN,165,060,false,+457/740-165-900-060-111-575+
2026-05-31,900,M-98,2625.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,017,<END>,true,+740-585-017-900+
2026-05-31,900,M-102,2629.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,003,545,false,+154-003-900-545+
2026-05-31,900,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,032,563,false,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,563,M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,900,<END>,true,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,900,M-121,2648.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,740,790,false,+740-900-790-233-798+
2026-05-31,900,M-157,2683.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,740,790,false,+740-900-790-233-798-001-820+
2026-05-31,900,M-173,2698.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,388,320,false,+740-388-900-320-806+
2026-05-31,900,M-194,2719.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,740,005,false,+090-740-900-005+
2026-05-31,900,M-195,2720.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,853,false,+298-350-590-032-900-853+
2026-05-31,900,M-374,2870.1,Mohenjo-daro,SEAL:R,None,None,740,003,false,+740-900-003-615-503+
2026-05-31,900,M-384,2880.1,Mohenjo-daro,SEAL:R,None,None,740,003,false,+740-900-003-803-002-820+
2026-05-31,900,M-500,2977.1,Mohenjo-daro,SEAL:C,Phyt,None,003,692,false,+400-592-140-003-900-692-003-700+
2026-05-31,900,M-1658,3844.1,Mohenjo-daro,MISC,None,None,165,<END>,true,+165-900+
2026-05-31,900,M-512,2988.1,Mohenjo-daro,TAB:C,None,None,165,700,false,+165-900-700-003+
2026-05-31,900,M-525,3000.1,Mohenjo-daro,TAB:C,Gaur,Trough,001,740,false,+423-003-001-900-740-690-435-255+
2026-05-31,900,M-603,3064.1,Mohenjo-daro,TAB:C,None,None,740,850,false,+740-900-850-407-845-806+
2026-05-31,900,M-789,3203.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,368,066,false,+368-900-066[
2026-05-31,900,M-834,3246.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,590,002,false,+151-390-590-900-002-861+
2026-05-31,900,M-878,3286.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,740,005,false,+740-900-005-741-390-125+
2026-05-31,900,M-937,3332.1,Mohenjo-daro,SEAL:S,Bull1:J,S,002,615,false,+740-460-503-031-002-900-615+
2026-05-31,900,M-958,3353.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,002,003,false,+740-772-240-002-900-003-590+
2026-05-31,900,M-979,3372.1,Mohenjo-daro,SEAL:S,Bull1:J,RAN,002,003,false,+740-773-240/002-900-003-590+
2026-05-31,900,M-1003,3395.1,Mohenjo-daro,SEAL:S,Bull,-,740,003,false,+740-900-003-001-000[
2026-05-31,900,M-1225,3560.1,Mohenjo-daro,SEAL:S,Gaur,Trough,740,005,false,+740-900-005-877+
2026-05-31,900,M-1287,3592.1,Mohenjo-daro,SEAL:R,None,None,000,003,false,]000-900-003-806-231-235[
2026-05-31,900,M-1288,3593.1,Mohenjo-daro,SEAL:R,None,None,740,100,false,+090-740-900-100[
2026-05-31,900,M-1358,3657.1,Mohenjo-daro,SEAL:R,None,None,002,285,false,+032-002-900-285+
2026-05-31,900,M-1461,3736.2,Mohenjo-daro,TAB:C,-,-,165,000,false,+165-900-000+
2026-05-31,900,M-1475,3741.1,Mohenjo-daro,TAB:C,Buff,Trough,001,740,false,+424-003-001-900-740-690-435-255+
2026-05-31,900,M-1480,3746.1,Mohenjo-daro,TAB:C,-,-,003,740,false,+422-003-900-740-690-435-255+
2026-05-31,900,M-1477,3743.1,Mohenjo-daro,TAB:C,Bull,Trough,000,740,false,+000-900-740-690-000+
2026-05-31,900,M-1597,3814.1,Mohenjo-daro,POT:T:g,None,None,740,003,false,+740-900-003-999-741-017-440[
2026-05-31,900,?-3,3892.1,Unknown,SEAL:S,None,None,590,<END>,true,+002-368-590-900+
2026-05-31,900,M-1835,3993.1,Mohenjo-daro,SEAL:S,Bull1:O,SAN,154,004,false,+154-900-004-001-390-032+
2026-05-31,900,M-2012,4015.1,Mohenjo-daro,TAB:B,Bull1,SAN,740,005,false,+740-900-005-002-570+
2026-05-31,900,H-1432,4118.1,Harappa,POT:T:g,-,None,700,004,false,+700-900-004[
2026-05-31,900,H-1520,4143.1,Harappa,IMPL,None,None,003,<END>,true,+000-000-368-999-645-003-900+
2026-05-31,900,-:4208.1,4208.1,Dholavira,SEAL:S,Gaur,Trough,703,003,false,+740-176-001-741-703-900-003+
2026-05-31,900,-:4219.1,4219.1,Dholavira,SEAL:S,Bull1:J,SAF,000,<END>,true,+032-820-000-900+
2026-05-31,900,-:4254.1,4254.1,Dholavira,SEAL:R,None,None,625,<END>,true,+561-092-625-900+
2026-05-31,900,-:4277.1,4277.1,Dholavira,SEAL:R,None,None,067,002,false,+740-067-900-002-003+
2026-05-31,900,-:4299.1,4299.1,Dholavira,TAG,Bull1,SAN,368,000,false,+368-900-000-741-000+
2026-05-31,900,-:4302.1,4302.1,Dholavira,TAB:B,Scene,None,002,630,false,+740-519-002-900-630+
2026-05-31,900,-:5219.1,5219.1,Gola Dhoro (Bagasra),SEAL:S,Bull1:I,SAN,741,322,false,+292-352-125-741-900-322+
2026-05-31,900,-:5252.1,5252.1,Nuhato,SEAL:R,-,-,740,803,false,+740-900-803+
2026-05-31,900,L-232,5509.1,Lothal,POT:T:g,-,-,001,839,false,]001-900-839[
