checked_date,x,focus,x_slot_occurrences,x_slot_nonterminal,x_slot_next1,x_slot_top_next_share,x_slot_tail_entropy,repeated_local_complements,global_occurrences,global_nonterminal,global_next1,global_top_next_share,heads,sites,types,objects,provisional_role
2026-05-31,125,true,11,9,632:3;032:2;820:2;195:1;590:1,0.333,2.503,032:2;632:3;820:2,59,42,632:4;032:3;000:2;001:2;002:2;176:2;413:2;575:2;590:2;700:2;741:2;812:2;820:2;031:1;033:1;070:1;195:1;204:1;220:1;308:1;350:1;381:1;435:1;717:1;740:1;745:1,0.095,390:4;610:2;190:1;405:1;407:1;861:1;906:1,Mohenjo-daro:8;Harappa:2;Surkotada:1,SEAL:S:9;SEAL:R:1;TAB:C:1,H-55;H-74;M-1692;M-1665;M-38;M-41;M-119;M-354;M-735;Sktd-1;M-2055,linker_with_repeated_complements
2026-05-31,455,false,8,6,000:1;125:1;503:1;520:1;741:1;920:1,0.167,2.585,,46,35,066:3;125:2;240:2;590:2;861:2;920:2;922:2;000:1;002:1;031:1;033:1;176:1;220:1;235:1;257:1;371:1;420:1;503:1;511:1;520:1;530:1;615:1;692:1;710:1;741:1;806:1;820:1,0.086,220:5;267:1;590:1;741:1,Mohenjo-daro:5;Harappa:3,SEAL:S:7;TAB:B:1,H-1874;H-82;H-268;M-10;M-29;M-147;M-761;M-1909,open_but_tail_residue_risk
2026-05-31,530,true,4,4,000:1;741:1;820:1;904:1,0.250,2.000,,19,13,000:4;741:2;820:2;323:1;740:1;742:1;786:1;904:1,0.308,296:1;299:1;390:1;705:1,Chanhu-daro:1;Dholavira:1;Harappa:1;Mohenjo-daro:1,SEAL:S:3;TAB:B:1,C-57;H-773;M-623;-:4182.1,open_but_tail_residue_risk
2026-05-31,003,false,3,2,590:2,1.000,0.000,590:2,259,113,002:30;000:9;001:9;060:7;900:7;741:6;031:4;003:3;806:3;070:2;491:2;590:2;742:2;803:2;861:2;013:1;064:1;140:1;233:1;240:1;263:1;368:1;388:1;408:1;421:1;435:1;480:1;494:1;545:1;615:1;617:1;645:1;700:1;790:1;853:1;877:1;904:1;999:1,0.265,900:2;906:1,Mohenjo-daro:2;Chanhu-daro:1,SEAL:S:3,C-71;M-958;M-979,underpowered_open_operator
2026-05-31,035,false,3,2,171:2,1.000,0.000,171:2,37,25,171:17;032:2;705:2;000:1;002:1;033:1;140:1,0.680,130:3,Mohenjo-daro:2;Lothal:1,SEAL:S:3,L-12;M-699;M-1112,underpowered_open_operator
2026-05-31,065,false,3,3,132:1;215:1;440:1,0.333,1.585,,15,14,123:1;132:1;215:1;244:1;374:1;393:1;405:1;440:1;599:1;615:1;798:1;826:1;834:1;864:1,0.071,220:3,Mohenjo-daro:2;Kalibangan:1,SEAL:S:3,K-25;M-46;M-140,open_but_tail_residue_risk
2026-05-31,090,false,3,2,370:1;725:1,0.500,1.000,,195,169,740:124;000:11;001:2;055:2;125:2;350:2;405:2;017:1;032:1;095:1;100:1;160:1;175:1;255:1;326:1;351:1;365:1;368:1;370:1;390:1;400:1;413:1;480:1;520:1;585:1;703:1;705:1;725:1;803:1;820:1;850:1,0.734,000:2;817:1,Mohenjo-daro:2;Unknown:1,SEAL:S:2;SEAL:C:1,M-644;M-902;-:5226.1,underpowered_open_operator
2026-05-31,460,false,3,3,495:2;032:1,0.667,0.918,495:2,39,36,503:7;510:6;350:5;495:5;000:2;353:2;002:1;015:1;031:1;032:1;491:1;511:1;513:1;632:1;741:1,0.194,365:2;298:1,Mohenjo-daro:3,TAB:C:2;SEAL:S:1,M-577;M-683;M-1532,linker_with_repeated_complements
2026-05-31,861,true,3,2,031:1;590:1,0.500,1.000,,272,99,003:29;416:7;000:6;031:3;603:3;877:3;032:2;096:2;111:2;125:2;216:2;255:2;533:2;698:2;002:1;036:1;140:1;244:1;260:1;292:1;360:1;362:1;371:1;383:1;390:1;392:1;440:1;455:1;495:1;501:1;503:1;575:1;576:1;590:1;623:1;626:1;683:1;791:1;803:1;820:1;831:1;832:1;892:1;901:1;903:1;920:1,0.293,000:1;003:1;368:1,Harappa:2;Kalibangan:1,SEAL:S:2;POT:T:g:1,-:543.1;H-486;K-10,underpowered_open_operator
2026-05-31,906,false,3,2,000:1;329:1,0.500,1.000,,16,11,388:3;000:1;003:1;090:1;125:1;140:1;200:1;329:1;550:1,0.273,368:1;595:1;820:1,Mohenjo-daro:3,SEAL:S:3,M-36;M-809;M-1178,underpowered_open_operator
