checked_date,group_type,group_key,rows,nonterminal_rows,repeated_tail_first_share,dominant_tail_first,dominant_tail_first_rows,tail_first_inventory,heads,xs,contexts
2026-05-31,open_operator_x,125,11,9,0.818,632,3,632:3;<END>:2;032:2;820:2;195:1;590:1,390:4;610:2;190:1;405:1;407:1;861:1;906:1,125:11,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP:3;Mohenjo-daro|SEAL:S|square|Steatite|SAN|LC:2;Harappa|SEAL:S|square|Steatite|RAN|SC:1;Harappa|SEAL:S|square|Steatite|SAF|IM:1;Mohenjo-daro|SEAL:R|cuboid-convex|Steatite|None|LP:1;Mohenjo-daro|SEAL:S|square|Steatite|HAF|LP:1;Mohenjo-daro|TAB:C|rectangular|Copper|None|SC:1;Surkotada|SEAL:S|square|-|RAN|IM:1
2026-05-31,open_operator_x,455,8,6,0.250,<END>,2,<END>:2;000:1;125:1;503:1;520:1;741:1;920:1,220:5;267:1;590:1;741:1,455:8,Harappa|SEAL:S|square|Steatite|SAN|LP:1;Harappa|SEAL:S|square|Steatite|Trough|IM:1;Harappa|TAB:B|rectangular|Faience|None|??:1;Mohenjo-daro|SEAL:S|square|-|None|SC:1;Mohenjo-daro|SEAL:S|square|Steatite|-|LP:1;Mohenjo-daro|SEAL:S|square|Steatite|-|UC:1;Mohenjo-daro|SEAL:S|square|Steatite|RAF|LC:1;Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP:1
2026-05-31,open_operator_x,530,4,4,0.000,000,1,000:1;741:1;820:1;904:1,296:1;299:1;390:1;705:1,530:4,Chanhu-daro|SEAL:S|square|Steatite|SAF|??:1;Dholavira|SEAL:S|-|-|-|LP:1;Harappa|TAB:B|plano-convex|Faience|None|IT:1;Mohenjo-daro|SEAL:S|square|-|S|LP:1
2026-05-31,open_operator_x,003,3,2,0.667,590,2,590:2;<END>:1,900:2;906:1,003:3,Chanhu-daro|SEAL:S|square|Steatite|-|??:1;Mohenjo-daro|SEAL:S|square|Faience|RAN|2L:1;Mohenjo-daro|SEAL:S|square|Steatite|RAF|IT:1
2026-05-31,open_operator_x,035,3,2,0.667,171,2,171:2;<END>:1,130:3,035:3,Lothal|SEAL:S|square|Steatite|SAN|??:1;Mohenjo-daro|SEAL:S|square|Steatite|None|2L:1;Mohenjo-daro|SEAL:S|square|Steatite|SAN|MS:1
2026-05-31,open_operator_x,065,3,3,0.000,132,1,132:1;215:1;440:1,220:3,065:3,Kalibangan|SEAL:S|square|Steatite|-|LC:1;Mohenjo-daro|SEAL:S|square|Faience|RAF|IT:1;Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP:1
2026-05-31,open_operator_x,090,3,2,0.000,<END>,1,<END>:1;370:1;725:1,000:2;817:1,090:3,Mohenjo-daro|SEAL:S|square|-|-|??:1;Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP:1;Unknown|SEAL:C|circular|-|Othr|??:1
2026-05-31,open_operator_x,460,3,3,0.667,495,2,495:2;032:1,365:2;298:1,460:3,Mohenjo-daro|SEAL:S|square|Steatite|-|LP:1;Mohenjo-daro|TAB:C|rectangular|Copper|None|2L:1;Mohenjo-daro|TAB:C|rectangular|Copper|None|IM:1
2026-05-31,open_operator_x,861,3,2,0.000,<END>,1,<END>:1;031:1;590:1,000:1;003:1;368:1,861:3,Harappa|POT:T:g|-|Clay|None|??:1;Harappa|SEAL:S|square|Steatite|-|??:1;Kalibangan|SEAL:S|square|Steatite|RAN|LP:1
2026-05-31,open_operator_x,906,3,2,0.000,<END>,1,<END>:1;000:1;329:1,368:1;595:1;820:1,906:3,Mohenjo-daro|SEAL:S|square|Faience|None|??:1;Mohenjo-daro|SEAL:S|square|Steatite|SAN|IT:1;Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP:1
