checked_date,object,site,type,shape,material,cult,class,head,x,x_polarity,terminal,tail_first,tail_pair,tail_len,context_cell,text
2026-05-31,C-71,Chanhu-daro,SEAL:S,square,Steatite,-,??,906,003,open_operator,true,<END>,<END>,0,Chanhu-daro|SEAL:S|square|Steatite|-|??,+000-000-000/000-861-002-906-003+
2026-05-31,C-57,Chanhu-daro,SEAL:S,square,Steatite,SAF,??,296,530,open_operator,false,000,000,1,Chanhu-daro|SEAL:S|square|Steatite|SAF|??,+740-032-840-002-296-530-000+
2026-05-31,H-1874,Harappa,TAB:B,rectangular,Faience,None,??,220,455,open_operator,false,000,000,1,Harappa|TAB:B|rectangular|Faience|None|??,+002-220-455-000+
2026-05-31,-:543.1,Harappa,POT:T:g,-,Clay,None,??,003,861,open_operator,true,<END>,<END>,0,Harappa|POT:T:g|-|Clay|None|??,+000-480-003-064-002-003-861+
2026-05-31,H-55,Harappa,SEAL:S,square,Steatite,SAF,IM,861,125,open_operator,true,<END>,<END>,0,Harappa|SEAL:S|square|Steatite|SAF|IM,+390-004-002-861-125+
2026-05-31,H-74,Harappa,SEAL:S,square,Steatite,RAN,SC,610,125,open_operator,false,032,032,1,Harappa|SEAL:S|square|Steatite|RAN|SC,+002-610-125-032+
2026-05-31,H-82,Harappa,SEAL:S,square,Steatite,Trough,IM,220,455,open_operator,false,741,741,1,Harappa|SEAL:S|square|Steatite|Trough|IM,+390-017-002-220-455-741+
2026-05-31,H-268,Harappa,SEAL:S,square,Steatite,SAN,LP,220,455,open_operator,false,920,920,1,Harappa|SEAL:S|square|Steatite|SAN|LP,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,H-486,Harappa,SEAL:S,square,Steatite,-,??,000,861,open_operator,false,031,031,1,Harappa|SEAL:S|square|Steatite|-|??,]002-000-861-031+
2026-05-31,H-773,Harappa,TAB:B,plano-convex,Faience,None,IT,390,530,open_operator,false,741,741,1,Harappa|TAB:B|plano-convex|Faience|None|IT,+740-798-803-002-390-530-741+
2026-05-31,K-10,Kalibangan,SEAL:S,square,Steatite,RAN,LP,368,861,open_operator,false,590,590 032,3,Kalibangan|SEAL:S|square|Steatite|RAN|LP,+740-690-435-255-002-368-861-590-032-368+
2026-05-31,K-25,Kalibangan,SEAL:S,square,Steatite,-,LC,220,065,open_operator,false,132,132 082,2,Kalibangan|SEAL:S|square|Steatite|-|LC,+520-231-002-220-065-132-082+
2026-05-31,L-12,Lothal,SEAL:S,square,Steatite,SAN,??,130,035,open_operator,true,<END>,<END>,0,Lothal|SEAL:S|square|Steatite|SAN|??,+000-798-000-354-002-130-035[
2026-05-31,M-1692,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LC,190,125,open_operator,false,632,632 032,2,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LC,+390-600-617-002-190-125-632-032+
2026-05-31,M-1665,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LP,610,125,open_operator,false,032,032,1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-10,Mohenjo-daro,SEAL:S,square,Steatite,-,LP,267,455,open_operator,true,<END>,<END>,0,Mohenjo-daro|SEAL:S|square|Steatite|-|LP,+405-061-070-032-033-706-235-806-002-267-455+
2026-05-31,M-29,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LP,220,455,open_operator,false,503,503,1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,+740-055-240-235-806-002-220-455-503+
2026-05-31,M-36,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LP,368,906,open_operator,false,329,329,1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,+740-794-630-220-032-002-368-906-329+
2026-05-31,M-38,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LP,390,125,open_operator,false,632,632 032,2,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LP,405,125,open_operator,false,820,820,1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-46,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LP,220,065,open_operator,false,215,215,1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,+740-798-240-235-002-220-065-215+
2026-05-31,M-119,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LC,390,125,open_operator,false,632,632 032,4,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LC,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-140,Mohenjo-daro,SEAL:S,square,Faience,RAF,IT,220,065,open_operator,false,440,440 455,2,Mohenjo-daro|SEAL:S|square|Faience|RAF|IT,+740-336-002-220-065-440-455+
2026-05-31,M-147,Mohenjo-daro,SEAL:S,square,Steatite,RAF,LC,220,455,open_operator,false,520,520,1,Mohenjo-daro|SEAL:S|square|Steatite|RAF|LC,+226-803-002-220-455-520+
2026-05-31,M-354,Mohenjo-daro,SEAL:R,cuboid-convex,Steatite,None,LP,906,125,open_operator,true,<END>,<END>,0,Mohenjo-daro|SEAL:R|cuboid-convex|Steatite|None|LP,+740-729-407-845-236-002-906-125+
2026-05-31,M-577,Mohenjo-daro,TAB:C,rectangular,Copper,None,2L,365,460,open_operator,false,495,495,1,Mohenjo-daro|TAB:C|rectangular|Copper|None|2L,+617-142-597-032-905/407-004-002-365-460-495+
2026-05-31,M-623,Mohenjo-daro,SEAL:S,square,-,S,LP,299,530,open_operator,false,820,820,1,Mohenjo-daro|SEAL:S|square|-|S|LP,+740-760-175-176-220-415-798-002-299-530-820+
2026-05-31,M-644,Mohenjo-daro,SEAL:S,square,Steatite,SAN,LP,817,090,open_operator,false,370,370,1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|LP,+740-585-017-740-240-002-817-090-370+
2026-05-31,M-683,Mohenjo-daro,SEAL:S,square,Steatite,-,LP,298,460,open_operator,false,032,032,1,Mohenjo-daro|SEAL:S|square|Steatite|-|LP,+740-798-231-002-298-460-032+
2026-05-31,M-699,Mohenjo-daro,SEAL:S,square,Steatite,SAN,MS,130,035,open_operator,false,171,171,1,Mohenjo-daro|SEAL:S|square|Steatite|SAN|MS,+740-100-415-002-130-035-171+
2026-05-31,M-735,Mohenjo-daro,SEAL:S,square,Steatite,HAF,LP,390,125,open_operator,false,195,195,1,Mohenjo-daro|SEAL:S|square|Steatite|HAF|LP,+740-760-235-002-390-125-195+
2026-05-31,M-761,Mohenjo-daro,SEAL:S,square,Steatite,-,UC,741,455,open_operator,false,125,125,1,Mohenjo-daro|SEAL:S|square|Steatite|-|UC,]002-741-455-125+
2026-05-31,M-809,Mohenjo-daro,SEAL:S,square,Steatite,SAN,IT,595,906,open_operator,true,<END>,<END>,0,Mohenjo-daro|SEAL:S|square|Steatite|SAN|IT,+520-460-495-002-595-906+
2026-05-31,M-902,Mohenjo-daro,SEAL:S,square,-,-,??,000,090,open_operator,true,<END>,<END>,0,Mohenjo-daro|SEAL:S|square|-|-|??,+740-798-002-000-090+
2026-05-31,M-958,Mohenjo-daro,SEAL:S,square,Steatite,RAF,IT,900,003,open_operator,false,590,590,1,Mohenjo-daro|SEAL:S|square|Steatite|RAF|IT,+740-772-240-002-900-003-590+
2026-05-31,M-979,Mohenjo-daro,SEAL:S,square,Faience,RAN,2L,900,003,open_operator,false,590,590,1,Mohenjo-daro|SEAL:S|square|Faience|RAN|2L,+740-773-240/002-900-003-590+
2026-05-31,M-1112,Mohenjo-daro,SEAL:S,square,Steatite,None,2L,130,035,open_operator,false,171,171,1,Mohenjo-daro|SEAL:S|square|Steatite|None|2L,+740-585-220/002-130-035-171+
2026-05-31,M-1178,Mohenjo-daro,SEAL:S,square,Faience,None,??,820,906,open_operator,false,000,000,1,Mohenjo-daro|SEAL:S|square|Faience|None|??,+002-820-906-000[
2026-05-31,M-1532,Mohenjo-daro,TAB:C,rectangular,Copper,None,IM,365,460,open_operator,false,495,495,1,Mohenjo-daro|TAB:C|rectangular|Copper|None|IM,+407-004-002-365-460-495+
2026-05-31,Sktd-1,Surkotada,SEAL:S,square,-,RAN,IM,390,125,open_operator,false,820,820,1,Surkotada|SEAL:S|square|-|RAN|IM,+390-004-002-390-125-820+
2026-05-31,M-1909,Mohenjo-daro,SEAL:S,square,-,None,SC,590,455,open_operator,true,<END>,<END>,0,Mohenjo-daro|SEAL:S|square|-|None|SC,+368-005-002-590-455+
2026-05-31,M-2055,Mohenjo-daro,TAB:C,rectangular,Copper,None,SC,407,125,open_operator,false,590,590 831,2,Mohenjo-daro|TAB:C|rectangular|Copper|None|SC,+002-407-125-590-831+
2026-05-31,-:4182.1,Dholavira,SEAL:S,-,-,-,LP,705,530,open_operator,false,904,904,1,Dholavira|SEAL:S|-|-|-|LP,+740-390-590-231-002-705-530-904+
2026-05-31,-:5226.1,Unknown,SEAL:C,circular,-,Othr,??,000,090,open_operator,false,725,725 000,2,Unknown|SEAL:C|circular|-|Othr|??,+002/000-090-725-000+
