checked_date,object,row_id,site,type,symbol,cult,prev_before_032,head_after_002,tail_after_head,exact_740205_prefix,text
2026-05-31,C-65,62.1,Chanhu-daro,SEAL:S,Bull1:W,SAF,220,861,<END>,false,+000-100-240-220-032-002-861+
2026-05-31,C-60,69.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,176,861,<END>,false,+740-176-032-002-861+
2026-05-31,C-10,98.1,Chanhu-daro,SEAL:S,Bull1:W,SAN,220,817,<END>,false,+740-231-220-032-002-817+
2026-05-31,Dlp-3,125.1,Desalpur,TAG,None,None,394,892,740,false,+394-032-002-892-740+
2026-05-31,H-507,1485.1,Harappa,SEAL:S,Bull1,SAN,000,820,<END>,false,]000-032-002-820+
2026-05-31,H-1657,1020.1,Harappa,SEAL:S,Bull1:W,SAN,220,690,921,false,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,H-18,1078.1,Harappa,SEAL:S,Bull1:W,-,220,820,<END>,false,]000-220-032-002-820+
2026-05-31,H-140,1181.1,Harappa,SEAL:R,None,None,384,817,<END>,false,+740-384-032-002-817+
2026-05-31,H-444,1434.1,Harappa,SEAL:S,Bull1:W,SAF,220,861,<END>,false,+241-220-032-002-861+
2026-05-31,H-597,1540.2,Harappa,SEAL:S,Bull1:J,SAN,070,861,<END>,false,+740-390-590-070-032-002-861+
2026-05-31,H-640,1555.1,Harappa,SEAL:R,None,None,220,817,<END>,false,]220-032-002-817+
2026-05-31,L-15,1993.1,Lothal,SEAL:S,None,None,832,415,<END>,false,+000-000-000-000/032-832-032-002-415+
2026-05-31,L-139,2081.1,Lothal,TAG,-,-,590,880,<END>,false,]390-590-032-002-880[
2026-05-31,L-196,2116.1,Lothal,TAG,-,-,590,000,<END>,false,]390-590-032-002-000[
2026-05-31,L-198,2118.2,Lothal,TAG,-,-,590,000,<END>,false,+740-390-590-032-002-000[
2026-05-31,M-1737,2229.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,921,820,<END>,false,+740-760-072-921-032-002-820+
2026-05-31,M-1677,2236.1,Mohenjo-daro,SEAL:S,Bull1:W,-,382,820,001 440 012,false,+520-382-032-002-820-001-440-012+
2026-05-31,M-1763,2313.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,220,861,<END>,false,+416-001-565-740-220-032-002-861+
2026-05-31,M-1686,2381.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,220,142,<END>,false,+740-904-220-032-002-142+
2026-05-31,M-1728,2417.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,220,820,<END>,false,+161-055-240-220-032-002-820+
2026-05-31,M-1872,2430.1,Mohenjo-daro,SEAL,-,-,220,<END>,<END>,false,]904-220-032-002[
2026-05-31,M-1667,2490.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,220,717,820,false,+740-690-435-255-220-032-002-717-820+
2026-05-31,M-21,2549.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,692,861,<END>,false,+350-001-740-362-692-032-002-861+
2026-05-31,M-36,2564.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,220,368,906 329,false,+740-794-630-220-032-002-368-906-329+
2026-05-31,M-49,2577.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,220,300,350 032 190,false,+527-550-240-220-032-002-300-350-032-190+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,SAF,226,390,692,false,+226-032-002-390-692+
2026-05-31,M-91,2618.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,220,861,255 416,false,+740-100-798-220-032-002-861-255-416+
2026-05-31,M-130,2657.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,220,144,<END>,false,+740-094-220-032-002-144+
2026-05-31,M-143,2670.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,205,252,840,true,+740-205-032-002-252-840+
2026-05-31,M-174,2699.1,Mohenjo-daro,SEAL:S,Bull1:T,SAN,220,820,<END>,false,+740-923-220-032-002-820+
2026-05-31,M-221,2745.1,Mohenjo-daro,SEAL:S,Bull1:I,SAN,220,820,<END>,false,+740-760-335-220-032-002-820+
2026-05-31,M-240,2763.1,Mohenjo-daro,SEAL:S,Gaur,Trough,220,861,603,false,+520-240-220-032-002-861-603+
2026-05-31,M-367,2863.1,Mohenjo-daro,SEAL:R,None,None,226,454,<END>,false,+001-226-032-002-454+
2026-05-31,M-375,2871.1,Mohenjo-daro,SEAL:R,None,None,220,820,<END>,false,+740-100-233-220-032-002-820+
2026-05-31,M-636,3085.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,220,000,216,false,+527-555-235-220-032-002-000-216+
2026-05-31,M-720,3144.1,Mohenjo-daro,SEAL:S,Bull1,-,220,817,<END>,false,+000-740-923-220-032-002-817+
2026-05-31,M-722,3146.1,Mohenjo-daro,SEAL:S,Bull1,-,220,817,<END>,false,+740-585-240-220-032-002-817+
2026-05-31,M-723,3147.1,Mohenjo-daro,SEAL:S,Bull1,-,220,861,<END>,false,+740-460-510-235-220-032-002-861+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,Bull1:J,RAF,205,390,590 032,true,+740-205-032-002-390-590-032+
2026-05-31,M-1044,3421.1,Mohenjo-daro,SEAL:S,Bull,-,220,861,<END>,false,+520-220-032-002-861+
2026-05-31,M-1045,3422.1,Mohenjo-daro,SEAL:S,-,-,070,820,000,false,+740-100-415-070-032-002-820-000+
2026-05-31,M-1159,3519.1,Mohenjo-daro,SEAL:S,Elep,None,220,168,032,false,+232-220-032-002-168-032+
