checked_date,object,row_id,site,type,domain,shape,material,head,x,tail_after_x,open,text
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,seal,square,Steatite,296,530,000,true,+740-032-840-002-296-530-000+
2026-05-31,H-1993,744.2,Harappa,TAB:B,tablet,rectangular,Clay,390,095,<END>,false,+740-000-220-004-002-390-095+
2026-05-31,H-55,1114.1,Harappa,SEAL:S,seal,square,Steatite,861,125,<END>,false,+390-004-002-861-125+
2026-05-31,H-74,1132.1,Harappa,SEAL:S,seal,square,Steatite,610,125,032,true,+002-610-125-032+
2026-05-31,H-468,1456.1,Harappa,SEAL:S,seal,square,Steatite,940,705,<END>,false,+740-900-003-002-940-705+
2026-05-31,H-773,1665.1,Harappa,TAB:B,tablet,plano-convex,Faience,390,530,741,true,+740-798-803-002-390-530-741+
2026-05-31,L-1,1984.1,Lothal,SEAL:S,seal,square,Steatite,812,095,<END>,false,+527-550-233-002-812-095+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,190,125,632 032,true,+390-600-617-002-190-125-632-032+
2026-05-31,M-1668,2270.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,320,705,125,true,+740-773-233-803-002-320-705-125+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,610,125,032,true,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,390,125,632 032,true,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,405,125,820,true,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,390,095,<END>,false,+151-279-142-002-390-095+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,390,125,632 032 900 563,true,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,seal,cuboid-convex,Steatite,906,125,<END>,false,+740-729-407-845-236-002-906-125+
2026-05-31,M-623,3074.1,Mohenjo-daro,SEAL:S,seal,square,-,299,530,820,true,+740-760-175-176-220-415-798-002-299-530-820+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,390,125,195,true,+740-760-235-002-390-125-195+
2026-05-31,M-1155,3516.1,Mohenjo-daro,SEAL:S,seal,square,Steatite,033,705,<END>,false,+740-760-335-002-033-705+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,seal,square,-,390,125,820,true,+390-004-002-390-125-820+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,seal,square,-,390,705,<END>,false,+157-031-002-390-705+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,tablet,rectangular,Copper,407,125,590 831,true,+002-407-125-590-831+
2026-05-31,-:4182.1,4182.1,Dholavira,SEAL:S,seal,-,-,705,530,904,true,+740-390-590-231-002-705-530-904+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,seal,square,-,390,705,<END>,false,+151-032-388-002-390-705+
