checked_date,object,row_id,site,type,shape,material,head,x,tail_after_x,observed_continuation,x000_expected,x000_prediction_pass,x000_gloss_skeleton,text
2026-05-31,Ad-8,13.1,Allahdino,MISC,square,Clay,861,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(861) ZERO_COMPLEMENT(000),+740-440-503-002-861-000+
2026-05-31,H-1038,256.1,Harappa,SEAL:S,square,Steatite,297,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(297) ZERO_COMPLEMENT(000),+740-519-002-297-000[
2026-05-31,H-2338,604.1,Harappa,POT:T:g,-,Clay,575,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(575) ZERO_COMPLEMENT(000),]740-061-002-575-000[
2026-05-31,-:617.1,617.1,Harappa,POT:T:g,-,Clay,575,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(575) ZERO_COMPLEMENT(000),]740-000-000-002-575-000[
2026-05-31,H-78,1135.1,Harappa,SEAL:S,square,Steatite,575,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(575) ZERO_COMPLEMENT(000),]000-806-002-575-000+
2026-05-31,H-461,1450.1,Harappa,SEAL:S,square,Steatite,452,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(452) ZERO_COMPLEMENT(000),+090-740-384-002-452-000+
2026-05-31,H-593,1537.1,Harappa,SEAL:S,square,Steatite,220,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(220) ZERO_COMPLEMENT(000),+740-760-235-240-002-220-000[
2026-05-31,H-609,1549.1,Harappa,SEAL:S,square,Steatite,817,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(817) ZERO_COMPLEMENT(000),]798-233-231-002-817-000+
2026-05-31,H-909,1791.1,Harappa,TAB:I,rectangular,-,820,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(820) ZERO_COMPLEMENT(000),+002-820-000[
2026-05-31,K-44,1910.1,Kalibangan,SEAL:S,square,Steatite,000,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(000) ZERO_COMPLEMENT(000),+740-337-176-002-000-000[
2026-05-31,M-1787,2399.1,Mohenjo-daro,SEAL:S,square,Steatite,703,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(703) ZERO_COMPLEMENT(000),+740-061-002-703-000+
2026-05-31,M-1884,2510.1,Mohenjo-daro,SEAL:S,square,Steatite,416,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(416) ZERO_COMPLEMENT(000),+520-220-016-002-416-000+
2026-05-31,M-141,2668.1,Mohenjo-daro,SEAL:S,square,Steatite,031,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(031) ZERO_COMPLEMENT(000),+817-255-636/000-000-000-240-002-031-000+
