checked_date,object,site,type,shape,material,scope_cell,slot,head_if_x_slot,prev_before_125,next_after_125,open,terminal,tail_after_125,text
2026-05-31,Ad-2,Allahdino,SEAL:S,square,Steatite,Allahdino|SEAL:S|square|Steatite,non_x_slot,,390,033,True,False,033,+368-390-125-033+
2026-05-31,Blk-1,Bala-kot,SEAL:S,square,-,Bala-kot|SEAL:S|square|-,non_x_slot,,350,413,True,False,413,+226-003-002-297-350-125-413+
2026-05-31,C-74,Chanhu-daro,SEAL:S,square,Steatite,Chanhu-daro|SEAL:S|square|Steatite,non_x_slot,,,002,True,False,002 861,+125-002-861+
2026-05-31,H-1921,Harappa,TAB:B,circular,-,Harappa|TAB:B|circular|-,non_x_slot,,,700,True,False,700 033,+125-700-033+
2026-05-31,H-1946,Harappa,TAB:B,prism,Faience,Harappa|TAB:B|prism|Faience,non_x_slot,,700,<END>,False,True,<END>,+700-125+
2026-05-31,H-1710,Harappa,SEAL:R,rectangular,Steatite,Harappa|SEAL:R|rectangular|Steatite,non_x_slot,,920,001,True,False,001 055 920 140,+090-326-700-920-125-001-055-920-140+
2026-05-31,H-10,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,non_x_slot,,018,381,True,False,381,+820-302-596-018-125-381+
2026-05-31,H-11,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,non_x_slot,,000,204,True,False,204,+000-125-204+
2026-05-31,H-50,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,non_x_slot,,406,<END>,False,True,<END>,+740-406-590-741-406-125+
2026-05-31,H-52,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,non_x_slot,,590,741,True,False,741 000 000,+740-390-590-125-741-000-000+
2026-05-31,H-55,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,x_slot,861,861,<END>,False,True,<END>,+390-004-002-861-125+
2026-05-31,H-74,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,x_slot,610,610,032,True,False,032,+002-610-125-032+
2026-05-31,H-130,Harappa,SEAL:R,rectangular,-,Harappa|SEAL:R|rectangular|-,non_x_slot,,812,717,True,False,717,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,H-246,Harappa,TAB:B,circular,-,Harappa|TAB:B|circular|-,non_x_slot,,,700,True,False,700 033,+125-700-033+
2026-05-31,H-467,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,non_x_slot,,390,<END>,False,True,<END>,]741-390-125+
2026-05-31,H-611,Harappa,SEAL:S,square,Steatite,Harappa|SEAL:S|square|Steatite,non_x_slot,,002,590,True,False,590,+527-550-002-125-590+
2026-05-31,H-642,Harappa,SEAL:R,cuboid-convex,Steatite,Harappa|SEAL:R|cuboid-convex|Steatite,non_x_slot,,354,812,True,False,812 033,+001-304-354-125-812-033+
2026-05-31,H-894,Harappa,TAB:I,rectangular,Steatite,Harappa|TAB:I|rectangular|Steatite,non_x_slot,,700,<END>,False,True,<END>,+700-125+
2026-05-31,K-5,Kalibangan,SEAL:S,square,Steatite,Kalibangan|SEAL:S|square|Steatite,non_x_slot,,741,<END>,False,True,<END>,+520-233-240-803-741-125+
