checked_date,x,rows,terminal,terminal_rate,open_rows,head_profile,site_profile,examples
2026-05-31,000,27,24/27,0.889,3,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,031,8,7/8,0.875,1,502:2;000:1;055:1;388:1;575:1;812:1;861:1,Mohenjo-daro:6;Lothal:1;Susa:1,L-4:575-031-<END> | M-2005:000-031-<END> | M-358:502-031-<END> | M-706:861-031-<END> | M-756:812-031-<END> | M-948:388-031-<END> | M-1284:502-031-<END> | -:3882.1:055-031-319 001 924
2026-05-31,575,6,5/6,0.833,1,031:2;252:1;374:1;463:1;595:1,Dholavira:2;Mohenjo-daro:2;Harappa:1;Kalibangan:1,H-131:595-575-794 000 | K-24:252-575-<END> | M-318:031-575-<END> | M-665:374-575-<END> | -:4203.1:463-575-<END> | -:5579.1:031-575-<END>
2026-05-31,317,5,4/5,0.800,1,920:3;000:1;727:1,Mohenjo-daro:2;Chanhu-daro:1;Lothal:1;Rakhigarhi:1,C-3:920-317-<END> | L-190:920-317-<END> | M-44:920-317-<END> | M-308:727-317-<END> | -:5468.1:000-317-688
2026-05-31,705,5,4/5,0.800,1,390:2;033:1;320:1;940:1,Mohenjo-daro:3;Dholavira:1;Harappa:1,H-468:940-705-<END> | M-1668:320-705-125 | M-1155:033-705-<END> | M-1825:390-705-<END> | -:4237.1:390-705-<END>
2026-05-31,032,7,4/7,0.571,3,168:1;172:1;305:1;817:1;840:1;861:1;862:1,Mohenjo-daro:4;Harappa:3,H-1033:862-032-<END> | H-272:305-032-904 | H-455:172-032-<END> | M-1791:840-032-<END> | M-1661:861-032-520 919 140 | M-1159:168-032-<END> | M-1391:817-032-320
2026-05-31,350,7,3/7,0.429,4,297:2;000:1;031:1;125:1;300:1;301:1,Mohenjo-daro:5;Bala-kot:1;Nausharo:1,Blk-1:297-350-125 413 | M-49:300-350-032 190 | M-106:000-350-<END> | M-242:301-350-<END> | M-251:125-350-<END> | M-739:031-350-550 692 | Ns-60:297-350-125 413
2026-05-31,590,7,3/7,0.429,4,125:1;368:1;390:1;392:1;540:1;705:1;798:1,Harappa:2;Unknown:2;Lohumjo-daro:1;Lothal:1;Mohenjo-daro:1,H-464:798-590-032 | H-611:125-590-<END> | Lh-1:392-590-125 | L-112:540-590-<END> | M-248:705-590-<END> | -:3335.1:390-590-032 | ?-3:368-590-900
2026-05-31,455,8,2/8,0.250,6,220:5;267:1;590:1;741:1,Mohenjo-daro:5;Harappa:3,H-1874:220-455-000 | H-82:220-455-741 | H-268:220-455-920 | M-10:267-455-<END> | M-29:220-455-503 | M-147:220-455-520 | M-761:741-455-125 | M-1909:590-455-<END>
2026-05-31,125,11,2/11,0.182,9,390:4;610:2;190:1;405:1;407:1;861:1;906:1,Mohenjo-daro:8;Harappa:2;Surkotada:1,H-55:861-125-<END> | H-74:610-125-032 | M-1692:190-125-632 032 | M-1665:610-125-032 | M-38:390-125-632 032 | M-41:405-125-820 | M-119:390-125-632 032 900 563 | M-354:906-125-<END>
