object,prev_before_002,frame,branch_after_390,tail_after_branch,terminal_after_branch,source_tier,family_cell,signless_formula,text,site,type,symbol,cult
H-1993,004,002-390,095,<END>,True,source_dark_or_weak,Harappa|TAB:B|None|None|rectangular|Clay|004|095|<END>,004|002-390|095|<END>,+740-000-220-004-002-390-095+,Harappa,TAB:B,None,None
H-68,003,002-390,072,<END>,True,source_dark_or_weak,Harappa|SEAL:S|Bull1:I|RAN|square|Steatite|003|072|<END>,003|002-390|072|<END>,+090-740-220-003-002-390-072+,Harappa,SEAL:S,Bull1:I,RAN
H-773,803,002-390,530,741,False,source_dark_or_weak,Harappa|TAB:B|None|None|plano-convex|Faience|803|530|741,803|002-390|530|741,+740-798-803-002-390-530-741+,Harappa,TAB:B,None,None
M-38,235,002-390,125,632 032,False,source_dark_or_weak,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite|235|125|632 032,235|002-390|125|632 032,+740-690-435-255-220-032-240-235-002-390-125-632-032+,Mohenjo-daro,SEAL:S,Bull1:J,SAN
M-70,032,002-390,692,<END>,True,strict_source_visible,Mohenjo-daro|SEAL:S|Bull1:T|SAF|square|Steatite|032|692|<END>,032|002-390|692|<END>,+226-032-002-390-692+,Mohenjo-daro,SEAL:S,Bull1:T,SAF
M-71,142,002-390,095,<END>,True,strict_source_visible,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|Steatite|142|095|<END>,142|002-390|095|<END>,+151-279-142-002-390-095+,Mohenjo-daro,SEAL:S,Bull1:J,SAN
M-119,484,002-390,125,632 032 900 563,False,strict_source_visible,Mohenjo-daro|SEAL:S|Bull1:S|SAN|square|Steatite|484|125|632 032 900 563,484|002-390|125|632 032 900 563,+151-337-484-002-390-125-632-032-900-563+,Mohenjo-daro,SEAL:S,Bull1:S,SAN
M-213,384,002-390,346,<END>,True,source_dark_or_weak,Mohenjo-daro|SEAL:S|Bull1:J|RAF|square|Steatite|384|346|<END>,384|002-390|346|<END>,+740-384-002-390-346+,Mohenjo-daro,SEAL:S,Bull1:J,RAF
M-232,236,002-390,707,<END>,True,source_dark_or_weak,Mohenjo-daro|SEAL:S|Bull2|SAF|square|Steatite|236|707|<END>,236|002-390|707|<END>,+236-002-390-707+,Mohenjo-daro,SEAL:S,Bull2,SAF
M-708,061,002-390,140,<END>,True,source_dark_or_weak,Mohenjo-daro|SEAL:S|Bull1:W|S|square|Steatite|061|140|<END>,061|002-390|140|<END>,+740-061-002-390-140+,Mohenjo-daro,SEAL:S,Bull1:W,S
M-735,235,002-390,125,195,False,strict_source_visible,Mohenjo-daro|SEAL:S|Bull1:U|HAF|square|Steatite|235|125|195,235|002-390|125|195,+740-760-235-002-390-125-195+,Mohenjo-daro,SEAL:S,Bull1:U,HAF
-:3335.1,032,002-390,590,032,False,source_dark_or_weak,Unknown|SEAL:S|Bull1:J|RAF|square|-|032|590|032,032|002-390|590|032,+740-205-032-002-390-590-032+,Unknown,SEAL:S,Bull1:J,RAF
Sktd-1,004,002-390,125,820,False,permissive_public_panel,Surkotada|SEAL:S|Bull1|RAN|square|-|004|125|820,004|002-390|125|820,+390-004-002-390-125-820+,Surkotada,SEAL:S,Bull1,RAN
M-1825,031,002-390,705,<END>,True,source_dark_or_weak,Mohenjo-daro|SEAL:S|Bull1|S|square|-|031|705|<END>,031|002-390|705|<END>,+157-031-002-390-705+,Mohenjo-daro,SEAL:S,Bull1,S
-:4237.1,388,002-390,705,<END>,True,source_dark_or_weak,Dholavira|SEAL:S|Bull1:I|RB|square|-|388|705|<END>,388|002-390|705|<END>,+151-032-388-002-390-705+,Dholavira,SEAL:S,Bull1:I,RB
