dimension,distinct_values,values,collapse_effect
site,1,Mohenjo-daro: M-119 M-735,collapses_strict_targets
type,1,SEAL:S: M-119 M-735,collapses_strict_targets
symbol,2,Bull1:S: M-119 | Bull1:U: M-735,separates_strict_targets
cult,2,SAN: M-119 | HAF: M-735,separates_strict_targets
shape,1,square: M-119 M-735,collapses_strict_targets
material,1,Steatite: M-119 M-735,collapses_strict_targets
condition,2,Good: M-119 | Poor: M-735,separates_strict_targets
text,2,+151-337-484-002-390-125-632-032-900-563+: M-119 | +740-760-235-002-390-125-195+: M-735,separates_strict_targets
text_len,2,10: M-119 | 7: M-735,separates_strict_targets
prev_before_002,2,484: M-119 | 235: M-735,separates_strict_targets
tail_after_next,2,632 032 900 563: M-119 | 195: M-735,separates_strict_targets
normalized_source_grade,1,strict_source_visible_125_candidate: M-119 M-735,collapses_strict_targets
