id,object,radius,left_suffix,full_left,branch_after_390,tail_after_branch,terminal_class,source_tier,source_status,text
744.2,H-1993,1,004,740 000 220 004,095,<END>,terminal,route_or_metadata_pressure,source_route_triaged_supplement_only_no_image,+740-000-220-004-002-390-095+
1127.1,H-68,1,003,090 740 220 003,072,<END>,terminal,metadata_or_blocked,metadata_only_unbound,+090-740-220-003-002-390-072+
1665.1,H-773,1,803,740 798 803,530,741,continuing,panel_bound_not_strict,source_panel_acquired_boxed_window_compatible_token_not_strict,+740-798-803-002-390-530-741+
2566.1,M-38,1,235,740 690 435 255 220 032 240 235,125,632 032,continuing,metadata_or_blocked,metadata_only_unbound,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2598.1,M-70,1,032,226 032,692,<END>,terminal,strict_visible,checkpoint_strict_source_visible,+226-032-002-390-692+
2599.1,M-71,1,142,151 279 142,095,<END>,terminal,strict_visible,checkpoint_strict_source_visible,+151-279-142-002-390-095+
2646.1,M-119,1,484,151 337 484,125,632 032 900 563,continuing,strict_visible,checkpoint_strict_source_visible,+151-337-484-002-390-125-632-032-900-563+
2737.1,M-213,1,384,740 384,346,<END>,terminal,metadata_or_blocked,metadata_only_unbound,+740-384-002-390-346+
2756.1,M-232,1,236,236,707,<END>,terminal,metadata_or_blocked,metadata_only_unbound,+236-002-390-707+
3134.1,M-708,1,061,740 061,140,<END>,terminal,metadata_or_blocked,metadata_only_unbound,+740-061-002-390-140+
3159.1,M-735,1,235,740 760 235,125,195,continuing,strict_visible,checkpoint_strict_source_visible,+740-760-235-002-390-125-195+
3335.1,-,1,032,740 205 032,590,032,continuing,metadata_or_blocked,metadata_only_unbound,+740-205-032-002-390-590-032+
3875.1,Sktd-1,1,004,390 004,125,820,continuing,public_panel_downweighted,checkpoint_permissive_public_panel,+390-004-002-390-125-820+
3992.1,M-1825,1,031,157 031,705,<END>,terminal,route_or_metadata_pressure,m1825_ia_pakistan_absent_secondary_icon_only_no_signband,+157-031-002-390-705+
4237.1,-,1,388,151 032 388,705,<END>,terminal,route_or_metadata_pressure,dholavira_8758_cluster_unbound_image_conflict,+151-032-388-002-390-705+
744.2,H-1993,2,220 004,740 000 220 004,095,<END>,terminal,route_or_metadata_pressure,source_route_triaged_supplement_only_no_image,+740-000-220-004-002-390-095+
1127.1,H-68,2,220 003,090 740 220 003,072,<END>,terminal,metadata_or_blocked,metadata_only_unbound,+090-740-220-003-002-390-072+
1665.1,H-773,2,798 803,740 798 803,530,741,continuing,panel_bound_not_strict,source_panel_acquired_boxed_window_compatible_token_not_strict,+740-798-803-002-390-530-741+
2566.1,M-38,2,240 235,740 690 435 255 220 032 240 235,125,632 032,continuing,metadata_or_blocked,metadata_only_unbound,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2598.1,M-70,2,226 032,226 032,692,<END>,terminal,strict_visible,checkpoint_strict_source_visible,+226-032-002-390-692+
2599.1,M-71,2,279 142,151 279 142,095,<END>,terminal,strict_visible,checkpoint_strict_source_visible,+151-279-142-002-390-095+
2646.1,M-119,2,337 484,151 337 484,125,632 032 900 563,continuing,strict_visible,checkpoint_strict_source_visible,+151-337-484-002-390-125-632-032-900-563+
2737.1,M-213,2,740 384,740 384,346,<END>,terminal,metadata_or_blocked,metadata_only_unbound,+740-384-002-390-346+
3134.1,M-708,2,740 061,740 061,140,<END>,terminal,metadata_or_blocked,metadata_only_unbound,+740-061-002-390-140+
