id,object,site,type,prev_before_002,branch_after_390,tail_after_branch,damaged_or_open,text
744.2,H-1993,Harappa,TAB:B,004,095,<END>,no,+740-000-220-004-002-390-095+
1127.1,H-68,Harappa,SEAL:S,003,072,<END>,no,+090-740-220-003-002-390-072+
1665.1,H-773,Harappa,TAB:B,803,530,741,no,+740-798-803-002-390-530-741+
2566.1,M-38,Mohenjo-daro,SEAL:S,235,125,632 032,no,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2598.1,M-70,Mohenjo-daro,SEAL:S,032,692,<END>,no,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,142,095,<END>,no,+151-279-142-002-390-095+
2646.1,M-119,Mohenjo-daro,SEAL:S,484,125,632 032 900 563,no,+151-337-484-002-390-125-632-032-900-563+
2737.1,M-213,Mohenjo-daro,SEAL:S,384,346,<END>,no,+740-384-002-390-346+
2756.1,M-232,Mohenjo-daro,SEAL:S,236,707,<END>,no,+236-002-390-707+
3134.1,M-708,Mohenjo-daro,SEAL:S,061,140,<END>,no,+740-061-002-390-140+
3159.1,M-735,Mohenjo-daro,SEAL:S,235,125,195,no,+740-760-235-002-390-125-195+
3335.1,-,Unknown,SEAL:S,032,590,032,no,+740-205-032-002-390-590-032+
3875.1,Sktd-1,Surkotada,SEAL:S,004,125,820,no,+390-004-002-390-125-820+
3992.1,M-1825,Mohenjo-daro,SEAL:S,031,705,<END>,no,+157-031-002-390-705+
4237.1,-,Dholavira,SEAL:S,388,705,<END>,no,+151-032-388-002-390-705+
