branch_after_390,raw_frames,family_cells,strict_frames,strict_family_cells,terminal_count,continuing_count,source_tiers,objects
072,1,1,0,0,1,0,metadata_or_route_only:1,H-68
095,2,2,1,1,2,0,reply_or_external_source_pending:1; strict_visible:1,H-1993 M-71
125,4,4,2,2,0,4,strict_visible:2; metadata_or_route_only:1; panel_bound_not_strict:1,M-119 M-38 M-735 Sktd-1
140,1,1,0,0,1,0,metadata_or_route_only:1,M-708
346,1,1,0,0,1,0,metadata_or_route_only:1,M-213
530,1,1,0,0,0,1,panel_bound_not_strict:1,H-773
590,1,1,0,0,0,1,reply_or_external_source_pending:1,-:3335.1
692,1,1,1,1,1,0,strict_visible:1,M-70
705,2,2,0,0,2,0,reply_or_external_source_pending:2,-:4237.1 M-1825
707,1,1,0,0,1,0,metadata_or_route_only:1,M-232
