id,object,site,type,symbol,cult,shape,prev_before_002,branch_after_390,tail_after_branch,terminal_after_branch,source_status_reearned,source_tier_reearned,strict_countable,family_key_reearned,text
744.2,H-1993,Harappa,TAB:B,None,None,rectangular,004,095,<END>,True,h1993_source_contact_sent_awaiting_reply_no_values,reply_or_external_source_pending,no,Harappa|TAB:B|None|None|rectangular|004|095|<END>,+740-000-220-004-002-390-095+
1127.1,H-68,Harappa,SEAL:S,Bull1:I,RAN,square,003,072,<END>,True,metadata_only_unbound,metadata_or_route_only,no,Harappa|SEAL:S|Bull1:I|RAN|square|003|072|<END>,+090-740-220-003-002-390-072+
1665.1,H-773,Harappa,TAB:B,None,None,plano-convex,803,530,741,False,source_panel_acquired_boxed_window_compatible_token_not_strict,panel_bound_not_strict,no,Harappa|TAB:B|None|None|plano-convex|803|530|741,+740-798-803-002-390-530-741+
2566.1,M-38,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,235,125,632 032,False,metadata_only_unbound,metadata_or_route_only,no,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|235|125|632 032,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2598.1,M-70,Mohenjo-daro,SEAL:S,Bull1:T,SAF,square,032,692,<END>,True,checkpoint_strict_source_visible,strict_visible,yes,Mohenjo-daro|SEAL:S|Bull1:T|SAF|square|032|692|<END>,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,142,095,<END>,True,checkpoint_strict_source_visible,strict_visible,yes,Mohenjo-daro|SEAL:S|Bull1:J|SAN|square|142|095|<END>,+151-279-142-002-390-095+
2646.1,M-119,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,484,125,632 032 900 563,False,checkpoint_strict_source_visible,strict_visible,yes,Mohenjo-daro|SEAL:S|Bull1:S|SAN|square|484|125|632 032 900 563,+151-337-484-002-390-125-632-032-900-563+
2737.1,M-213,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,384,346,<END>,True,metadata_only_unbound,metadata_or_route_only,no,Mohenjo-daro|SEAL:S|Bull1:J|RAF|square|384|346|<END>,+740-384-002-390-346+
2756.1,M-232,Mohenjo-daro,SEAL:S,Bull2,SAF,square,236,707,<END>,True,metadata_only_unbound,metadata_or_route_only,no,Mohenjo-daro|SEAL:S|Bull2|SAF|square|236|707|<END>,+236-002-390-707+
3134.1,M-708,Mohenjo-daro,SEAL:S,Bull1:W,S,square,061,140,<END>,True,metadata_only_unbound,metadata_or_route_only,no,Mohenjo-daro|SEAL:S|Bull1:W|S|square|061|140|<END>,+740-061-002-390-140+
3159.1,M-735,Mohenjo-daro,SEAL:S,Bull1:U,HAF,square,235,125,195,False,checkpoint_strict_source_visible,strict_visible,yes,Mohenjo-daro|SEAL:S|Bull1:U|HAF|square|235|125|195,+740-760-235-002-390-125-195+
3335.1,-:3335.1,Unknown,SEAL:S,Bull1:J,RAF,square,032,590,032,False,3335_yajnadevam_repo_history_private_collection_no_image_bridge_no_values,reply_or_external_source_pending,no,Unknown|SEAL:S|Bull1:J|RAF|square|032|590|032,+740-205-032-002-390-590-032+
3875.1,Sktd-1,Surkotada,SEAL:S,Bull1,RAN,square,004,125,820,False,sktd1_side_pair_visible_wrapped_layout_not_strict,panel_bound_not_strict,no,Surkotada|SEAL:S|Bull1|RAN|square|004|125|820,+390-004-002-390-125-820+
3992.1,M-1825,Mohenjo-daro,SEAL:S,Bull1,S,square,031,705,<END>,True,m1825_source_contact_sent_awaiting_reply_no_values,reply_or_external_source_pending,no,Mohenjo-daro|SEAL:S|Bull1|S|square|031|705|<END>,+157-031-002-390-705+
4237.1,-:4237.1,Dholavira,SEAL:S,Bull1:I,RB,square,388,705,<END>,True,dholavira_8758_source_contact_sent_awaiting_reply_no_values,reply_or_external_source_pending,no,Dholavira|SEAL:S|Bull1:I|RB|square|388|705|<END>,+151-032-388-002-390-705+
