checked_date,sign_after_390,global_390_x_count,after_002_count,terminal_count,after_002_share,terminal_share,examples
2026-05-31,590,73,1,13,0.013699,0.178082,Ad-1:+740-390-590+ | C-2:+740-390-590+ | C-12:+161-390-590-031-740-060-920+ | H-1109:+740-390-590[
2026-05-31,003,29,0,8,0.000000,0.275862,-:+390-003-003+ | C-66:+390-003-002-817+ | H-1893:+390-003-060-550+ | H-585:+390-003+
2026-05-31,004,23,0,4,0.000000,0.173913,B-9:+390-004+ | H-1987:+390-004-455-371-741-590+ | H-2003:+390-004-002-817+ | H-2186:+390-004-155-390+
2026-05-31,000,14,0,10,0.000000,0.714286,H-1800:+400-740-390-000[ | -:+390-000[ | H-1982:+390-000-742-000+ | -:+390-000+
2026-05-31,016,14,0,6,0.000000,0.428571,-:+390-016-002-861+ | H-71:+390-016+ | L-27:+390-016-140-000[ | M-1799:+390-016+
2026-05-31,125,9,4,3,0.444444,0.333333,Ad-2:+368-390-125-033+ | H-467:]741-390-125+ | M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:+151-337-484-002-390-125-632-032-900-563+
2026-05-31,844,9,0,2,0.000000,0.222222,C-69:+390-844-060-575-717+ | C-34:+032-031-390-844-000-000-032-803-220+ | M-1675:+621-390-844-002-820+ | M-1795:+390-844+
2026-05-31,005,7,0,2,0.000000,0.285714,M-1927:+390-005-002-817+ | M-1983:+390-005+ | M-1907:+390-005-002-455-511+ | M-20:+390-005-002-861-036-460-513+
2026-05-31,017,5,0,2,0.000000,0.400000,H-82:+390-017-002-220-455-741+ | M-247:+390-017-741-060-920+ | M-1200:+390-017+ | -:+463-513/390-017-002-463-575+
2026-05-31,032,4,0,2,0.000000,0.500000,C-22:+440-390-032/368-390-790+ | M-165:+817-740-194/740-760-001-741-390-032+ | M-1851:+832-390-032/000-032-740-002-820+ | M-1835:+154-900-004-001-390-032+
2026-05-31,390,4,0,3,0.000000,0.750000,-:]390-390[ | Rjd-1:]390-390+ | M-2094:+390-390-390+ | M-2094:+390-390-390+
2026-05-31,034,3,0,2,0.000000,0.666667,Ai-7:+390-034+ | H-335:+390-034+ | M-315:+390-034-002-374-228-741+
2026-05-31,095,3,2,2,0.666667,0.666667,C-40:+390-095-909-005-825-776-220-016+ | H-1993:+740-000-220-004-002-390-095+ | M-71:+151-279-142-002-390-095+
2026-05-31,790,3,0,3,0.000000,1.000000,C-22:+440-390-032/368-390-790+ | M-131:+740-390-590-741-390-790+ | Ns-46:+390-790+
2026-05-31,018,2,0,1,0.000000,0.500000,M-83:+390-018-796+ | M-283:+390-018+
2026-05-31,090,2,0,0,0.000000,0.000000,M-1770:+740-176-390-090-390+ | M-1918:+390-090-000[
2026-05-31,140,2,1,2,0.500000,1.000000,M-51:+740-798-460-350-235-741-390-140+ | M-708:+740-061-002-390-140+
2026-05-31,370,2,0,2,0.000000,1.000000,M-436:+390-370+ | M-436:+390-370+
2026-05-31,371,2,0,2,0.000000,1.000000,-:+390-371+ | -:+390-371+
2026-05-31,415,2,0,1,0.000000,0.500000,Alt-90:+390-415+ | L-145:+390-415-002-550+
2026-05-31,697,2,0,0,0.000000,0.000000,M-494:+390-697-151-740-176-798-838+ | M-495:+390-697-151-740-176-798-838+
2026-05-31,705,2,2,2,1.000000,1.000000,M-1825:+157-031-002-390-705+ | -:+151-032-388-002-390-705+
2026-05-31,710,2,0,1,0.000000,0.500000,M-316:+367-390-710-002-861+ | M-784:+368-390-710+
