next_after_390,row_count,members,terminal_members,tails_after_next,strict_source_visible_count,strict_source_visible_members,permissive_public_panel_count,permissive_public_panel_members,decision
125,4,M-38 M-119 M-735 Sktd-1,,195 | 632 032 | 632 032 900 563 | 820,2,M-119 M-735,3,M-119 M-735 Sktd-1,"live_plurality_candidate_no_value; upgraded by M-119/M-735, still not necessary because source-visible non-125 controls exist"
095,2,H-1993 M-71,H-1993 M-71,<END>,1,M-71,1,M-71,source_visible_non125_control_against_125_necessity
705,2,M-1825 -:4237.1,M-1825 -:4237.1,<END>,0,,0,,repeated_non125_branch_but_source_dark_in_this_pass
072,1,H-68,H-68,<END>,0,,0,,singletons_not_promoted
140,1,M-708,M-708,<END>,0,,0,,singletons_not_promoted
346,1,M-213,M-213,<END>,0,,0,,singletons_not_promoted
530,1,H-773,,741,0,,0,,singletons_not_promoted
590,1,-:3335.1,,032,0,,0,,singletons_not_promoted
692,1,M-70,M-70,<END>,1,M-70,1,M-70,source_visible_non125_control_against_125_necessity
707,1,M-232,M-232,<END>,0,,0,,singletons_not_promoted
