next_tail_prefix2_frame,rows,next_distribution,tail_distribution,source_classes,sites,cisis,decision
095-><END>,2,095:2,<END>:2,source_hint_needs_route:1;unrouted:1,Harappa:1;Mohenjo-daro:1,H-1993;M-71,context_or_singleton_control
125->632 032,2,125:2,632 032:1;632 032 900 563:1,mayig_only:1;source_context_needs_token_box:1,Mohenjo-daro:2,M-38;M-119,live_125_632032_subframe_same_site_symbol_lane
705-><END>,2,705:2,<END>:2,object_unresolved:1;source_hint_needs_route:1,Dholavira:1;Mohenjo-daro:1,M-1825;-,context_or_singleton_control
072-><END>,1,072:1,<END>:1,source_hint_needs_route:1,Harappa:1,H-68,context_or_singleton_control
125->195,1,125:1,195:1,source_hint_needs_route:1,Mohenjo-daro:1,M-735,context_or_singleton_control
125->820,1,125:1,820:1,public_route_needs_panel_binding:1,Surkotada:1,Sktd-1,context_or_singleton_control
140-><END>,1,140:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-708,context_or_singleton_control
346-><END>,1,346:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-213,context_or_singleton_control
530->741,1,530:1,741:1,source_hint_needs_route:1,Harappa:1,H-773,context_or_singleton_control
590->032,1,590:1,032:1,object_unresolved:1,Unknown:1,-,context_or_singleton_control
692-><END>,1,692:1,<END>:1,source_visible_control:1,Mohenjo-daro:1,M-70,context_or_singleton_control
707-><END>,1,707:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-232,context_or_singleton_control
