cisi,id,site,type,symbol,text,text_len,prev_before_002,next_after_390,tail_after_next,source_tier,source_class,first_tail_after_next,subframe_002390x,prev_to_next_frame,next_tail_frame,next_tail_prefix2_frame,is_terminal_after_next,is_125_632032_lane,is_prev235_125_lane
H-1993,744.2,Harappa,TAB:B,None,+740-000-220-004-002-390-095+,7,004,095,<END>,unrouted,unrouted,<END>,002-390-095,004->002-390->095,095-><END>,095-><END>,True,False,False
H-68,1127.1,Harappa,SEAL:S,Bull1:I,+090-740-220-003-002-390-072+,7,003,072,<END>,negative_control_index_hint,source_hint_needs_route,<END>,002-390-072,003->002-390->072,072-><END>,072-><END>,True,False,False
H-773,1665.1,Harappa,TAB:B,None,+740-798-803-002-390-530-741+,7,803,530,741,negative_control_index_hint,source_hint_needs_route,741,002-390-530,803->002-390->530,530->741,530->741,False,False,False
M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,+740-690-435-255-220-032-240-235-002-390-125-632-032+,13,235,125,632 032,public_cisi_plate_context_crop_not_token_boxed,source_context_needs_token_box,632,002-390-125,235->002-390->125,125->632 032,125->632 032,False,True,True
M-70,2598.1,Mohenjo-daro,SEAL:S,Bull1:T,+226-032-002-390-692+,5,032,692,<END>,source_visible_order_window_candidate,source_visible_control,<END>,002-390-692,032->002-390->692,692-><END>,692-><END>,True,False,False
M-71,2599.1,Mohenjo-daro,SEAL:S,Bull1:J,+151-279-142-002-390-095+,6,142,095,<END>,negative_control_index_hint,source_hint_needs_route,<END>,002-390-095,142->002-390->095,095-><END>,095-><END>,True,False,False
M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,+151-337-484-002-390-125-632-032-900-563+,10,484,125,632 032 900 563,mayig_overlap_only,mayig_only,632,002-390-125,484->002-390->125,125->632 032 900 563,125->632 032,False,True,False
M-213,2737.1,Mohenjo-daro,SEAL:S,Bull1:J,+740-384-002-390-346+,5,384,346,<END>,negative_control_index_hint,source_hint_needs_route,<END>,002-390-346,384->002-390->346,346-><END>,346-><END>,True,False,False
M-232,2756.1,Mohenjo-daro,SEAL:S,Bull2,+236-002-390-707+,4,236,707,<END>,negative_control_index_hint,source_hint_needs_route,<END>,002-390-707,236->002-390->707,707-><END>,707-><END>,True,False,False
M-708,3134.1,Mohenjo-daro,SEAL:S,Bull1:W,+740-061-002-390-140+,5,061,140,<END>,negative_control_index_hint,source_hint_needs_route,<END>,002-390-140,061->002-390->140,140-><END>,140-><END>,True,False,False
M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,+740-760-235-002-390-125-195+,7,235,125,195,negative_control_index_hint,source_hint_needs_route,195,002-390-125,235->002-390->125,125->195,125->195,False,False,True
-,3335.1,Unknown,SEAL:S,Bull1:J,+740-205-032-002-390-590-032+,7,032,590,032,unresolved_non_cisi_object,object_unresolved,032,002-390-590,032->002-390->590,590->032,590->032,False,False,False
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,+390-004-002-390-125-820+,6,004,125,820,public_plate_route_candidate_not_panel_bound,public_route_needs_panel_binding,820,002-390-125,004->002-390->125,125->820,125->820,False,False,False
M-1825,3992.1,Mohenjo-daro,SEAL:S,Bull1,+157-031-002-390-705+,5,031,705,<END>,negative_control_index_hint,source_hint_needs_route,<END>,002-390-705,031->002-390->705,705-><END>,705-><END>,True,False,False
-,4237.1,Dholavira,SEAL:S,Bull1:I,+151-032-388-002-390-705+,6,388,705,<END>,unresolved_non_cisi_object,object_unresolved,<END>,002-390-705,388->002-390->705,705-><END>,705-><END>,True,False,False
