checked_date,row_id,object,site,type,symbol,cult,prev_before_002,prev2_before_002,head_after_002,branch_after_head,tail_after_branch,terminal_after_head,local_frame_class,source_status,source_bucket,exact_text
2026-05-31,13.1,Ad-8,Allahdino,MISC,Elep,SAN,503,440 503,861,000,<END>,false,background,metadata_or_unrouted,metadata_or_unrouted,+740-440-503-002-861-000+
2026-05-31,18.1,-:18.1,Bakkar Buthi,POT:T:g,None,None,840,032 840,861,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,+405-844-032-840-002-861+
2026-05-31,19.1,Blk-1,Bala-kot,SEAL:S,Bull1,-,003,226 003,297,350,125 413,false,background,metadata_or_unrouted,metadata_or_unrouted,+226-003-002-297-350-125-413+
2026-05-31,20.1,Blk-2,Bala-kot,SEAL:S,Bull1,R,061,717 061,368,634,<END>,false,background,metadata_or_unrouted,metadata_or_unrouted,+390-717-061-002-368-634+
2026-05-31,27.1,B-1,Banawali,SEAL:S,Bull1:O,HAF,220,740 220,368,550,821,false,background,metadata_or_unrouted,metadata_or_unrouted,+090-740-220-002-368-550-821+
2026-05-31,4310.1,-:4310.1,Dholavira,TAG,-,-,<START>,<START>,817,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,]002-817[
2026-05-31,37.1,B-17,Banawali,SEAL:S,Htgr,HBF,236,236,308,072,<END>,false,background,metadata_or_unrouted,metadata_or_unrouted,+236-002-308-072+
2026-05-31,5331.1,K-416,Kalibangan,POT:T:g,-,-,000,000,861,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,]000-002-861[
2026-05-31,52.1,-:52.1,Bhirrana,SEAL:S,Bull1,RAN,236,236,820,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,+236-002-820+
2026-05-31,2560.1,M-32,Mohenjo-daro,SEAL:S,Bull1:J,SAN,003,390 003,817,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,+390-003-002-817+
2026-05-31,62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,SAF,032,220 032,861,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,+000-100-240-220-032-002-861+
2026-05-31,69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,176 032,861,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,+740-176-032-002-861+
2026-05-31,74.1,C-58,Chanhu-daro,SEAL:S,Bull1,-,235,222 235,861,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,+032-031/740-222-235-002-861+
2026-05-31,76.1,C-74,Chanhu-daro,SEAL:S,Gaur,Trough,125,125,861,<END>,<END>,true,background,metadata_or_unrouted,metadata_or_unrouted,+125-002-861+
