checked_date,prev_before_002,rows,terminal_after_head,terminal_share,head_count,head_entropy_bits,top_head_share,top_heads,branch_count,top_branches,exact_text_count,top_exact_text_share,top_exact_texts
2026-05-31,<START>,30,11,0.366667,20,4.069577,0.166667,861:5;000:3;820:3;368:2;817:2;002:1;003:1;004:1,30,000-<END>:1;000-090:1;000-861:1;002-<END>:1;003-<END>:1;004-328:1;031-820:1;095-000:1,30,0.033333,]002-000-861-031+:1;]002-000[:1;]002-031-820[:1;]002-416+:1
2026-05-31,000,35,26,0.742857,15,3.279881,0.285714,000:10;820:6;817:4;861:4;257:1;285:1;455:1;520:1,18,000-<END>:8;820-<END>:6;817-<END>:4;861-<END>:3;000-000:1;000-350:1;257-550:1;285-<END>:1,35,0.028571,]000-000-002-820+:1;]000-000-002-861+:1;]000-002-000[:1;]000-002-690+:1
2026-05-31,002,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,]000-003-070-002-002-817+:1
2026-05-31,003,23,13,0.565217,15,3.605327,0.217391,861:5;000:3;820:3;031:1;111:1;125:1;156:1;293:1,16,861-<END>:5;820-<END>:3;000-<END>:2;000-215:1;031-575:1;111-165:1;125-350:1;156-920:1,23,0.043478,]003-002-861[:1;+000-000-095-550-003-002-000+:1;+000-000-122-003-002-000+:1;+000-003-002-820+:1
2026-05-31,004,18,9,0.500000,9,2.947703,0.222222,817:4;861:4;365:2;390:2;820:2;031:1;278:1;705:1,12,817-<END>:3;861-<END>:3;365-460:2;820-<END>:2;031-376:1;278-595:1;390-095:1;390-125:1,18,0.055556,+000-004-002-817-000[:1;+390-004-002-031-376+:1;+390-004-002-390-125-820+:1;+390-004-002-705-127+:1
2026-05-31,005,7,4,0.571429,6,2.521641,0.285714,817:2;455:1;570:1;590:1;820:1;861:1,6,817-<END>:2;455-511:1;570-<END>:1;590-455:1;820-<END>:1;861-036:1,7,0.142857,]000-005-002-817+:1;+368-005-002-590-455+:1;+390-005-002-455-511+:1;+390-005-002-817+:1
2026-05-31,013,1,1,1.000000,1,0.000000,1.000000,817:1,1,817-<END>:1,1,1.000000,+740-100-176-840-013-002-817+:1
2026-05-31,014,1,1,1.000000,1,0.000000,1.000000,820:1,1,820-<END>:1,1,1.000000,+090-740-220-014-002-820+:1
2026-05-31,015,1,1,1.000000,1,0.000000,1.000000,861:1,1,861-<END>:1,1,1.000000,+390-015-002-861+:1
2026-05-31,016,12,7,0.583333,9,3.022055,0.250000,861:3;820:2;000:1;297:1;416:1;595:1;814:1;824:1,9,861-<END>:3;820-<END>:2;000-<END>:1;297-190:1;416-000:1;595-342:1;814-560:1;824-<END>:1,12,0.083333,+000-016-002-861+:1;+016-002-595-342-632+:1;+090-740-220-016-002-297-190-920-140+:1;+090-740-220-016-002-820+:1
2026-05-31,017,9,6,0.666667,6,2.419382,0.333333,817:3;820:2;000:1;220:1;463:1;611:1,6,817-<END>:3;820-<END>:2;000-<END>:1;220-455:1;463-575:1;611-615:1,9,0.111111,+390-017-002-220-455-741+:1;+463-513/390-017-002-463-575+:1;+679-740-575-017-002-817+:1;+740-032-840-585-017-002-817+:1
2026-05-31,019,2,2,1.000000,2,1.000000,0.500000,000:1;817:1,2,000-<END>:1;817-<END>:1,2,0.500000,]740-019-002-000[:1;+740-760-019-002-817+:1
