checked_date,subtail,global_count,governed_count,governed_heads,prev_before_002,sites,types,examples,model_implication
2026-05-31,<END>-<END>,17,5,320:1;392:1;741:1;861:1;906:1,<START>:1;004:1;235:1;236:1;803:1,Mohenjo-daro:9;Harappa:6;Kalibangan:1;Lohumjo-daro:1,SEAL:S:12;TAB:B:2;TAB:I:2;SEAL:R:1,H-1946:+700-125+ | H-50:+740-406-590-741-406-125+ | H-55:+390-004-002-861-125+ | H-467:]741-390-125+ | H-894:+700-125+ | K-5:+520-233-240-803-741-125+ | Lh-1:+740-760-615-104-717-235-002-392-590-125+ | M-1668:+740-773-233-803-002-320-705-125+,background_125_subtail
2026-05-31,632-032,4,3,390:2;190:1,235:1;484:1;617:1,Mohenjo-daro:4,SEAL:S:4,M-1692:+390-600-617-002-190-125-632-032+ | M-38:+740-690-435-255-220-032-240-235-002-390-125-632-032+ | M-119:+151-337-484-002-390-125-632-032-900-563+ | M-1188:]000/000-125-632-032/240-002-244-632+,portable_125_subtail_candidate_across_governed_heads
2026-05-31,000-<END>,2,0,,,Dholavira:2,SEAL:S:2,-:+400-125-000+ | -:]267-125-000[,background_125_subtail
2026-05-31,002-861,2,0,,,Chanhu-daro:1;Mohenjo-daro:1,SEAL:S:2,C-74:+125-002-861+ | M-901:+090-125-002-861+,background_125_subtail
2026-05-31,032-<END>,2,2,610:2,<START>:1;240:1,Harappa:1;Mohenjo-daro:1,SEAL:S:2,H-74:+002-610-125-032+ | M-1665:+520-033-705-233-240-002-610-125-032+,background_125_subtail
2026-05-31,176-<END>,2,0,,,Ganweriwala:1;Mohenjo-daro:1,SEAL:S:1;TAG:1,M-848:+406-125-176+ | -:+740-400-061-299-350-125-176+,background_125_subtail
2026-05-31,413-<END>,2,2,297:2,003:1;798:1,Bala-kot:1;Nausharo:1,SEAL:R:1;SEAL:S:1,Blk-1:+226-003-002-297-350-125-413+ | Ns-60:+407-063-740-176-236-798-002-297-350-125-413+,background_125_subtail
2026-05-31,575-<END>,2,0,,,Mohenjo-daro:2,SEAL:S:2,M-624:+190-125-575+ | M-837:+740-142-061-031-741-125-575+,background_125_subtail
2026-05-31,700-033,2,0,,,Harappa:2,TAB:B:2,H-1921:+125-700-033+ | H-246:+125-700-033+,background_125_subtail
2026-05-31,812-033,2,0,,,Dholavira:1;Harappa:1,SEAL:R:1;SEAL:S:1,H-642:+001-304-354-125-812-033+ | -:]000-350-125-812-033+,background_125_subtail
2026-05-31,820-<END>,2,2,390:1;405:1,004:1;235:1,Mohenjo-daro:1;Surkotada:1,SEAL:S:2,M-41:+740-636-240-233-235-002-405-125-820+ | Sktd-1:+390-004-002-390-125-820+,p086_family_125_subtail_candidate_under_390_405
2026-05-31,001-055,1,0,,,Harappa:1,SEAL:R:1,H-1710:+090-326-700-920-125-001-055-920-140+,background_125_subtail
2026-05-31,001-742,1,0,,,Dholavira:1,SEAL:R:1,-:]000-125-001-742+,background_125_subtail
2026-05-31,031-<END>,1,0,,,Mohenjo-daro:1,SEAL:S:1,M-1749:+220-455-125-031+,background_125_subtail
2026-05-31,032-820,1,0,,,Mohenjo-daro:1,SEAL:R:1,M-356:+400-595-420-125-032-820-920-140+,background_125_subtail
2026-05-31,033-<END>,1,0,,,Allahdino:1,SEAL:S:1,Ad-2:+368-390-125-033+,background_125_subtail
2026-05-31,070-<END>,1,0,,,Lothal:1,TAG:1,L-193:+125-070[,background_125_subtail
2026-05-31,195-<END>,1,1,390:1,235:1,Mohenjo-daro:1,SEAL:S:1,M-735:+740-760-235-002-390-125-195+,background_125_subtail
2026-05-31,204-<END>,1,0,,,Harappa:1,SEAL:S:1,H-11:+000-125-204+,background_125_subtail
2026-05-31,220-235,1,0,,,Gonur Depe:1,SEAL:S:1,-:+740-390-590-125-220-235-002-285+,background_125_subtail
2026-05-31,308-809,1,0,,,Mohenjo-daro:1,SEAL:S:1,M-314:+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+,background_125_subtail
2026-05-31,350-<END>,1,0,,,Mohenjo-daro:1,SEAL:S:1,M-251:+390-003-002-125-350+,background_125_subtail
2026-05-31,381-<END>,1,0,,,Harappa:1,SEAL:S:1,H-10:+820-302-596-018-125-381+,background_125_subtail
2026-05-31,435-255,1,0,,,Mohenjo-daro:1,SEAL:S:1,M-1688:+125-435-255-002-286-220-031-012-031-455-033-590+,background_125_subtail
2026-05-31,590-<END>,1,0,,,Harappa:1,SEAL:S:1,H-611:+527-550-002-125-590+,background_125_subtail
2026-05-31,590-831,1,1,407:1,<START>:1,Mohenjo-daro:1,TAB:C:1,M-2055:+002-407-125-590-831+,background_125_subtail
2026-05-31,717-<END>,1,1,595:1,806:1,Harappa:1,SEAL:R:1,H-130:+409-032-845-033-705-231-806-002-595-812-125-717+,background_125_subtail
2026-05-31,740-803,1,0,,,Mohenjo-daro:1,SEAL:S:1,M-626:+842-374-125/740-803-060-692-740-690-435-255-060-692+,background_125_subtail
2026-05-31,741-000,1,0,,,Harappa:1,SEAL:S:1,H-52:+740-390-590-125-741-000-000+,background_125_subtail
2026-05-31,741-900,1,0,,,Gola Dhoro (Bagasra):1,SEAL:S:1,-:+292-352-125-741-900-322+,background_125_subtail
2026-05-31,745-<END>,1,0,,,Mohenjo-daro:1,SEAL:S:1,M-1700:+400-125-745+,background_125_subtail
